genome	group	Rv1025_present	divIC_adjacent	operon_intact	order_on_contig	Rv1023_id	Rv1024_id	Rv1025_id	Rv1026_id
M_genavense	NTM	OUI (84% id, 99% cov)	OUI (gap +116 nt)	OUI (4/4, ordre conservé)	eno@58899 divIC@59874 Rv1025@60514 ppx2@61211	88%/100%cov	70%/85%cov	84%/99%cov	79%/98%cov
M_gordonae	NTM	OUI (83% id, 99% cov)	OUI (gap +101 nt)	OUI (4/4, ordre conservé)	ppx2@1939 Rv1025@2639 divIC@3261 eno@4210	92%/100%cov	70%/83%cov	83%/99%cov	77%/99%cov
M_hackensackense	NTM	OUI (78% id, 99% cov)	OUI (gap +128 nt)	OUI (4/4, ordre conservé)	eno@200969 divIC@201915 Rv1025@202561 ppx2@203272	85%/100%cov	58%/85%cov	78%/99%cov	69%/98%cov
M_heckeshornense	NTM	OUI (75% id, 99% cov)	OUI (gap +116 nt)	OUI (4/4, ordre conservé)	eno@1289874 divIC@1290824 Rv1025@1291456 ppx2@1292162	91%/99%cov	69%/85%cov	75%/99%cov	74%/100%cov
M_interjectum	NTM	OUI (86% id, 99% cov)	OUI (gap +86 nt)	OUI (4/4, ordre conservé)	ppx2@3116360 Rv1025@3117058 divIC@3117650 eno@3118583	91%/100%cov	68%/85%cov	86%/99%cov	80%/99%cov
M_intracellulare	NTM	OUI (85% id, 99% cov)	OUI (gap +140 nt)	OUI (4/4, ordre conservé)	eno@1048778 divIC@1049732 Rv1025@1050387 ppx2@1051092	93%/99%cov	70%/83%cov	85%/99%cov	80%/99%cov
M_kansasii	NTM	OUI (83% id, 100% cov)	OUI (gap +119 nt)	OUI (4/4, ordre conservé)	ppx2@1910339 Rv1025@1911058 divIC@1911695 eno@1912662	93%/100%cov	75%/85%cov	83%/100%cov	79%/99%cov
M_kyorinense	NTM	OUI (83% id, 99% cov)	OUI (gap +92 nt)	OUI (4/4, ordre conservé)	eno@29470 divIC@30410 Rv1025@31017 ppx2@31706	89%/100%cov	67%/85%cov	83%/99%cov	75%/100%cov
M_lentiflavum	NTM	OUI (84% id, 99% cov)	OUI (gap +131 nt)	OUI (4/4, ordre conservé)	ppx2@4695611 Rv1025@4696311 divIC@4696964 eno@4697940	89%/100%cov	74%/85%cov	84%/99%cov	79%/99%cov
M_leprae	NTM	OUI (85% id, 99% cov)	OUI (gap +101 nt)	OUI (4/4, ordre conservé)	eno@334396 divIC@335378 Rv1025@336010 ppx2@336728	89%/100%cov	71%/85%cov	85%/99%cov	77%/99%cov
M_lepromatosis	NTM	OUI (84% id, 99% cov)	OUI (gap +101 nt)	OUI (4/4, ordre conservé)	eno@359019 divIC@360001 Rv1025@360633 ppx2@361351	89%/100%cov	72%/85%cov	84%/99%cov	77%/99%cov
M_liflandii	NTM	OUI (89% id, 99% cov)	OUI (gap +134 nt)	OUI (4/4, ordre conservé)	ppx2@5088008 Rv1025@5088732 divIC@5089388 eno@5090360	91%/100%cov	73%/85%cov	89%/99%cov	81%/99%cov
M_malmoense	NTM	OUI (85% id, 99% cov)	OUI (gap +143 nt)	OUI (4/4, ordre conservé)	ppx2@4219896 Rv1025@4220597 divIC@4221263 eno@4222213	93%/100%cov	71%/84%cov	85%/99%cov	81%/99%cov
M_mantenii	NTM	OUI (86% id, 99% cov)	OUI (gap +140 nt)	OUI (4/4, ordre conservé)	eno@5751860 divIC@5752823 Rv1025@5753489 ppx2@5754190	93%/100%cov	71%/85%cov	86%/99%cov	80%/98%cov
M_marinum	NTM	OUI (89% id, 99% cov)	OUI (gap +134 nt)	OUI (4/4, ordre conservé)	ppx2@5180537 Rv1025@5181261 divIC@5181917 eno@5182890	91%/100%cov	73%/85%cov	89%/99%cov	82%/99%cov
M_marseillense	NTM	OUI (85% id, 99% cov)	OUI (gap +128 nt)	OUI (4/4, ordre conservé)	eno@1031799 divIC@1032753 Rv1025@1033396 ppx2@1034100	94%/99%cov	71%/83%cov	85%/99%cov	79%/99%cov
M_montefiorense	NTM	OUI (83% id, 99% cov)	OUI (gap +137 nt)	OUI (4/4, ordre conservé)	ppx2@11635 Rv1025@12333 divIC@12994 eno@13970	92%/100%cov	74%/85%cov	83%/99%cov	78%/98%cov
M_paraffinicum	NTM	OUI (84% id, 99% cov)	OUI (gap +146 nt)	OUI (4/4, ordre conservé)	ppx2@488347 Rv1025@489044 divIC@489696 eno@490630	90%/100%cov	70%/83%cov	84%/99%cov	80%/99%cov
M_paragordonae	NTM	OUI (82% id, 99% cov)	OUI (gap +110 nt)	OUI (4/4, ordre conservé)	ppx2@5505867 Rv1025@5506567 divIC@5507204 eno@5508159	91%/100%cov	68%/83%cov	82%/99%cov	78%/99%cov
M_paraintracellulare	NTM	OUI (85% id, 99% cov)	OUI (gap +140 nt)	OUI (4/4, ordre conservé)	eno@1062374 divIC@1063328 Rv1025@1063983 ppx2@1064687	93%/99%cov	71%/83%cov	85%/99%cov	79%/99%cov
M_paraseoulense	NTM	OUI (86% id, 99% cov)	OUI (gap +137 nt)	OUI (4/4, ordre conservé)	ppx2@2947265 Rv1025@2947963 divIC@2948607 eno@2949543	93%/100%cov	71%/83%cov	86%/99%cov	81%/99%cov
M_persicum	NTM	OUI (83% id, 100% cov)	OUI (gap +119 nt)	OUI (4/4, ordre conservé)	ppx2@1857822 Rv1025@1858540 divIC@1859177 eno@1860144	93%/100%cov	75%/85%cov	83%/100%cov	78%/99%cov
M_pseudokansasii	NTM	OUI (83% id, 100% cov)	OUI (gap +119 nt)	OUI (4/4, ordre conservé)	ppx2@4936325 Rv1025@4937044 divIC@4937681 eno@4938648	93%/100%cov	76%/85%cov	83%/100%cov	79%/99%cov
M_pseudoshottsii	NTM	OUI (88% id, 99% cov)	OUI (gap +134 nt)	OUI (4/4, ordre conservé)	ppx2@5023147 Rv1025@5023871 divIC@5024527 eno@5025499	91%/100%cov	73%/85%cov	88%/99%cov	81%/99%cov
M_riyadhense	NTM	OUI (86% id, 99% cov)	OUI (gap +122 nt)	OUI (4/4, ordre conservé)	ppx2@4863649 Rv1025@4864351 divIC@4864982 eno@4865922	94%/100%cov	76%/84%cov	86%/99%cov	81%/99%cov
M_saskatchewanense	NTM	OUI (83% id, 99% cov)	OUI (gap +137 nt)	OUI (4/4, ordre conservé)	ppx2@2504044 Rv1025@2504742 divIC@2505393 eno@2506338	93%/100%cov	69%/84%cov	83%/99%cov	80%/99%cov
M_scrofulaceum	NTM	OUI (84% id, 99% cov)	OUI (gap +128 nt)	OUI (4/4, ordre conservé)	ppx2@41274 Rv1025@41968 divIC@42603 eno@43539	91%/100%cov	71%/83%cov	84%/99%cov	82%/98%cov
M_seoulense	NTM	OUI (87% id, 99% cov)	OUI (gap +122 nt)	OUI (4/4, ordre conservé)	ppx2@3019378 Rv1025@3020076 divIC@3020705 eno@3021641	93%/100%cov	72%/83%cov	87%/99%cov	82%/99%cov
M_shigaense	NTM	OUI (84% id, 99% cov)	OUI (gap +116 nt)	OUI (4/4, ordre conservé)	ppx2@4262810 Rv1025@4263514 divIC@4264140 eno@4265079	89%/100%cov	71%/83%cov	84%/99%cov	76%/99%cov
M_shimoidei	NTM	OUI (82% id, 99% cov)	OUI (gap +101 nt)	OUI (4/4, ordre conservé)	eno@2193507 divIC@2194430 Rv1025@2195028 ppx2@2195771	90%/100%cov	63%/85%cov	82%/99%cov	71%/99%cov
M_simiae	NTM	OUI (83% id, 99% cov)	OUI (gap +113 nt)	OUI (4/4, ordre conservé)	eno@3880303 divIC@3881296 Rv1025@3881951 ppx2@3882648	88%/100%cov	72%/85%cov	83%/99%cov	80%/99%cov
M_syngnathidarum	NTM	OUI (79% id, 99% cov)	OUI (gap +140 nt)	OUI (4/4, ordre conservé)	ppx2@129806 Rv1025@130536 divIC@131198 eno@132164	87%/99%cov	60%/85%cov	79%/99%cov	72%/98%cov
M_szulgai	NTM	OUI (85% id, 96% cov)	OUI (gap +83 nt)	OUI (4/4, ordre conservé)	eno@101699 divIC@102641 Rv1025@103224 ppx2@103920	93%/100%cov	75%/83%cov	85%/96%cov	80%/99%cov
M_timonense	NTM	OUI (86% id, 99% cov)	OUI (gap +140 nt)	OUI (4/4, ordre conservé)	eno@143809 divIC@144740 Rv1025@145383 ppx2@146088	93%/100%cov	73%/83%cov	86%/99%cov	78%/99%cov
M_triplex	NTM	OUI (84% id, 99% cov)	OUI (gap +128 nt)	OUI (4/4, ordre conservé)	eno@109281 divIC@110256 Rv1025@110908 ppx2@111606	89%/100%cov	73%/85%cov	84%/99%cov	79%/98%cov
M_ulcerans	NTM	OUI (89% id, 99% cov)	OUI (gap +134 nt)	OUI (4/4, ordre conservé)	eno@1030966 divIC@1031938 Rv1025@1032595 ppx2@1033319	91%/100%cov	73%/85%cov	89%/99%cov	81%/99%cov
M_xenopi	NTM	OUI (78% id, 99% cov)	OUI (gap +119 nt)	OUI (4/4, ordre conservé)	ppx2@600886 Rv1025@601593 divIC@602227 eno@603169	90%/100%cov	67%/85%cov	78%/99%cov	74%/99%cov
Blongum_NCC2705	Bifidobacteriales	OUI (51% id, 88% cov)	OUI (gap +258 nt)	OUI (4/4, ordre conservé)	ppx2@841797 Rv1025@842630 divIC@843266 eno@844282	60%/99%cov	33%/46%cov	51%/88%cov	42%/98%cov
Bsubtilis_168	control_Firmicutes	NON	NA	NA	Rv1025 absent	58%/98%cov	ABSENT	ABSENT	ABSENT
Cacnes_KPA171202	Propionibacteriales	OUI (58% id, 90% cov)	OUI (gap +257 nt)	OUI (4/4, ordre conservé)	eno@599701 divIC@600652 Rv1025@601345 ppx2@602094	69%/98%cov	36%/65%cov	58%/90%cov	47%/98%cov
Cdiphtheriae_NCTC13129	Corynebacteriales	OUI (57% id, 99% cov)	OUI (gap +167 nt)	OUI (4/4, ordre conservé)	eno@892125 divIC@893142 Rv1025@893716 ppx2@894495	74%/98%cov	33%/52%cov	57%/99%cov	52%/98%cov
Cglutamicum_ATCC13032	Corynebacteriales	OUI (59% id, 99% cov)	OUI (gap +165 nt)	OUI (4/4, ordre conservé)	eno@1037057 divIC@1038067 Rv1025@1038623 ppx2@1039387	73%/98%cov	32%/48%cov	59%/99%cov	52%/99%cov
Ecoli_K12_MG1655	control_Proteobacteria	NON	NA	NA	Rv1025 absent	55%/97%cov	ABSENT	ABSENT	32%/72%cov
Gbronchialis_DSM43247	Corynebacteriales	OUI (68% id, 99% cov)	OUI (gap +48 nt)	OUI (4/4, ordre conservé)	eno@1638115 divIC@1639228 Rv1025@1639683 ppx2@1640412	76%/99%cov	39%/53%cov	68%/99%cov	66%/99%cov
Mabscessus_ATCC19977	Mycobacteriaceae(rapid)	OUI (83% id, 90% cov)	OUI (gap +96 nt)	OUI (4/4, ordre conservé)	eno@1182239 divIC@1183224 Rv1025@1183787 ppx2@1184500	86%/99%cov	54%/82%cov	83%/90%cov	70%/99%cov
Mluteus_NCTC2665	Micrococcales	OUI (59% id, 90% cov)	OUI (gap +134 nt)	OUI (4/4, ordre conservé)	eno@546706 divIC@548121 Rv1025@548623 ppx2@549445	68%/99%cov	30%/41%cov	59%/90%cov	48%/98%cov
Nfarcinica_IFM10152	Corynebacteriales	OUI (73% id, 99% cov)	OUI (gap +120 nt)	OUI (4/4, ordre conservé)	ppx2@5069119 Rv1025@5069857 divIC@5070396 eno@5071464	81%/99%cov	43%/57%cov	73%/99%cov	63%/98%cov
Rjostii_RHA1	Corynebacteriales	OUI (76% id, 91% cov)	OUI (gap +150 nt)	OUI (4/4, ordre conservé)	eno@6216021 divIC@6217188 Rv1025@6217685 ppx2@6218443	81%/99%cov	44%/41%cov	76%/91%cov	65%/99%cov
Scoelicolor_A3-2	Streptomycetales	OUI (68% id, 88% cov)	OUI (gap +185 nt)	OUI (4/4, ordre conservé)	ppx2@3388852 Rv1025@3389607 divIC@3390211 eno@3391185	72%/99%cov	35%/66%cov	68%/88%cov	54%/99%cov
Tpaurometabola_DSM20162	Corynebacteriales	OUI (69% id, 86% cov)	OUI (gap +57 nt)	OUI (4/4, ordre conservé)	ppx2@3268681 Rv1025@3269448 divIC@3269847 eno@3270783	78%/98%cov	44%/43%cov	69%/86%cov	59%/99%cov
