Entry	Length	Protein names	Organism	Taxonomic lineage	Pfam	Subcellular location [CC]
F0VAI8	472	Uncharacterized protein	Neospora caninum (strain Liverpool)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Apicomplexa (phylum), Conoidasida (class), Coccidia (subclass), Eucoccidiorida (order), Eimeriorina (suborder), Sarcocystidae (family), Neospora (genus), Neospora caninum (species)	PF04417;	
T0RLE0	218	DUF501 domain-containing protein	Saprolegnia diclina (strain VS20)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Saprolegniomycetes (class), Saprolegniales (order), Saprolegniaceae (family), Saprolegnia (genus), Saprolegnia diclina (species)	PF04417;	
A0A024TNQ5	242	DUF501 domain-containing protein	Aphanomyces invadans	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Saprolegniomycetes (class), Saprolegniales (order), Verrucalvaceae (family), Aphanomyces (genus)	PF04417;	
A0A1E7FHM1	350	DUF501 domain-containing protein	Fragilariopsis cylindrus CCMP1102	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Bacillariales (order), Bacillariaceae (family), Fragilariopsis (genus), Fragilariopsis cylindrus (species)	PF04417;	
A0AAD8Y377	443	DUF501 domain-containing protein	Skeletonema marinoi	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Thalassiosirophycidae (subclass), Thalassiosirales (order), Skeletonemataceae (family), Skeletonema (genus), Skeletonema marinoi-dohrnii complex (clade)	PF04417;	
C1ECF1	269	Uncharacterized protein	Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga)	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Chlorophyta (phylum), Mamiellophyceae (class), Mamiellales (order), Mamiellaceae (family), Micromonas (genus)	PF04417;	
D0NKV2	201	DUF501 domain-containing protein	Phytophthora infestans (strain T30-4) (Potato late blight agent)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus), Phytophthora infestans (species)	PF04417;	
A0A067CIQ7	221	DUF501 domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Saprolegniomycetes (class), Saprolegniales (order), Saprolegniaceae (family), Saprolegnia (genus), Saprolegnia parasitica (species)	PF04417;	
A0A1V9Z5R7	220	DUF501 domain-containing protein	Achlya hypogyna (Oomycete) (Protoachlya hypogyna)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Saprolegniomycetes (class), Saprolegniales (order), Achlyaceae (family), Achlya (genus)	PF04417;	
A0A448ZFV9	444	DUF501 domain-containing protein	Pseudo-nitzschia multistriata	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Bacillariales (order), Bacillariaceae (family), Pseudo-nitzschia (genus)	PF04417;	
A0A6A3EY96	217	DUF501 domain-containing protein	Phytophthora fragariae	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
A0A6A3MUS4	217	DUF501 domain-containing protein	Phytophthora rubi	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
A0A9W5T8J3	626	Uncharacterized protein	Babesia ovis	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Apicomplexa (phylum), Aconoidasida (class), Piroplasmida (order), Babesiidae (family), Babesia (genus)	PF04417;	
A0AAD3CV09	314	DUF501 domain-containing protein	Chaetoceros tenuissimus	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Chaetocerotophycidae (subclass), Chaetocerotales (order), Chaetocerotaceae (family), Chaetoceros (genus)	PF04417;	
A0AAD8Y1T9	334	DUF501 domain-containing protein	Skeletonema marinoi	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Thalassiosirophycidae (subclass), Thalassiosirales (order), Skeletonemataceae (family), Skeletonema (genus), Skeletonema marinoi-dohrnii complex (clade)	PF04417;	
A0A024G9M3	196	DUF501 domain-containing protein	Albugo candida	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Albuginales (order), Albuginaceae (family), Albugo (genus)	PF04417;	
A0A1D3CV76	1336	Uncharacterized protein	Cyclospora cayetanensis	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Apicomplexa (phylum), Conoidasida (class), Coccidia (subclass), Eucoccidiorida (order), Eimeriorina (suborder), Eimeriidae (family), Cyclospora (genus)	PF04417;	
A0A1W0AC20	221	DUF501 domain-containing protein	Thraustotheca clavata	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Saprolegniomycetes (class), Saprolegniales (order), Achlyaceae (family), Thraustotheca (genus)	PF04417;	
A0A1Z5K406	294	DUF501 domain-containing protein	Fistulifera solaris (Oleaginous diatom)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Naviculaceae (family), Fistulifera (genus)	PF04417;	
A0A6G0WVN6	223	DUF501 domain-containing protein	Aphanomyces euteiches	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Saprolegniomycetes (class), Saprolegniales (order), Verrucalvaceae (family), Aphanomyces (genus)	PF04417;	
A0A8J2ST05	194	DUF501 domain-containing protein	Pelagomonas calceolata	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Pelagophyceae (class), Pelagomonadales (order), Pelagomonadaceae (family), Pelagomonas (genus)	PF04417;	
A0A8T1W2Z0	207	DUF501 domain-containing protein	Phytophthora pseudosyringae	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
B8CC62	493	Uncharacterized protein	Thalassiosira pseudonana (Marine diatom) (Cyclotella nana)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Thalassiosirophycidae (subclass), Thalassiosirales (order), Thalassiosiraceae (family), Thalassiosira (genus)	PF04417;	
M4BYE9	200	DUF501 domain-containing protein	Hyaloperonospora arabidopsidis (strain Emoy2) (Downy mildew agent) (Peronospora arabidopsidis)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Hyaloperonospora (genus), Hyaloperonospora arabidopsidis (species)	PF04417;	
A0A061J860	274	Uncharacterized protein	Trypanosoma rangeli SC58	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Trypanosoma (genus), Herpetosoma (subgenus), Trypanosoma rangeli (species)	PF04417;	
A0A096PAX5	198	Uncharacterized protein	Ostreococcus tauri (Marine green alga)	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Chlorophyta (phylum), Mamiellophyceae (class), Mamiellales (order), Bathycoccaceae (family), Ostreococcus (genus)	PF04417;	
A0A0D3KZC9	519	Uncharacterized protein	Emiliania huxleyi (strain CCMP1516)	cellular organisms (no rank), Eukaryota (domain), Haptista (clade), Haptophyta (phylum), Prymnesiophyceae (clade), Isochrysidales (order), Noelaerhabdaceae (family), Emiliania (genus), Emiliania huxleyi (species)	PF04417;	
A0AAD2GC12	229	Uncharacterized protein	Cylindrotheca closterium	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Bacillariales (order), Bacillariaceae (family), Cylindrotheca (genus)	PF04417;	
A0A0G4GKB7	276	Uncharacterized protein	Vitrella brassicaformis (strain CCMP3155)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Colpodellida (clade), Vitrellaceae (family), Vitrella (genus), Vitrella brassicaformis (species)	PF04417;	
A0A0S4KPJ4	299	Uncharacterized protein	Bodo saltans (Flagellated protozoan)	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Eubodonida (order), Bodonidae (family), Bodo (genus)	PF04417;	
A0A329RZZ6	204	DUF501 domain-containing protein	Phytophthora cactorum	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
A0A8T1WVM5	211	DUF501 domain-containing protein	Phytophthora boehmeriae	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
A0A9K3KWR1	452	DUF501 domain containing protein	Nitzschia inconspicua	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Bacillariales (order), Bacillariaceae (family), Nitzschia (genus)	PF04417;	
A0AAD9DHG2	298	Uncharacterized protein	Skeletonema marinoi	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Thalassiosirophycidae (subclass), Thalassiosirales (order), Skeletonemataceae (family), Skeletonema (genus), Skeletonema marinoi-dohrnii complex (clade)	PF04417;	
A4SB46	251	Uncharacterized protein	Ostreococcus lucimarinus (strain CCE9901)	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Chlorophyta (phylum), Mamiellophyceae (class), Mamiellales (order), Bathycoccaceae (family), Ostreococcus (genus), unclassified Ostreococcus (no rank), Ostreococcus sp. 'lucimarinus' (species)	PF04417;	
V9FNE8	201	DUF501 domain-containing protein	Phytophthora nicotianae P1569	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus), Phytophthora nicotianae (species)	PF04417;	
A0A0P1A8J7	213	DUF501 domain-containing protein	Plasmopara halstedii (Downy mildew of sunflower)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Plasmopara (genus)	PF04417;	
A0A2C6L2K9	763	Rhoptry protein	Cystoisospora suis	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Apicomplexa (phylum), Conoidasida (class), Coccidia (subclass), Eucoccidiorida (order), Eimeriorina (suborder), Sarcocystidae (family), Cystoisospora (genus)	PF04417;	
A0A2P4Y3U7	205	DUF501 domain-containing protein	Phytophthora palmivora	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
A0A3R7L3I4	279	Uncharacterized protein	Trypanosoma conorhini	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Trypanosoma (genus), Trypanosoma incertae sedis (no rank)	PF04417;	
A0A422N2V1	272	Uncharacterized protein	Trypanosoma rangeli	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Trypanosoma (genus), Herpetosoma (subgenus)	PF04417;	
A0A8J5XFE8	332	DUF222 domain-containing protein	Diacronema lutheri (Unicellular marine alga) (Monochrysis lutheri)	cellular organisms (no rank), Eukaryota (domain), Haptista (clade), Haptophyta (phylum), Pavlovophyceae (class), Pavlovales (order), Pavlovaceae (family), Diacronema (genus)	PF04417;	
A0A9N8EKR1	268	Uncharacterized protein	Seminavis robusta	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Naviculaceae (family), Seminavis (genus)	PF04417;	
A0A9W7CHG9	368	DUF501 domain-containing protein	Triparma laevis f. longispina	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bolidophyceae (class), Parmales (order), Triparmaceae (family), Triparma (genus), Triparma laevis (species)	PF04417;	
A4SAH6	233	DUF501 domain-containing protein	Ostreococcus lucimarinus (strain CCE9901)	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Chlorophyta (phylum), Mamiellophyceae (class), Mamiellales (order), Bathycoccaceae (family), Ostreococcus (genus), unclassified Ostreococcus (no rank), Ostreococcus sp. 'lucimarinus' (species)	PF04417;	
C1EGC9	344	Uncharacterized protein	Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga)	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Chlorophyta (phylum), Mamiellophyceae (class), Mamiellales (order), Mamiellaceae (family), Micromonas (genus)	PF04417;	
G4ZX89	212	DUF501 domain-containing protein	Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus), Phytophthora sojae (species)	PF04417;	
K2MEG4	271	Uncharacterized protein	Trypanosoma cruzi marinkellei	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Trypanosoma (genus), Schizotrypanum (subgenus), Trypanosoma cruzi (species)	PF04417;	
A0A8J2S4W0	267	DUF501 domain-containing protein	Pelagomonas calceolata	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Pelagophyceae (class), Pelagomonadales (order), Pelagomonadaceae (family), Pelagomonas (genus)	PF04417;	
A0A8J5M6Y4	204	DUF501 domain-containing protein	Phytophthora aleatoria	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
H3HCG6	189	DUF501 domain-containing protein	Phytophthora ramorum (Sudden oak death agent)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
Q4DED9	271	Uncharacterized protein	Trypanosoma cruzi (strain CL Brener)	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Trypanosoma (genus), Schizotrypanum (subgenus), Trypanosoma cruzi (species)	PF04417;	
U6GA88	482	Uncharacterized protein	Eimeria acervulina (Coccidian parasite)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Apicomplexa (phylum), Conoidasida (class), Coccidia (subclass), Eucoccidiorida (order), Eimeriorina (suborder), Eimeriidae (family), Eimeria (genus)	PF04417;	
A0A0D3JLZ0	519	Uncharacterized protein	Emiliania huxleyi (strain CCMP1516)	cellular organisms (no rank), Eukaryota (domain), Haptista (clade), Haptophyta (phylum), Prymnesiophyceae (clade), Isochrysidales (order), Noelaerhabdaceae (family), Emiliania (genus), Emiliania huxleyi (species)	PF04417;	
A0A0N0DX18	303	Uncharacterized protein	Leptomonas pyrrhocoris (Firebug parasite)	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Leishmaniinae (subfamily), Leptomonas (genus)	PF04417;	
A0A448ZKR0	308	Uncharacterized protein	Pseudo-nitzschia multistriata	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Bacillariales (order), Bacillariaceae (family), Pseudo-nitzschia (genus)	PF04417;	
A0A813HLF5	295	Uncharacterized protein	Polarella glacialis (Dinoflagellate)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Dinophyceae (class), Suessiales (order), Suessiaceae (family), Polarella (genus)	PF04417;	
A0A833W5L3	201	DUF501 domain-containing protein	Phytophthora infestans (Potato late blight agent) (Botrytis infestans)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
A0A976FR31	211	DUF501 domain-containing protein	Bremia lactucae (Lettuce downy mildew)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Bremia (genus)	PF04417;	
A0A9P1DTS0	290	Uncharacterized protein	Cladocopium goreaui	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Dinophyceae (class), Suessiales (order), Symbiodiniaceae (family), Cladocopium (genus)	PF04417;	
A0A9W7F214	384	DUF501 domain-containing protein	Triparma strigata	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bolidophyceae (class), Parmales (order), Triparmaceae (family), Triparma (genus)	PF04417;	
B7FYF2	294	Uncharacterized protein	Phaeodactylum tricornutum (strain CCAP 1055/1)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Phaeodactylaceae (family), Phaeodactylum (genus), Phaeodactylum tricornutum (species)	PF04417;	
Q4CZW9	271	Uncharacterized protein	Trypanosoma cruzi (strain CL Brener)	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Trypanosoma (genus), Schizotrypanum (subgenus), Trypanosoma cruzi (species)	PF04417;	
W7TTH5	341	DUF501 domain-containing protein	Nannochloropsis gaditana	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Eustigmatophyceae (class), Eustigmatales (order), Monodopsidaceae (family), Nannochloropsis (genus)	PF04417;	
K0SY20	894	Pseudouridine synthase RsuA/RluA-like domain-containing protein	Thalassiosira oceanica (Marine diatom)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Thalassiosirophycidae (subclass), Thalassiosirales (order), Thalassiosiraceae (family), Thalassiosira (genus)	PF04417;PF00849;	
A0A1X0PAX3	301	Uncharacterized protein	Trypanosoma theileri	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Euglenozoa (phylum), Kinetoplastea (class), Metakinetoplastina (subclass), Trypanosomatida (order), Trypanosomatidae (family), Trypanosoma (genus), Trypanosoma incertae sedis (no rank)	PF04417;	
A0A1Z5K273	228	DUF501 domain-containing protein	Fistulifera solaris (Oleaginous diatom)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Naviculaceae (family), Fistulifera (genus)	PF04417;	
A0AAD7XP85	272	DUF501 domain-containing protein	Chrysophaeum taylorii	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Pelagophyceae (class), Pelagomonadales (order), Pelagomonadaceae (family), Chrysophaeum (genus)	PF04417;	
A0AAD8Y711	204	DUF501 domain-containing protein	Skeletonema marinoi	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Thalassiosirophycidae (subclass), Thalassiosirales (order), Skeletonemataceae (family), Skeletonema (genus), Skeletonema marinoi-dohrnii complex (clade)	PF04417;	
C1MVM0	372	Predicted protein	Micromonas pusilla (strain CCMP1545) (Picoplanktonic green alga)	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Chlorophyta (phylum), Mamiellophyceae (class), Mamiellales (order), Mamiellaceae (family), Micromonas (genus), Micromonas pusilla (species)	PF04417;	
A0A1E7F370	243	Uncharacterized protein	Fragilariopsis cylindrus CCMP1102	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Bacillariales (order), Bacillariaceae (family), Fragilariopsis (genus), Fragilariopsis cylindrus (species)	PF04417;	
A0A6A5CBS0	301	Uncharacterized protein	Naegleria fowleri (Brain eating amoeba)	cellular organisms (no rank), Eukaryota (domain), Discoba (clade), Heterolobosea (phylum), Tetramitia (clade), Eutetramitia (clade), Vahlkampfiidae (family), Naegleria (genus)	PF04417;	
