accession	domaine
A0A1A3N5T7	Bacteria
A0A1A3TBC5	supprimé d'UniProt
A0A1A5NZT7	supprimé d'UniProt
A0A1A8TMW0	Bacteria
A0A1A8TQU0	Bacteria
A0A1A9AER1	Bacteria
A0A1A9BUG8	supprimé d'UniProt
A0A1A9ET33	Bacteria
A0A1A9GJA1	Bacteria
A0A1A9IX85	supprimé d'UniProt
A0A1B1BKY5	Bacteria
A0A1B1MAT7	Bacteria
A0A1B1NBG3	Bacteria
A0A1B1ZJZ1	supprimé d'UniProt
A0A1B2I9H9	Bacteria
A0A1B6AMP2	supprimé d'UniProt
A0A1B9ER07	supprimé d'UniProt
A0A1B9NJ22	Bacteria
A0A1C0A6F1	Bacteria
A0A1C0APZ8	Bacteria
A0A1C3N605	Bacteria
A0A1C3NV46	Bacteria
A0A1C4H2X7	Bacteria
A0A1C4LLH9	supprimé d'UniProt
A0A1C4RQD7	supprimé d'UniProt
A0A1C4SCW8	supprimé d'UniProt
A0A1C4Z1C9	Bacteria
A0A1C5D5J8	supprimé d'UniProt
A0A1C5DY32	supprimé d'UniProt
A0A1C5GEV6	Bacteria
A0A1C5H7Z4	Bacteria
A0A1C5HDK6	Bacteria
A0A1C5JVF4	Bacteria
A0A1C6P4X0	supprimé d'UniProt
A0A1C6RNY0	Bacteria
A0A1C6RQB8	Bacteria
A0A1C6SE93	Bacteria
A0A1C6U6K9	Bacteria
A0A1C9WWV7	supprimé d'UniProt
A0A1D2IC70	supprimé d'UniProt
A0A1D3CV76	Eukaryota
A0A1D7VFH0	Bacteria
A0A1D8B1T2	Bacteria
A0A1D8G1E8	Bacteria
A0A1D8T9K8	supprimé d'UniProt
A0A1D9DYA2	Bacteria
A0A1D9MKW9	Bacteria
A0A1E2VDW8	Bacteria
A0A1E3R3T0	Bacteria
A0A1E3SVP7	Bacteria
A0A1E5PAH4	Bacteria
A0A1E5PRY4	Bacteria
A0A1E7F370	Eukaryota
A0A1E7FHM1	Eukaryota
A0A1E7JMF8	Bacteria
A0A1E7K0H0	supprimé d'UniProt
A0A1E7KNA0	Bacteria
A0A1E7L6T4	Bacteria
A0A1E7N185	Bacteria
A0A1E8CQW5	supprimé d'UniProt
A0A1E8FP69	supprimé d'UniProt
A0A1E8QCH4	Bacteria
A0A1F1ECV7	supprimé d'UniProt
A0A1F1IHG0	supprimé d'UniProt
A0A1F1K3L3	supprimé d'UniProt
A0A1F1KR42	supprimé d'UniProt
A0A1F1UX71	supprimé d'UniProt
A0A1G4VLY7	supprimé d'UniProt
A0A1G4XBN8	Bacteria
A0A1G5KVS8	supprimé d'UniProt
A0A1G6GD48	Bacteria
A0A1G6PZ67	Bacteria
A0A1G6QFM8	Bacteria
A0A1G6REJ4	Bacteria
A0A1G6VSF5	Bacteria
A0A1G6YUL6	Bacteria
A0A1G7ARX3	Bacteria
A0A1G7BB78	Bacteria
A0A1G7S5Z6	Bacteria
A0A1G7VEW0	Bacteria
A0A1G7Z4A0	Bacteria
A0A1G7ZY85	Bacteria
A0A1G8AJQ0	Bacteria
A0A1G8LJ99	Bacteria
A0A1G8NUM8	Bacteria
A0A1G8Q5E3	supprimé d'UniProt
A0A1G8RZB1	Bacteria
A0A1G8UG04	Bacteria
A0A1G8VQZ6	Bacteria
A0A1G8XIW1	Bacteria
A0A1G9GV53	Bacteria
A0A1G9JVY6	Bacteria
A0A1G9NH86	Bacteria
A0A1G9QAE2	Bacteria
A0A1G9QDH2	Bacteria
A0A1G9WDB8	supprimé d'UniProt
A0A1G9YQH6	Bacteria
A0A1H0A1G5	Bacteria
A0A1H0EWY9	Bacteria
A0A1H0IIE2	Bacteria
A0A1H0RYS4	Bacteria
A0A1H0S751	Bacteria
A0A1H1A2D9	Bacteria
A0A1H1B8Q8	Bacteria
A0A1H1CX13	supprimé d'UniProt
A0A1H1L022	Bacteria
A0A1H1L054	Bacteria
A0A1H1M1X9	Bacteria
A0A1H1M6W5	Bacteria
A0A1H1N120	Bacteria
A0A1H1QIP0	Bacteria
A0A1H1QVY7	Bacteria
A0A1H1SWQ0	Bacteria
A0A1H1Z1F0	Bacteria
A0A1H2CKJ7	Bacteria
A0A1H2MVV0	Bacteria
A0A1H2VXD0	Bacteria
A0A1H3EN29	Bacteria
A0A1H3F6Q6	supprimé d'UniProt
A0A1H3MCL6	Bacteria
A0A1H3SAZ0	Bacteria
A0A1H4D1N5	supprimé d'UniProt
A0A1H4DK14	Bacteria
A0A1H4IP40	Bacteria
A0A1H4SQC4	Bacteria
A0A1H4U0U2	supprimé d'UniProt
A0A1H5HLH7	supprimé d'UniProt
A0A1H5N5B5	Bacteria
A0A1H5NEU4	supprimé d'UniProt
A0A1H5ZIN2	Bacteria
A0A1H6AE17	Bacteria
A0A1H6D2N6	Bacteria
A0A1H6EMI6	Bacteria
A0A1H6U5J5	Bacteria
A0A1H6Y415	Bacteria
A0A1H7FLF4	Bacteria
A0A1H7GIJ8	Bacteria
A0A1H7MR17	Bacteria
A0A1H7NAU7	supprimé d'UniProt
A0A1H8R0S6	Bacteria
A0A1H8RGJ5	Bacteria
A0A1H9H5L9	Bacteria
A0A1H9RH22	Bacteria
A0A1H9RS84	supprimé d'UniProt
A0A1H9XVZ4	Bacteria
A0A1I0KTK6	Bacteria
A0A1I0X3B4	Bacteria
A0A1I1BFV9	Bacteria
A0A1I1GQS5	Bacteria
A0A1I1H9T9	Bacteria
A0A1I1P179	Bacteria
A0A1I1YI38	Bacteria
A0A1I2FV70	Bacteria
A0A1I2HG77	Bacteria
A0A1I2INV9	Bacteria
A0A1I2S6F7	Bacteria
A0A1I3EF69	Bacteria
A0A1I3H2I4	Bacteria
A0A1I3X525	Bacteria
A0A1I3XP40	supprimé d'UniProt
A0A1I4FUR4	Bacteria
A0A1I4IBH4	supprimé d'UniProt
A0A1I4KS97	Bacteria
A0A1I5D143	Bacteria
A0A1I5DFU1	Bacteria
A0A1I5G4P8	Bacteria
A0A1I5NM34	Bacteria
A0A1I5PYZ4	Bacteria
A0A1I6LZU6	supprimé d'UniProt
A0A1I6VB86	Bacteria
A0A1I7HJA0	Bacteria
A0A1I7MMB9	Bacteria
A0A1J0VY91	Bacteria
A0A1J1H6W7	Eukaryota
A0A1J4N8V4	Bacteria
A0A1J4NL68	Bacteria
A0A1J4PTF5	Bacteria
A0A1J7BZD8	Bacteria
A0A1K0GTS2	Bacteria
A0A1K1V041	Bacteria
A0A1K2FJY9	supprimé d'UniProt
A0A1L2ZND2	Bacteria
A0A1L3MIE3	Bacteria
A0A1L7BDV6	supprimé d'UniProt
A0A1L7CF24	Bacteria
A0A1L7CKY8	Bacteria
A0A1L7CZ60	Bacteria
A0A1L7D4D0	Bacteria
A0A1M4RXG8	Bacteria
A0A1M4VPZ3	Bacteria
A0A1M5E620	Bacteria
A0A1M5EAK2	Bacteria
A0A1M5KT45	Bacteria
A0A1M5RY54	Bacteria
A0A1M5SP63	Bacteria
A0A1M5Z7P6	supprimé d'UniProt
A0A1M6F9J8	Bacteria
A0A1M6TW32	Bacteria
A0A1M6XCH1	Bacteria
A0A1M7F4Z2	Bacteria
A0A1M7GD49	Bacteria
A0A1M7RJL8	Bacteria
A0A1N6SXW7	Bacteria
A0A1N7AHJ4	Bacteria
A0A1N7DQ16	Bacteria
A0A1P8UCA8	Bacteria
A0A1Q2CJ36	Bacteria
A0A1Q2CPB7	Bacteria
A0A1Q2CZ41	Bacteria
A0A1Q2HY75	Bacteria
A0A1Q4VDT5	Bacteria
A0A1Q4VIN3	supprimé d'UniProt
A0A1Q4WK25	supprimé d'UniProt
A0A1Q4XHD1	supprimé d'UniProt
A0A1Q4YKC2	supprimé d'UniProt
A0A1Q5AGN7	supprimé d'UniProt
A0A1Q5DHB8	supprimé d'UniProt
A0A1Q5G6F7	supprimé d'UniProt
A0A1Q5KY03	supprimé d'UniProt
A0A1Q5LGQ4	supprimé d'UniProt
A0A1Q5LI36	supprimé d'UniProt
A0A1Q5MAI2	supprimé d'UniProt
A0A1Q5MR32	supprimé d'UniProt
A0A1Q5PJT6	Bacteria
A0A1Q5PRW5	Bacteria
A0A1Q5PZ27	Bacteria
A0A1Q5Q1R8	Bacteria
A0A1Q8CLU6	Bacteria
A0A1Q9LDB6	Bacteria
A0A1Q9TU34	supprimé d'UniProt
A0A1Q9VHA5	supprimé d'UniProt
A0A1Q9VZ99	supprimé d'UniProt
A0A1R1IH41	supprimé d'UniProt
A0A1R1L8R6	Bacteria
A0A1R1MIS2	supprimé d'UniProt
A0A1R1S5J9	Bacteria
A0A1R3UF37	supprimé d'UniProt
A0A1R3W0T8	supprimé d'UniProt
A0A1R3XZ94	Bacteria
A0A1R4FGJ2	supprimé d'UniProt
A0A1R4GCV6	Bacteria
A0A1R4GE52	supprimé d'UniProt
A0A1R4GJ14	Bacteria
A0A1R4HNR1	supprimé d'UniProt
A0A1R4I6D7	Bacteria
A0A1R4JAF0	Bacteria
A0A1R4JX72	Bacteria
A0A1S1NHN1	Bacteria
A0A1S1QAS3	Bacteria
A0A1S1RJS5	Bacteria
A0A1S2DEE4	supprimé d'UniProt
A0A1S2K709	supprimé d'UniProt
A0A1S2P170	Bacteria
A0A1S2QME7	Bacteria
A0A1S6JBW2	Bacteria
A0A1S9MFJ9	supprimé d'UniProt
A0A1T1HGB5	Bacteria
A0A1T3NY34	Bacteria
A0A1T4R4P2	Bacteria
A0A1T4SG54	Bacteria
A0A1T4SYI4	Bacteria
A0A1T5ID24	Bacteria
A0A1T5IZC4	Bacteria
A0A1V0AES8	Bacteria
A0A1V0TSC2	Bacteria
A0A1V1RI09	supprimé d'UniProt
A0A1V1W762	supprimé d'UniProt
A0A1V2IKX5	Bacteria
A0A1V2QDP9	supprimé d'UniProt
A0A1V2RN62	supprimé d'UniProt
A0A1V4A244	Bacteria
A0A1V4D1X4	Bacteria
A0A1V9A607	Bacteria
A0A1V9KAZ9	supprimé d'UniProt
A0A1V9Z5R7	Eukaryota
A0A1W0AC20	Eukaryota
A0A1W0B466	Bacteria
A0A1W2EZC7	Bacteria
A0A1W2FQ37	Bacteria
A0A1W7CZW5	Bacteria
A0A1X0DLQ0	Bacteria
A0A1X0DQH6	Bacteria
A0A1X0PAX3	Eukaryota
A0A1X0UTL6	supprimé d'UniProt
A0A1X1BPA5	supprimé d'UniProt
A0A1X1R2X0	Bacteria
A0A1X1RL02	Bacteria
A0A1X1TCA5	Bacteria
A0A1X1V389	Bacteria
A0A1X1XP24	Bacteria
A0A1X2EL70	Bacteria
A0A1X6X857	Bacteria
A0A1X7FW16	supprimé d'UniProt
A0A1X9LKQ4	Bacteria
A0A1Y0CEC5	Bacteria
A0A1Y1RLS5	Bacteria
A0A1Y1V0F2	Eukaryota
A0A1Y1V0X5	Eukaryota
A0A1Y1WPY2	Eukaryota
A0A1Y2D9Z0	supprimé d'UniProt
A0A1Y2N4A8	Bacteria
A0A1Y3FDV0	Bacteria
A0A1Y3MWU4	supprimé d'UniProt
A0A1Y4GFJ5	supprimé d'UniProt
A0A1Z1WC58	Bacteria
A0A1Z4EMG5	Bacteria
A0A1Z5JA01	Eukaryota
A0A1Z5K273	Eukaryota
A0A1Z5K406	Eukaryota
A0A200H4C8	supprimé d'UniProt
A0A209BKJ7	supprimé d'UniProt
A0A212U7U1	Bacteria
A0A221P1D4	Bacteria
A0A221R3F2	supprimé d'UniProt
A0A221VYQ2	Bacteria
A0A222VVS7	Bacteria
A0A223S338	Bacteria
A0A225VD34	Eukaryota
A0A231H0S7	Bacteria
A0A233SLJ7	Bacteria
A0A238VEE8	Bacteria
A0A238W622	Bacteria
A0A238XEQ1	Bacteria
A0A239AP79	Bacteria
A0A239IB12	Bacteria
A0A239JHU4	Bacteria
A0A239K2U9	supprimé d'UniProt
A0A239MI20	Bacteria
A0A239QUT6	supprimé d'UniProt
A0A239VTR7	Bacteria
A0A240URE7	Bacteria
A0A246RRK1	Bacteria
A0A248YJA3	supprimé d'UniProt
A0A249KF86	Bacteria
A0A249KUB2	Bacteria
A0A249L591	Bacteria
A0A249LGW1	Bacteria
A0A250VIA1	Bacteria
A0A251YVL4	Bacteria
A0A255ESA9	Bacteria
A0A255GCJ0	Bacteria
A0A255GQM5	Bacteria
A0A261D9J5	supprimé d'UniProt
A0A261ET31	Bacteria
A0A261EYK0	Bacteria
A0A261F568	Bacteria
A0A261FA27	Bacteria
A0A261FGG2	Bacteria
A0A261FUJ3	Bacteria
A0A261G608	Bacteria
A0A263D8R8	Bacteria
A0A263DYP3	supprimé d'UniProt
A0A285EH76	Bacteria
A0A285IWS7	Bacteria
A0A285L7H5	Bacteria
A0A285QKE3	supprimé d'UniProt
A0A285VIJ6	Bacteria
A0A286E309	Bacteria
A0A286GZV5	Bacteria
A0A291GPY8	Bacteria
A0A291PBK3	Bacteria
A0A291Q9D8	Bacteria
A0A2A3AI15	supprimé d'UniProt
A0A2A3H485	supprimé d'UniProt
A0A2A3YKC1	Bacteria
A0A2A4KMN4	supprimé d'UniProt
A0A2A7MUP6	Bacteria
A0A2A8D5Q1	Bacteria
A0A2A9CSH2	Bacteria
A0A2A9D3C2	Bacteria
A0A2A9DQJ7	Bacteria
A0A2A9E0Q7	Bacteria
A0A2A9E255	Bacteria
A0A2A9EGZ9	Bacteria
A0A2A9EJV3	Bacteria
A0A2A9FDR5	Bacteria
A0A2A9M7T6	Eukaryota
A0A2B8AXD2	supprimé d'UniProt
A0A2C6L2K9	Eukaryota
A0A2C8ZGI2	Bacteria
A0A2C9STR9	supprimé d'UniProt
A0A2G1XJ26	Bacteria
A0A2G5ITE0	supprimé d'UniProt
A0A2G5PFA4	Bacteria
A0A2H1L6Q2	Bacteria
A0A2H5B4R0	supprimé d'UniProt
A0A2H6K7W2	Eukaryota
A0A2I0SNE9	Bacteria
A0A2I2L070	Bacteria
A0A2K2RL20	supprimé d'UniProt
A0A2K8PHW4	Bacteria
A0A2L0N350	supprimé d'UniProt
A0A2L2BPD4	Bacteria
A0A2M8LUP2	Bacteria
A0A2M8WTF4	Bacteria
A0A2M9BG15	Bacteria
A0A2M9BW38	Bacteria
A0A2M9CDH0	Bacteria
A0A2M9CHS6	Bacteria
A0A2M9H8F7	Bacteria
A0A2M9HE79	Bacteria
A0A2M9HI13	Bacteria
A0A2M9HQW1	Bacteria
A0A2M9IEH0	supprimé d'UniProt
A0A2M9JJ01	supprimé d'UniProt
A0A2M9LZZ2	supprimé d'UniProt
A0A2N0WMG8	supprimé d'UniProt
A0A2N1JMR2	supprimé d'UniProt
A0A2N3YKY2	Bacteria
A0A2N5WYL1	Bacteria
A0A2N5XE93	supprimé d'UniProt
A0A2N5Y3S2	Bacteria
A0A2N6PE86	Bacteria
A0A2N6T2H6	Bacteria
A0A2N6TYQ2	supprimé d'UniProt
A0A2N7TS87	Bacteria
A0A2N7UN51	Bacteria
A0A2N8NSX7	Bacteria
A0A2N8PNT2	Bacteria
A0A2N9JMD8	Bacteria
A0A2P2GKE1	Bacteria
A0A2P4UR39	Bacteria
A0A2P4Y3U7	Eukaryota
A0A2P8ASE6	supprimé d'UniProt
A0A2P8DM99	Bacteria
A0A2P8E5Q4	Bacteria
A0A2P8QD08	Bacteria
A0A2P9F7T1	supprimé d'UniProt
A0A2R2W6N5	supprimé d'UniProt
A0A2R4FN53	supprimé d'UniProt
A0A2R4T305	Bacteria
A0A2R7RBC9	supprimé d'UniProt
A0A2R7Z125	Bacteria
A0A2S0KK33	Bacteria
A0A2S0WUB1	Bacteria
A0A2S1SSP3	Bacteria
A0A2S2BZ51	Bacteria
A0A2S3QTM8	supprimé d'UniProt
A0A2S3ZA47	Bacteria
A0A2S3ZZW3	Bacteria
A0A2S4XNQ2	supprimé d'UniProt
A0A2S4YNZ3	supprimé d'UniProt
A0A2S4YZG4	supprimé d'UniProt
A0A2S5X5T8	supprimé d'UniProt
A0A2S6GYN5	Bacteria
A0A2S6ISL8	Bacteria
A0A2S8WPK9	supprimé d'UniProt
A0A2S9AF51	supprimé d'UniProt
A0A2S9Q266	Bacteria
A0A2S9QM34	Bacteria
A0A2S9Z4W4	supprimé d'UniProt
A0A2T0GS89	Bacteria
A0A2T0KPS0	Bacteria
A0A2T0M048	Bacteria
A0A2T0N0N0	Bacteria
A0A2T0QD94	Bacteria
A0A2T0S3U0	Bacteria
A0A2T0TM02	Bacteria
A0A2T0UJS2	Bacteria
A0A2T0UZ09	Bacteria
A0A2T0V4P3	Bacteria
A0A2T0Y1N4	supprimé d'UniProt
A0A2T1A031	Bacteria
A0A2T3GDM9	Bacteria
A0A2T5X6C6	supprimé d'UniProt
A0A2T7TE88	Bacteria
A0A2T7TIR0	supprimé d'UniProt
A0A2T8F7M7	Bacteria
A0A2T9XVV0	supprimé d'UniProt
A0A2U0HBH2	supprimé d'UniProt
A0A2U1EWD3	Bacteria
A0A2U1T033	Bacteria
A0A2U1T6U8	Bacteria
A0A2U1TI24	Bacteria
A0A2U2RMJ1	Bacteria
A0A2U2Z1L3	supprimé d'UniProt
A0A2U2ZUX1	supprimé d'UniProt
A0A2U3CAJ5	supprimé d'UniProt
A0A2U3GWH9	supprimé d'UniProt
A0A2U9P3Q1	Bacteria
A0A2V1HM36	Bacteria
A0A2V1KDT3	Bacteria
A0A2V3DVK4	Bacteria
A0A2V4ALT6	Bacteria
A0A2V4NZV8	Bacteria
A0A2V5IX13	Bacteria
A0A2V5LD08	Bacteria
A0A2W1U549	supprimé d'UniProt
A0A2W2A451	supprimé d'UniProt
A0A2W2C0J1	Bacteria
A0A2W2C5A8	Bacteria
A0A2W2ESJ2	Bacteria
A0A2W2F1I1	Bacteria
A0A2W2GQC3	Bacteria
A0A2W2KY87	supprimé d'UniProt
A0A2W5WSD3	Bacteria
A0A2X0IAX3	Bacteria
A0A2X0VDN0	Bacteria
A0A2X3MK37	Bacteria
A0A2X4X1W5	Bacteria
A0A2Y9A3R6	Bacteria
A0A2Z3S480	Bacteria
A0A2Z3YM28	Bacteria
A0A2Z4V411	supprimé d'UniProt
A0A2Z5K2G0	supprimé d'UniProt
A0A2Z5QYB5	Bacteria
A0A316AE77	Bacteria
