sequence	best_acti_full_%	best_pseudo_full_%	best_acti_matched_N104_mean_%	diff_matched_minus_pseudo	p_empirique
A0A6A3EY96_9STRA/57-203	40.82	40.77	35.98	-4.79	0.063
A0A8T1W2Z0_9STRA/49-194	41.51	41.73	37.76	-3.98	0
A0A1Z5JA01_FISSO/109-280	40.00	35.71	34.84	-0.87	0.263
A0AAD9G490_9STRA/48-194	39.29	41.73	37.41	-4.32	0
A0A812SID3_9DINO/226-367	37.14	30.17	34.21	+4.04	1
A0A2A9M7T6_9APIC/291-444	42.31	42.50	40.53	-1.97	0
C1ECF1_MICCC/83-248	51.81	36.97	38.03	+1.06	0.569
A0A9K3PP58_9STRA/176-305	34.38	32.39	32.00	-0.40	0.398
D0NKV2_PHYIT/47-194	38.39	41.73	36.54	-5.19	0
A0A833W5L3_PHYIN/47-194	38.39	41.73	36.54	-5.19	0
A0A2P4Y3U7_9STRA/46-192	38.39	43.31	36.85	-6.45	0
A0A8T1WVM5_9STRA/51-197	45.24	39.69	36.70	-2.99	0.131
U6GA88_EIMAC/249-361	38.24	38.89	36.27	-2.62	0
V9FNE8_PHYNI/48-194	38.94	42.19	37.05	-5.14	0
H3HCG6_PHYRM/30-175	41.18	41.41	37.46	-3.94	0
A0A9W7F214_9STRA/221-369	39.29	38.02	35.11	-2.91	0.061
A0A061J860_TRYRA/29-175	40.00	31.58	34.68	+3.10	0.998
A0A3R7L3I4_9TRYP/29-173	40.00	32.46	34.62	+2.16	0.891
A0A329RZZ6_9STRA/51-197	40.38	41.86	36.20	-5.66	0
A0A8J5M6Y4_9STRA/51-197	40.38	41.86	36.04	-5.82	0
A0A8J2S4W0_9STRA/79-228	39.13	36.72	34.71	-2.01	0.194
A0A422N2V1_TRYRA/29-173	40.00	30.70	33.79	+3.09	0.999
A4SB46_OSTLU/68-222	38.89	30.58	33.99	+3.41	0.998
A4SAH6_OSTLU/38-208	44.83	41.09	39.18	-1.91	0.418
G4ZX89_PHYSP/53-198	40.38	40.62	36.56	-4.07	0
A0A0G4GKB7_VITBC/134-268	50.00	44.78	36.03	-8.75	0.061
W7TTH5_9STRA/118-255	35.34	30.70	31.94	+1.24	0.94
A0A0P1A8J7_PLAHL/51-197	38.24	40.31	35.50	-4.81	0
K2MEG4_TRYCR/29-173	42.86	31.58	34.87	+3.29	0.936
B7FYF2_PHATC/92-283	43.10	34.81	35.59	+0.78	0.619
A0A448ZKR0_9STRA/69-214	35.71	32.98	34.79	+1.81	0.968
A0A9N8EKR1_9STRA/67-257	36.84	33.06	33.13	+0.07	0.344
A0A9P1DTS0_9DINO/67-210	37.90	31.71	35.35	+3.64	1
A0A096PAX5_OSTTA/19-177	35.14	29.31	32.38	+3.07	1
A0A976FR31_BRELC/50-196	37.17	39.84	34.52	-5.33	0
A0AAD9DHG2_9STRA/66-237	32.50	30.28	30.43	+0.15	0.517
A0A9K3KWR1_9STRA/196-345	32.94	29.07	30.67	+1.60	0.836
A0A2C6L2K9_9APIC/550-663	39.68	38.36	38.02	-0.34	0.391
A0AAD2GC12_9STRA/48-218	36.07	32.81	33.68	+0.87	0.637
A0A0S4KPJ4_BODSA/39-180	34.29	30.17	30.59	+0.42	0.32
A0A0D3JLZ0_EMIH1/81-263	41.38	30.08	35.64	+5.56	1
A0A0D3KZC9_EMIH1/81-263	41.38	30.08	35.65	+5.57	1
A0A8J5XFE8_DIALT/100-242	38.24	29.91	33.73	+3.81	0.982
A0A9W7CHG9_9STRA/197-347	37.04	35.40	33.66	-1.74	0.061
Q4DED9_TRYCC/29-173	42.86	31.58	34.03	+2.46	0.709
C1EGC9_MICCC/102-314	37.84	28.95	32.83	+3.88	0.997
Q4CZW9_TRYCC/29-173	42.86	31.58	34.21	+2.63	0.81
A0A813HLF5_POLGL/85-231	33.88	28.21	31.94	+3.74	1
A0A0N0DX18_LEPPY/35-177	34.29	32.17	32.17	-0.01	0.483
A0AAD8Y711_9STRA/12-138	36.67	30.77	34.05	+3.28	0.999
A0A9W7GL09_9STRA/128-285	35.71	27.84	32.69	+4.85	1
A0A9N8DX47_9STRA/58-207	29.51	29.55	28.75	-0.80	0
K0SY20_THAOC/684-822	40.00	29.52	34.40	+4.88	1
A0AAD7XP85_9STRA/59-197	35.29	31.93	32.16	+0.23	0.374
A0A9N8EZL3_9STRA/78-228	29.75	29.32	28.36	-0.96	0.071
A0A8J2S7V2_9STRA/58-196	36.36	31.30	32.06	+0.75	0.461
D8LLL9_ECTSI/5-144	38.89	30.77	32.94	+2.18	0.801
A0A1Z5K273_FISSO/57-217	36.13	30.77	33.43	+2.66	0.962
Q4Q2H2_LEIMA/36-178	34.29	28.45	30.05	+1.60	0.826
Q580D1_TRYB2/23-168	37.14	28.69	31.34	+2.65	0.99
A4IAD9_LEIIN/36-178	34.29	28.45	30.68	+2.23	0.938
A0A1X0PAX3_9TRYP/29-173	34.29	30.77	30.32	-0.45	0.464
A0AAD3DF44_9STRA/19-164	31.91	30.89	30.01	-0.89	0.063
A0AAD2CGX9_9STRA/76-225	33.33	28.95	31.12	+2.17	1
F0YD16_AURAN/65-208	40.00	29.77	32.75	+2.98	0.655
A0A7G2C5F5_9TRYP/33-176	35.85	28.57	31.34	+2.77	1
A0A1E7F370_9STRA/16-194	32.79	28.83	29.31	+0.48	0.622
C1MVM0_MICPC/164-316	40.54	28.10	33.58	+5.48	0.999
S9TXE0_9TRYP/63-206	31.43	27.83	29.03	+1.20	0.63
A0AA88KMG9_NAELO/131-247	26.87	25.76	26.26	+0.50	0.751
A0A6A5CBS0_NAEFO/58-170	26.67	22.97	24.75	+1.78	0.912
