id	accession	organism_code	organism_name	order	uniprot_length	module_len	tail_len	total_len
B4V7H8_9ACTN/2-68	B4V7H8	9ACTN		None		32	35	67
A0A3R8YCM1_9ACTN/2-78	A0A3R8YCM1	9ACTN		None		32	45	77
A0A918LV59_9ACTN/2-79	A0A918LV59	9ACTN	Streptomyces purpureus	Kitasatosporales	84	32	46	78
A0A975PEI8_9MICC/2-73	A0A975PEI8	9MICC	Arthrobacter sunyaminii	Micrococcales	78	32	40	72
A0A919P1J0_9CELL/2-68	A0A919P1J0	9CELL	Cellulomonas chitinilytica	Micrococcales	68	32	35	67
A0A4P8KRT7_9MICO/2-62	A0A4P8KRT7	9MICO		None		32	29	61
A0A031FTD7_9MICO/2-63	A0A031FTD7	9MICO	Microbacterium oleivorans	Micrococcales	69	32	30	62
A0A2T5X7L9_9MICO/2-68	A0A2T5X7L9	9MICO		None		32	35	67
A0A0Q5EK71_9MICO/2-67	A0A0Q5EK71	9MICO		None		32	34	66
A0A934Q890_9MICO/2-66	A0A934Q890	9MICO	Leucobacter chromiisoli	Micrococcales	69	32	33	65
E4MZL1_KITSK/2-76	E4MZL1	KITSK	Kitasatospora setae (strain ATCC 33774 / DSM 43861 / JCM 3304 / KCC A-0304 / NBRC 14216 / KM-6054) (Streptomyces setae)	Kitasatosporales	81	32	43	75
A0A5R8Z1C9_9PSEU/2-60	A0A5R8Z1C9	9PSEU	Microbispora triticiradicis	Streptosporangiales	63	31	28	59
A0A3N2IIC2_9MICO/2-64	A0A3N2IIC2	9MICO		None		32	31	63
A0A7M1SUB9_9MICO/2-61	A0A7M1SUB9	9MICO	Ruania alkalisoli	Micrococcales	65	32	28	60
A0A9W6LYY5_9MICO/2-66	A0A9W6LYY5	9MICO	Leifsonia poae	Micrococcales	68	32	33	65
A0A2T0VDF4_9MICO/2-81	A0A2T0VDF4	9MICO	Glaciihabitans tibetensis	Micrococcales	84	32	48	80
A0A4Q7KX89_9PSEU/2-61	A0A4Q7KX89	9PSEU	Herbihabitans rhizosphaerae	Pseudonocardiales	61	32	28	60
A0A1G9KJW6_9ACTN/2-74	A0A1G9KJW6	9ACTN	Tessaracoccus oleiagri	Propionibacteriales	75	32	41	73
A0A1R1IEV1_9ACTN/2-74	A0A1R1IEV1	9ACTN		None		32	41	73
M1NV47_9CORY/2-65	M1NV47	9CORY	Corynebacterium halotolerans YIM 70093 = DSM 44683	Mycobacteriales	79	32	32	64
A0A6G4U273_9ACTN/2-67	A0A6G4U273	9ACTN	Streptomyces coryli	Kitasatosporales	84	32	34	66
A0A1H6CJY7_9ACTN/2-67	A0A1H6CJY7	9ACTN	Thermomonospora echinospora	Streptosporangiales	72	32	34	66
A0A3N3ZTE9_9MICC/2-69	A0A3N3ZTE9	9MICC	Kocuria soli	Micrococcales	69	32	36	68
A0A8J2TXW8_9MICO/2-62	A0A8J2TXW8	9MICO	Sediminivirga luteola	Micrococcales	63	32	29	61
A0A916NP63_9MICO/2-60	A0A916NP63	9MICO	Leucobacter soli	Micrococcales	60	32	27	59
A0A1S1LE99_9MYCO/2-59	A0A1S1LE99	9MYCO	Mycobacteroides franklinii	Mycobacteriales	59	32	26	58
A0A365H3F9_9ACTN/2-64	A0A365H3F9	9ACTN	Actinomadura craniellae	Streptosporangiales	70	32	31	63
A0A8J3CE11_9PSEU/2-57	A0A8J3CE11	9PSEU	Longimycelium tulufanense	Pseudonocardiales	59	32	24	56
A0A1Z4ENA8_9MYCO/2-62	A0A1Z4ENA8	9MYCO	Mycobacterium shigaense	Mycobacteriales	62	32	29	61
A0A2W2NDS4_9ACTN/2-64	A0A2W2NDS4	9ACTN		None		32	31	63
A0A841AT07_9MICO/2-89	A0A841AT07	9MICO	Conyzicola lurida	Micrococcales	91	32	56	88
A0A4S2U753_9ACTN/2-64	A0A4S2U753	9ACTN		None		32	31	63
A0A7W9G2A9_9ACTN/2-56	A0A7W9G2A9	9ACTN	Nonomuraea jabiensis	Streptosporangiales	56	32	23	55
A0A4V2EWI4_9MICO/2-62	A0A4V2EWI4	9MICO	Microcella putealis	Micrococcales	64	32	29	61
A0A7K3W9J1_9ACTN/2-72	A0A7K3W9J1	9ACTN	Goekera deserti	Geodermatophilales	73	32	39	71
A0A368T795_9ACTN/2-70	A0A368T795	9ACTN	Marinitenerispora sediminis	Streptosporangiales	91	32	37	69
A0A2U3H6G1_9ACTN/2-79	A0A2U3H6G1	9ACTN		None		32	46	78
A0A3A3YYV8_9ACTN/2-64	A0A3A3YYV8	9ACTN	Vallicoccus soli	Motilibacterales	64	32	31	63
A0A1T5KUK5_9MICO/2-63	A0A1T5KUK5	9MICO	Okibacterium fritillariae	Micrococcales	64	32	30	62
A0A4T2BRJ1_9MICO/2-83	A0A4T2BRJ1	9MICO	Subtercola vilae	Micrococcales	88	32	50	82
A0A1Q5MV10_9ACTN/2-80	A0A1Q5MV10	9ACTN		None		32	47	79
A0A2N1JKT8_9ACTO/2-61	A0A2N1JKT8	9ACTO		None		32	28	60
A0A3N6F6V4_9ACTN/2-81	A0A3N6F6V4	9ACTN		None		32	48	80
A4AFW8_9ACTN/2-72	A4AFW8	9ACTN		None		32	39	71
A0A923EWW7_9PSEU/2-64	A0A923EWW7	9PSEU		None		32	31	63
A0A0H5CQL1_9PSEU/2-60	A0A0H5CQL1	9PSEU		None		32	27	59
B5H5R4_STRE2/2-81	B5H5R4	STRE2	Streptomyces pristinaespiralis (strain ATCC 25486 / DSM 40338 / CBS 914.69 / JCM 4507 / KCC S-0507 / NBRC 13074 / NRRL 2958 / 5647)	Kitasatosporales	84	32	48	80
A0A9W6L3N2_9PSEU/2-63	A0A9W6L3N2	9PSEU	Pseudonocardia halophobica	Pseudonocardiales	65	32	30	62
A0A3N0DQA7_9ACTN/2-61	A0A3N0DQA7	9ACTN	Nocardioides marmorisolisilvae	Propionibacteriales	64	32	28	60
A0A3M2L507_9NOCA/2-70	A0A3M2L507	9NOCA	Nocardia stercoris	Mycobacteriales	71	32	37	69
A0A9W6I9L7_9ACTN/2-54	A0A9W6I9L7	9ACTN	Streptosporangium carneum	Streptosporangiales	55	32	21	53
A0A495IK76_9MICO/2-67	A0A495IK76	9MICO	Frondihabitans australicus	Micrococcales	74	32	34	66
A0A0M8WWM2_9ACTN/2-76	A0A0M8WWM2	9ACTN		None		32	43	75
A0A2T0U4U6_9MICO/2-63	A0A2T0U4U6	9MICO	Knoellia remsis	Micrococcales	64	32	30	62
A0A6G9Y5U3_9NOCA/2-68	A0A6G9Y5U3	9NOCA	Nocardia arthritidis	Mycobacteriales	68	32	35	67
A0A4R2R473_9PSEU/2-60	A0A4R2R473	9PSEU	Tamaricihabitans halophyticus	Pseudonocardiales	60	32	27	59
A0A7I7QIQ1_9MYCO/2-63	A0A7I7QIQ1	9MYCO	Mycolicibacterium sediminis	Mycobacteriales	63	32	30	62
A0A1Q8C0M4_9PSEU/2-61	A0A1Q8C0M4	9PSEU	Actinophytocola xanthii	Pseudonocardiales	61	32	28	60
A0A2S4YKG5_9ACTN/2-80	A0A2S4YKG5	9ACTN		None		32	47	79
A0A7X0EVX5_9ACTN/2-56	A0A7X0EVX5	9ACTN	Nonomuraea muscovyensis	Streptosporangiales	56	32	23	55
A0A4R4XPJ7_9ACTN/2-64	A0A4R4XPJ7	9ACTN		None		32	31	63
A0A4S5ADW2_9ACTN/2-62	A0A4S5ADW2	9ACTN		None		32	29	61
S2VY54_9ACTN/2-70	S2VY54	9ACTN	Propionimicrobium lymphophilum ACS-093-V-SCH5	Propionibacteriales	70	32	37	69
A0A239QUQ2_9MICO/2-72	A0A239QUQ2	9MICO		None		32	39	71
A0A1H3N6B6_9MICO/2-64	A0A1H3N6B6	9MICO	Herbiconiux ginsengi	Micrococcales	65	32	31	63
F4GZX7_CELFA/2-69	F4GZX7	CELFA	Cellulomonas fimi (strain ATCC 484 / DSM 20113 / JCM 1341 / CCUG 24087 / LMG 16345 / NBRC 15513 / NCIMB 8980 / NCTC 7547 / NRS-133)	Micrococcales	70	32	36	68
A0A552WUS2_9MICO/2-63	A0A552WUS2	9MICO	Georgenia yuyongxinii	Allobogoriellales	66	32	30	62
A0A543K7X6_9MICO/2-76	A0A543K7X6	9MICO	Ornithinimicrobium humiphilum	Micrococcales	78	32	43	75
A0A1C3N7Z8_9ACTN/2-66	A0A1C3N7Z8	9ACTN	Micromonospora krabiensis	Micromonosporales	71	32	33	65
A0A1X1T1N9_9MYCO/2-63	A0A1X1T1N9	9MYCO	Mycobacterium conspicuum	Mycobacteriales	63	32	30	62
A0A810KV73_9ACTN/2-61	A0A810KV73	9ACTN	Actinocatenispora sera	Micromonosporales	68	32	28	60
A0A6F8Y3X5_9ACTN/23-87	A0A6F8Y3X5	9ACTN	Phytohabitans flavus	Micromonosporales	91	32	33	65
A0A1H1VY45_9ACTN/2-72	A0A1H1VY45	9ACTN	Microlunatus soli	Propionibacteriales	74	32	39	71
A0A918EVI2_9ACTN/2-77	A0A918EVI2	9ACTN	Streptomyces pilosus	Kitasatosporales	81	32	44	76
A0A543BBU8_9MICO/2-61	A0A543BBU8	9MICO	Microbacterium saperdae	Micrococcales	61	32	28	60
A0A7M2SPB9_9ACTN/2-63	A0A7M2SPB9	9ACTN	Streptomyces ferrugineus	Kitasatosporales	85	32	30	62
A0A9X1N9C1_9ACTN/2-65	A0A9X1N9C1	9ACTN	Kineosporia babensis	Kineosporiales	71	32	32	64
A0A3P5WLL9_9MICC/2-70	A0A3P5WLL9	9MICC	Arthrobacter ulcerisalmonis	Micrococcales	77	32	37	69
S5V5P7_STRC3/2-80	S5V5P7	STRC3	Streptomyces collinus (strain DSM 40733 / Tue 365)	Kitasatosporales	83	32	47	79
A0A512SXX1_9MICO/2-63	A0A512SXX1	9MICO	Knoellia locipacati	Micrococcales	64	32	30	62
A0A561E7E0_9MICO/2-64	A0A561E7E0	9MICO	Rudaeicoccus suwonensis	Micrococcales	68	32	31	63
A0A7Y9SG46_9MICO/2-71	A0A7Y9SG46	9MICO		None		32	38	70
A0A839NHP4_9MICO/2-62	A0A839NHP4	9MICO	Flexivirga oryzae	Micrococcales	64	32	29	61
Z9JVW9_9MICO/2-62	Z9JVW9	9MICO	Brachybacterium phenoliresistens	Micrococcales	65	32	29	61
A0A0F2TEX5_STRR3/2-63	A0A0F2TEX5	STRR3	Streptomyces rubellomurinus (strain ATCC 31215)	Kitasatosporales	85	32	30	62
A0A918U4L5_9ACTN/44-106	A0A918U4L5	9ACTN	Streptomyces fructofermentans	Kitasatosporales	125	32	31	63
A0A5J6V7U2_9MICO/2-74	A0A5J6V7U2	9MICO	Ornithinimicrobium pratense	Micrococcales	79	32	41	73
A0A7W9PBR5_9NOCA/2-72	A0A7W9PBR5	9NOCA	Nocardia transvalensis	Mycobacteriales	72	32	39	71
A0A1X7HFF5_9ACTN/2-84	A0A1X7HFF5	9ACTN		None		32	51	83
A0A178XC54_9PSEU/2-60	A0A178XC54	9PSEU		None		32	27	59
Q8G6N9_BIFLO/20-107	Q8G6N9	BIFLO	Bifidobacterium longum (strain NCC 2705)	Bifidobacteriales	147	32	56	88
A0A261FBN6_9BIFI/2-82	A0A261FBN6	9BIFI	Bifidobacterium tissieri	Bifidobacteriales	132	32	49	81
A0A087ANF1_9BIFI/2-82	A0A087ANF1	9BIFI	Bifidobacterium cuniculi	Bifidobacteriales	123	32	49	81
A0A7W5Y0H1_9MICC/2-60	A0A7W5Y0H1	9MICC	Garicola koreensis	Micrococcales	60	32	27	59
A0A329QH80_9ACTN/2-63	A0A329QH80	9ACTN	Phytoactinopolyspora halophila	Jiangellales	66	32	30	62
A0A6P2BRE7_9ACTN/2-77	A0A6P2BRE7	9ACTN	Trebonia kvetii	Streptosporangiales	77	32	44	76
A0A975FS22_9MICO/2-65	A0A975FS22	9MICO	Agromyces archimandritae	Micrococcales	66	32	32	64
S4MDT8_9ACTN/2-66	S4MDT8	9ACTN	Streptomyces afghaniensis 772	Kitasatosporales	83	32	33	65
A0A0F0HBM1_LENAE/2-62	A0A0F0HBM1	LENAE	Lentzea aerocolonigenes (Lechevalieria aerocolonigenes) (Saccharothrix aerocolonigenes)	Pseudonocardiales	62	32	29	61
A0A344U813_9ACTN/2-83	A0A344U813	9ACTN	Streptomyces globosus	Kitasatosporales	87	32	50	82
A0A1Q9ULQ1_9PSEU/2-62	A0A1Q9ULQ1	9PSEU		None		32	29	61
A0A086BPL5_9BIFI/1-76	A0A086BPL5	9BIFI	Bifidobacterium bombi DSM 19703	Bifidobacteriales	116	17	59	76
A0AA37UNB2_9MICO/2-64	A0AA37UNB2	9MICO	Litorihabitans aurantiacus	Micrococcales	67	32	31	63
A0A944L6Q3_9MICC/2-74	A0A944L6Q3	9MICC		None		32	41	73
A0A2S4XT70_9ACTN/2-63	A0A2S4XT70	9ACTN		None		32	30	62
A0A1G9YTK6_9ACTN/2-57	A0A1G9YTK6	9ACTN	Nocardioides szechwanensis	Propionibacteriales	61	32	24	56
A0A077MFT0_9MICO/2-63	A0A077MFT0	9MICO	Nostocoides jenkinsii Ben 74	Micrococcales	65	32	30	62
A0A6M5J4H7_9MICO/2-64	A0A6M5J4H7	9MICO		None		32	31	63
A0A9W6I5U3_9ACTN/2-63	A0A9W6I5U3	9ACTN	Streptosporangium carneum	Streptosporangiales	77	32	30	62
A0A367AUP9_9ACTN/2-72	A0A367AUP9	9ACTN		None		32	39	71
A0A1A2ZY00_9MYCO/2-64	A0A1A2ZY00	9MYCO		None		32	31	63
A0A1Y2MW42_PSEAH/2-62	A0A1Y2MW42	PSEAH	Pseudonocardia autotrophica (Amycolata autotrophica) (Nocardia autotrophica)	Pseudonocardiales	67	32	29	61
A0A4P6KGS8_9MICO/2-61	A0A4P6KGS8	9MICO	Leucobacter triazinivorans	Micrococcales	61	32	28	60
A0A512D6I7_9MICO/2-62	A0A512D6I7	9MICO	Terrabacter aerolatus	Micrococcales	64	32	29	61
B8DT78_BIFA0/2-73	B8DT78	BIFA0	Bifidobacterium animalis subsp. lactis (strain AD011)	Bifidobacteriales	115	32	40	72
A0A0J6VPY6_MYCCU/2-60	A0A0J6VPY6	MYCCU	Mycolicibacterium chubuense (Mycobacterium chubuense)	Mycobacteriales	60	32	27	59
A0A3N0E983_9ACTN/2-65	A0A3N0E983	9ACTN	Halostreptopolyspora alba	Streptosporangiales	86	32	32	64
A0A4U6MYX2_9MICC/2-66	A0A4U6MYX2	9MICC		None		32	33	65
A0A4S2R549_9ACTN/2-65	A0A4S2R549	9ACTN		None		32	32	64
A0A4R4KZI5_9ACTN/2-66	A0A4R4KZI5	9ACTN		None		32	33	65
A0A939BAJ8_9BIFI/2-82	A0A939BAJ8	9BIFI	Bifidobacterium pullorum subsp. saeculare	Bifidobacteriales	119	32	49	81
A0A553ZMW6_9ACTN/2-66	A0A553ZMW6	9ACTN	Streptomyces benahoarensis	Kitasatosporales	84	32	33	65
A0A0N1CQJ0_9MICO/2-63	A0A0N1CQJ0	9MICO		None		32	30	62
A0A7W7LXY6_9ACTN/2-64	A0A7W7LXY6	9ACTN	Streptomyces griseomycini	Kitasatosporales	82	32	31	63
A0A917BHP3_9ACTN/2-61	A0A917BHP3	9ACTN	Marmoricola endophyticus	Propionibacteriales	63	32	28	60
A0A5J5IYA4_9MICO/2-59	A0A5J5IYA4	9MICO	Microbacterium rhizomatis	Micrococcales	59	32	26	58
A0A2S5XAG5_9MICO/2-80	A0A2S5XAG5	9MICO		None		32	47	79
A0A7W3Y055_9ACTN/2-75	A0A7W3Y055	9ACTN	Streptomyces alkaliphilus	Kitasatosporales	85	32	42	74
A0A7L5ZEZ5_9ACTN/2-72	A0A7L5ZEZ5	9ACTN		None		32	39	71
A0A3N1A6C3_9ACTN/2-68	A0A3N1A6C3	9ACTN		None		32	35	67
A0A840WB19_9ACTN/2-73	A0A840WB19	9ACTN	Nocardiopsis metallicus	Streptosporangiales	75	32	40	72
A0A1H0TFS1_9ACTN/2-64	A0A1H0TFS1	9ACTN		None		32	31	63
A0A1G6XVB6_9ACTN/2-61	A0A1G6XVB6	9ACTN	Nocardioides lianchengensis	Propionibacteriales	62	32	28	60
A0A327ZB74_9ACTN/2-71	A0A327ZB74	9ACTN	Actinoplanes lutulentus	Micromonosporales	73	32	38	70
A0A0B9ACM4_BRELN/10-77	A0A0B9ACM4	BRELN	Brevibacterium linens	Micrococcales	77	32	36	68
A0A543ES58_9MICO/2-62	A0A543ES58	9MICO	Microbacterium kyungheense	Micrococcales	65	32	29	61
F9EEA0_9ACTO/37-107	F9EEA0	9ACTO		None		32	39	71
A0A286DV68_9ACTN/2-67	A0A286DV68	9ACTN	Streptomyces zhaozhouensis	Kitasatosporales	88	32	34	66
