clade	sra	n_pool	n_term_raw	loss	gain	neutral	inverse	tierce	C>A	C>G	C>T	T>A	T>C	T>G
L2.2.1	ERR8665778	40	57	24	26	7	0	0	5	6	19	1	18	8
L2.2.1	ERR4809066	40	71	43	18	10	0	0	9	9	34	1	13	5
L2.2.1	SRR5710000	40	116	65	36	15	0	0	15	12	50	3	23	13
L2.2.1	SRR4033749	40	21	9	3	9	0	0	1	9	8	0	0	3
L2.2.1	ERR8665776	40	7	2	3	2	0	0	2	2	0	0	2	1
L2.2.1	SRR11786872	40	34	16	12	6	0	0	3	5	13	1	8	4
L2.2.1	ERR4827611	40	14	3	9	2	0	0	1	2	2	0	4	5
L2.2.1	ERR5864307	40	5	3	2	0	0	0	1	0	2	0	1	1
L3	ERR4798273	40	181	123	37	20	0	0	24	20	99	0	23	14
L3	ERR2515074	40	81	48	15	17	0	0	11	15	37	2	9	6
L3	ERR4800533	40	86	50	21	15	0	0	4	13	46	2	16	5
L3	ERR2510438	40	51	31	13	7	0	0	6	7	25	0	8	5
L3	ERR4819332	40	29	19	6	4	0	0	7	4	12	0	3	3
L3	ERR216981	40	51	35	12	4	0	0	8	4	27	0	7	5
L3	ERR2510465	40	162	97	34	30	0	0	19	27	78	3	23	11
L3	ERR4798854	40	87	47	18	22	0	0	13	22	34	0	9	9
L3	ERR4829127	40	142	85	27	30	0	0	14	27	71	3	14	13
L3	SRR22424856	40	137	72	34	31	0	0	8	27	64	4	24	10
L3	SRR21728336	40	139	88	30	20	0	0	18	15	70	5	21	9
L3	SRR22424752	40	136	83	25	27	1	0	20	25	63	2	18	7
L3	ERR245796	40	68	46	11	10	0	0	13	9	33	1	8	3
L3	ERR4829144	40	89	56	16	17	0	0	11	13	45	4	10	6
L3	SRR28044918	40	64	42	6	16	0	0	11	13	31	3	6	0
L3	ERR688023	40	155	88	40	26	0	0	15	22	73	4	24	16
L3	ERR4818877	40	133	88	29	16	0	0	18	15	70	1	16	13
L3	ERR4798552	40	106	65	22	19	0	0	18	19	47	0	14	8
L3	SRR28045170	40	107	79	19	8	1	0	13	6	66	2	12	7
L3	ERR4799249	40	133	85	28	20	0	0	12	19	73	1	21	7
L3	ERR2199900	40	57	35	9	12	0	0	7	10	28	2	5	4
L3	ERR2510326	40	67	48	14	5	0	0	9	5	39	0	7	7
L3	ERR4829947	40	36	22	5	9	0	0	8	9	14	0	3	2
L3	ERR3077987	40	36	14	19	3	0	0	3	3	11	0	12	7
L3	SRR22251080	40	117	69	29	19	0	1	19	17	50	2	20	9
L3	SRR16058252	40	47	22	12	11	0	0	7	11	15	0	8	4
L3	SRR22251746	40	65	38	23	4	0	0	9	3	29	1	13	10
L3	SRR28044880	40	121	82	26	13	0	0	16	11	66	2	22	4
L3	ERR4821366	40	106	71	16	19	0	0	17	18	54	1	11	5
L3	ERR4797181	40	214	132	46	36	0	0	30	30	102	6	30	16
L3	ERR2512536	40	236	141	59	36	0	0	21	32	120	4	38	21
L3	SRR5341376	40	38	21	10	7	0	0	7	7	14	0	5	5
L3	SRR27332356	40	154	104	27	22	0	0	24	19	80	3	17	10
L3	SRR6152765	40	139	98	25	16	0	0	16	16	82	0	16	9
L3	ERR4809128	40	34	23	7	4	0	0	5	4	18	0	6	1
L3	SRR27449964	40	74	51	17	5	0	0	21	4	30	1	12	5
L3	ERR4818922	40	81	55	17	9	0	0	11	8	44	1	6	11
L3	ERR4828529	40	48	25	12	11	0	0	3	9	22	2	5	7
L3	SRR16058185	40	85	59	18	8	0	0	7	8	52	0	12	6
L3	SRR16058375	40	30	21	6	3	0	0	6	2	15	1	3	3
L4.1.2	ERR2516272	40	45	32	9	4	0	0	2	4	30	0	7	2
L4.1.2	ERR552279	40	91	59	22	10	0	0	9	9	50	1	16	6
L4.1.2	ERR4812398	40	42	23	8	11	0	0	4	11	19	0	3	5
L4.1.2	SRR10851604	40	51	29	16	6	0	0	8	6	21	0	10	6
L4.1.2	SRR22249404	40	62	41	17	4	0	0	11	4	30	0	9	8
L4.1.2	SRR20958078	40	97	60	21	16	0	0	12	15	48	1	13	8
L4.1.2	ERR4195410	40	92	57	19	14	0	0	9	14	48	0	13	6
L4.1.2	ERR2512560	40	59	36	13	10	0	0	6	9	30	1	10	3
L4.1.2	SRR4035723	40	165	108	30	27	0	0	16	26	92	1	19	11
L4.1.2	SRR28394290	40	45	24	15	6	0	0	4	5	20	1	8	7
L4.1.2	SRR24083700	40	65	36	21	8	0	0	5	8	31	0	13	8
L4.1.2	ERR4817438	40	38	24	5	9	0	0	3	8	21	1	1	4
L4.1.2	ERR6866682	40	40	28	9	3	0	0	9	1	19	2	6	3
L4.1.2	ERR1367618	40	67	35	25	7	0	0	7	7	28	0	11	14
L4.1.2	SRR7592367	40	89	57	22	10	0	0	10	10	47	0	10	12
L4.1.2	SRR19303987	40	107	63	29	15	0	0	11	12	52	3	22	7
L4.1.2	ERR4822638	40	75	45	17	13	0	0	6	12	39	1	10	7
L4.1.2	SRR10315693	40	193	118	41	32	0	0	16	30	102	2	20	21
L4.1.2	SRR18149464	40	70	43	16	11	0	0	9	9	34	2	10	6
L4.1.2	ERR9786122	40	45	35	6	4	0	0	6	4	29	0	4	2
L4.1.2	ERR6866745	40	43	31	9	3	0	0	9	3	22	0	4	5
L4.1.2	ERR2516426	40	44	26	13	5	0	0	5	4	21	1	8	5
L4.1.2	ERR6866247	40	32	19	10	3	0	0	2	3	17	0	8	2
L4.1.2	SRR28393532	40	57	33	16	8	0	0	8	6	25	2	6	10
L4.1.2	ERR4830362	40	69	44	12	13	0	0	7	12	37	1	8	4
L4.1.2	ERR2199746	40	51	36	11	4	0	0	10	4	26	0	6	5
L4.1.2	ERR8774231	40	279	171	63	44	0	0	33	39	138	5	40	23
L4.1.2	ERR6865612	40	37	19	10	8	0	0	2	7	17	1	6	4
L4.1.2	ERR2515762	40	37	22	7	8	0	0	4	7	18	1	5	2
L4.1.2	SRR19314674	40	80	54	12	14	0	0	13	13	41	1	8	4
L4.1.2	ERR552026	40	116	73	22	19	0	0	15	17	58	2	13	9
L4.1.2	ERR4829737	40	51	31	13	7	0	0	4	7	27	0	10	3
L4.1.2	ERR12057461	40	42	27	10	5	0	0	8	5	19	0	6	4
L4.1.2	SRR13180273	40	57	36	11	10	0	0	6	8	30	2	4	7
L4.1.2	SRR28498424	40	80	53	17	10	0	0	8	10	45	0	13	4
L4.1.2	SRR26112528	40	64	36	17	11	0	0	7	11	29	0	10	7
L4.1.2	ERR4813038	40	47	28	14	4	0	0	4	3	24	1	8	6
L4.1.2	ERR025421	40	43	25	11	7	0	0	6	6	19	1	5	6
L4.1.2	ERR4195264	40	69	39	18	12	0	0	11	11	28	1	10	8
L4.1.2	ERR10465875	40	86	53	20	13	0	0	8	12	45	1	16	4
L4.3	SRR23862053	40	57	32	17	8	0	0	7	7	25	1	9	8
L4.3	SRR6807744	40	36	13	15	7	1	0	1	7	12	0	9	6
L4.3	SRR21240170	40	155	84	49	22	0	0	17	19	67	3	35	14
L4.3	ERR4813881	40	35	16	13	6	0	0	0	6	16	0	9	4
L4.3	ERR4811989	40	71	40	24	7	0	0	5	7	35	0	14	10
L4.3	SRR14165068	40	43	25	13	5	0	0	3	5	22	0	11	2
L4.3	ERR10561903	40	34	21	11	2	0	0	7	2	14	0	7	4
L4.3	ERR5530524	40	78	50	11	17	0	0	9	17	41	0	7	4
L4.3	ERR1193802	40	8	4	4	0	0	0	2	0	2	0	3	1
L4.3	ERR2184509	40	91	53	12	26	0	0	9	25	44	1	7	5
L4.3	SRR28393913	40	120	66	36	17	0	0	8	16	58	1	23	13
L4.3	SRR19303906	40	94	48	28	16	0	0	12	14	36	2	21	7
L4.3	ERR3287440	40	43	23	14	6	0	0	3	6	20	0	8	6
L4.3	ERR9285779	40	54	27	17	10	0	0	6	9	21	1	13	4
L4.3	SRR4034230	40	0	0	0	0	0	0	0	0	0	0	0	0
L4.3	SRR26387460	40	15	6	7	2	0	0	2	2	4	0	3	4
L4.3	SRR4033500	40	32	17	9	6	0	0	3	6	14	0	3	6
L4.3	SRR14782541	40	46	22	13	11	0	0	4	8	18	3	11	2
L4.3	ERR8773895	40	96	46	25	25	0	0	9	24	37	1	16	9
L4.3	SRR7276711	40	107	63	32	12	0	0	9	12	54	0	21	11
L4.3	ERR9907719	40	29	12	11	6	0	0	3	5	9	1	9	2
L4.3	SRR22461593	40	93	51	24	18	0	0	8	17	43	1	19	5
L4.3	ERR10748201	40	25	12	10	3	0	0	2	2	10	1	4	6
L4.3	ERR4813708	40	72	38	24	9	0	0	5	8	33	1	16	8
L4.3	ERR6866100	40	39	21	10	7	0	0	2	7	19	0	6	4
L4.3	SRR14164400	40	98	66	18	13	0	0	12	12	54	1	16	2
L4.3	SRR6458433	40	14	9	1	4	0	0	3	2	6	2	1	0
L4.3	SRR21732281	40	68	38	22	8	0	0	6	6	32	2	14	8
L4.3	ERR8774056	40	20	13	3	3	0	0	4	2	9	1	1	2
L4.3	ERR5530522	40	123	81	30	12	0	0	11	11	70	1	22	8
L4.3	ERR4195500	40	75	46	15	14	0	0	7	14	39	0	12	3
L4.3	ERR8975694	40	50	31	12	7	0	0	7	6	24	1	8	4
L4.3	SRR4034169	40	1	1	0	0	0	0	1	0	0	0	0	0
L4.3	SRR26387464	40	6	4	1	1	0	0	0	1	4	0	1	0
L4.3	ERR10796617	40	25	14	8	3	0	0	2	3	12	0	7	1
L4.3	ERR5866269	40	13	8	1	4	0	0	3	3	5	1	0	1
L4.3	ERR4195755	40	89	55	20	14	0	0	12	14	43	0	16	4
L4.3	SRR4034155	40	48	23	16	9	0	0	5	7	18	2	9	7
L4.3	ERR4820187	40	65	37	15	13	0	0	4	10	33	3	12	3
L4.3	SRR4033434	40	26	19	4	3	0	0	1	3	18	0	3	1
L6.1	ERR4162016	40	162	124	28	8	0	0	20	8	104	0	22	6
L6.1	ERR4828921	40	60	48	8	4	0	0	11	2	37	2	7	1
L6.1	ERR9787038	40	115	84	23	7	0	0	22	6	62	1	16	7
L6.1	ERR14869585	40	0	0	0	0	0	0	0	0	0	0	0	0
L6.1	SRR11444139	40	41	26	15	0	0	0	4	0	22	0	13	2
L6.1	ERR9787019	40	0	0	0	0	0	0	0	0	0	0	0	0
L6.1	ERR228182	40	155	111	25	19	0	0	19	16	92	3	17	8
L6.1	ERR14869769	40	97	66	21	10	0	0	11	7	55	3	17	4
L6.1	ERR4192375	40	81	50	20	9	0	0	16	8	34	1	15	5
L6.1	ERR1023281	40	90	61	16	13	0	0	14	10	47	3	12	4
L6.1	SRR33605085	40	136	94	27	15	0	0	25	12	69	3	17	10
L6.1	ERR9787311	40	134	90	28	16	0	0	8	12	82	4	23	5
L6.1	ERR3803798	40	109	64	34	11	0	0	19	10	45	1	25	9
L6.1	ERR751341	40	118	87	19	11	0	0	25	11	62	0	17	2
L6.1	ERR14869713	40	112	82	24	6	0	0	17	6	65	0	18	6
L6.1	ERR1334038	40	0	0	0	0	0	0	0	0	0	0	0	0
L6.1	ERR3803911	40	86	49	29	8	0	0	13	6	36	2	27	2
L6.1	ERR3804148	40	109	77	23	9	0	0	20	8	57	1	17	6
L6.1	ERR11049858	40	93	60	21	12	0	0	9	10	51	2	19	2
L6.1	ERR3804004	40	97	71	21	5	0	0	18	3	53	2	16	5
L6.1	SRR30443636	40	110	72	24	14	0	0	18	11	54	3	13	11
L6.1	SRR29126325	40	102	74	17	10	0	0	16	8	58	2	13	4
L6.1	ERR10680043	40	96	75	12	8	0	0	13	7	62	1	10	2
L6.1	ERR9787340	40	68	53	9	6	0	0	8	5	45	1	7	2
L6.1	ERR1023227	40	111	84	20	7	0	0	19	7	65	0	15	5
L6.1	SRR33793070	40	136	82	40	14	0	0	18	10	64	4	34	6
L6.1	ERR9787298	40	109	68	25	16	0	0	17	14	51	2	21	4
L6.1	ERR3803914	40	81	61	15	5	0	0	11	2	50	3	10	5
L6.1	ERR9787169	40	52	42	6	4	0	0	4	4	38	0	5	1
L6.1	ERR4818574	40	119	73	32	14	0	0	11	9	62	5	18	14
L6.1	ERR1023280	40	116	81	20	14	0	0	16	9	65	5	12	8
L6.1	SRR7069811	40	12	8	2	1	0	0	0	1	8	0	1	1
L6.1	ERR3804123	40	206	171	27	7	0	0	22	6	149	1	16	11
L6.1	ERR3804113	40	86	63	19	4	0	0	8	3	55	1	14	5
L6.1	SRR33643123	40	59	42	11	6	0	0	8	5	34	1	8	3
L6.1	ERR1082114	40	67	38	19	10	0	0	8	6	30	4	12	7
L6.1	ERR14869610	40	103	75	20	8	0	0	14	4	61	4	12	8
L6.1	ERR3804125	40	6	4	0	2	0	0	1	2	3	0	0	0
L6.1	ERR4192401	40	55	33	15	6	1	0	9	4	24	2	13	2
L6.1	ERR14869426	40	98	73	18	7	0	0	18	6	55	1	11	7
L7	ERR1200619	40	2	2	0	0	0	0	1	0	1	0	0	0
L7	ERR1971877	40	24	13	11	0	0	0	5	0	8	0	6	5
L7	ERR1971856	40	35	23	8	4	0	0	7	4	16	0	2	6
L7	ERR1971864	40	26	12	12	2	0	0	3	2	9	0	5	7
L7	ERR7737753	40	114	87	21	6	0	0	21	6	66	0	7	14
L7	ERR4814968	40	41	28	10	3	0	0	8	2	20	1	5	5
L7	SRR33712718	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1200604	40	2	1	1	0	0	0	0	0	1	0	1	0
L7	ERR1200608	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971849	40	121	77	31	12	0	0	24	9	53	3	19	12
L7	SRR33750182	40	29	18	8	3	0	0	3	2	15	1	2	6
L7	SRR18911237	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR2704710	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971855	40	23	18	3	2	0	0	2	1	16	1	1	2
L7	ERR1971874	40	93	62	24	6	0	0	14	6	48	0	12	12
L7	ERR11044943	40	39	23	13	3	0	0	5	2	18	1	5	8
L7	ERR11049146	40	75	44	21	9	0	0	14	8	30	1	11	10
L7	ERR1971872	40	59	34	20	5	0	0	11	4	23	1	10	10
L7	ERR234681	40	31	17	4	8	0	0	7	6	10	2	3	1
L7	ERR1200625	40	40	29	10	1	0	0	7	1	22	0	4	6
L7	ERR2704711	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971857	40	32	10	18	4	0	0	4	4	6	0	9	9
L7	ERR1971862	40	39	21	12	6	0	0	2	6	19	0	8	4
L7	ERR159958	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971865	40	18	12	6	0	0	0	3	0	9	0	5	1
L7	ERR1200613	40	13	7	5	1	0	0	4	1	3	0	4	1
L7	ERR233346	40	38	25	10	3	0	0	10	3	15	0	4	6
L7	ERR1200617	40	75	36	29	9	0	0	14	8	22	1	18	11
L7	ERR11068585	40	40	21	14	4	0	0	5	4	16	0	4	10
L7	ERR1200640	40	24	15	5	4	0	0	2	4	13	0	2	3
L7	ERR1200631	40	52	30	20	2	0	0	5	2	25	0	9	11
L7	ERR159959	40	11	8	2	1	0	0	4	1	4	0	0	2
L7	ERR1200602	40	39	27	9	3	0	0	3	3	24	0	3	6
L7	ERR1971869	40	8	6	2	0	0	0	1	0	5	0	1	1
L7	ERR3323719	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1200612	40	45	36	7	2	0	0	9	2	27	0	1	6
L7	ERR1971863	40	44	23	14	7	0	0	8	7	15	0	8	6
L7	ERR756348	40	29	18	4	4	0	0	2	4	16	0	2	2
L7	ERR1200606	40	35	21	10	4	0	0	4	2	17	2	7	3
L7	ERR1971876	40	41	27	11	3	0	0	9	3	18	0	8	3
L9	ERR181314	36	245	179	44	22	0	0	40	14	139	8	35	9
L9	ERR4192405	36	65	40	15	10	0	0	9	8	31	2	10	5
L9	ERR11067436	36	36	26	6	4	0	0	6	4	20	0	3	3
L9	ERR5336156	36	34	26	4	4	0	0	6	4	20	0	4	0
L9	SRR24827312	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR4162024	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11068658	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11067662	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	SRR29440608	36	103	75	20	8	0	0	14	5	61	3	13	7
L9	SRR27450487	36	72	54	14	4	0	0	8	2	46	2	11	3
L9	SRR33868735	36	18	13	3	2	0	0	1	2	12	0	2	1
L9	ERR11050611	36	71	51	13	7	0	0	6	7	45	0	11	2
L9	ERR5336149	36	102	76	19	7	0	0	21	7	55	0	15	4
L9	ERR11049065	36	8	6	0	2	0	0	2	0	4	2	0	0
L9	ERR11050686	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	SRR33568782	36	54	42	6	6	0	0	6	5	36	1	4	2
L9	SRR29441077	36	16	11	3	2	0	0	3	1	8	1	2	1
L9	ERR12268344	36	104	83	13	8	0	0	10	7	73	1	9	4
L9	ERR5336155	36	93	78	13	2	0	0	15	2	63	0	9	4
L9	ERR11049704	36	1	1	0	0	0	0	0	0	1	0	0	0
L9	ERR2514391	36	39	28	8	3	0	0	7	3	21	0	5	3
L9	ERR11068147	36	1	1	0	0	0	0	1	0	0	0	0	0
L9	SRR28868537	36	68	47	18	3	0	0	7	3	40	0	8	10
L9	ERR4192384	36	70	53	12	5	0	0	8	4	45	1	9	3
L9	SRR7069552	36	114	79	21	14	0	0	15	14	64	0	10	11
L9	ERR11068827	36	74	56	12	6	0	0	10	6	46	0	10	2
L9	SRR30770920	36	22	11	7	4	0	0	0	4	11	0	6	1
L9	ERR11068831	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	SRR33763079	36	1	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11050883	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11044073	36	76	52	17	7	0	0	12	5	40	2	12	5
L9	ERR11067828	36	1	1	0	0	0	0	0	0	1	0	0	0
L9	ERR12115323	36	1	1	0	0	0	0	0	0	1	0	0	0
L9	ERR11049892	36	25	16	6	3	0	0	3	3	13	0	5	1
L9	SRR33891088	36	81	58	18	5	0	0	10	5	48	0	14	4
L9	SRR33600830	36	70	46	11	13	0	0	13	13	33	0	6	5
Orygis_La3	SRR23445158	40	73	43	21	9	0	0	9	7	34	2	10	11
Orygis_La3	SRR16057940	40	107	61	37	9	0	0	11	5	50	4	27	10
Orygis_La3	SRR20622097	40	67	41	18	8	0	0	7	8	34	0	15	3
Orygis_La3	SRR24372791	40	2	2	0	0	0	0	0	0	2	0	0	0
Orygis_La3	ERR4799118	40	45	21	13	11	0	0	3	7	18	4	7	6
Orygis_La3	SRR25035965	40	29	13	9	7	0	0	2	2	11	5	7	2
Orygis_La3	SRR23445174	40	73	44	22	7	0	0	7	7	37	0	16	6
Orygis_La3	SRR23445126	40	39	26	7	6	0	0	2	6	24	0	4	3
Orygis_La3	SRR24372789	40	2	1	1	0	0	0	0	0	1	0	1	0
Orygis_La3	SRR23445180	40	73	38	25	10	0	0	4	10	34	0	17	8
Orygis_La3	SRR10321143	40	78	50	19	9	0	0	11	9	39	0	12	7
Orygis_La3	SRR29322297	40	57	25	25	6	0	0	10	6	15	0	15	10
Orygis_La3	ERR4817427	40	32	17	6	9	0	1	2	6	15	3	4	2
Orygis_La3	SRR17089003	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR23445134	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	ERR234682	40	76	39	22	13	2	0	6	9	33	4	18	4
Orygis_La3	ERR9125109	40	90	50	32	8	0	0	9	5	41	3	24	8
Orygis_La3	SRR28623800	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	ERR6375135	40	64	29	24	11	0	0	3	10	26	1	19	5
Orygis_La3	ERR234675	40	75	36	24	14	0	0	11	11	25	3	17	7
Orygis_La3	SRR25035967	40	18	10	7	1	0	0	1	1	9	0	4	3
Orygis_La3	SRR16643349	40	59	34	19	6	0	0	7	4	27	2	11	8
Orygis_La3	SRR28623806	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR27450478	40	89	51	31	7	0	0	9	6	42	1	19	12
Orygis_La3	SRR29052772	40	61	31	20	10	0	0	7	9	24	1	15	5
Orygis_La3	SRR23445136	40	58	36	14	8	0	0	5	5	31	3	12	2
Orygis_La3	SRR28623801	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR28623786	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR27450482	40	107	62	28	17	0	0	9	12	53	5	20	8
Orygis_La3	SRR16089402	40	95	52	30	13	0	0	8	9	44	4	25	5
Orygis_La3	SRR23445125	40	107	61	30	16	0	0	14	13	47	3	24	6
Orygis_La3	SRR29440847	40	54	24	14	16	0	0	7	13	17	3	13	1
Orygis_La3	SRR23445148	40	124	62	42	20	0	0	9	15	53	5	26	16
Orygis_La3	SRR28623803	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	ERR2512859	40	173	82	67	23	1	0	13	13	69	10	47	20
Orygis_La3	SRR23445128	40	46	24	16	6	0	0	5	5	19	1	13	3
Orygis_La3	SRR23445155	40	67	43	16	8	0	0	9	6	34	2	12	4
Orygis_La3	SRR23445132	40	0	0	0	0	0	0	0	0	0	0	0	0
Orygis_La3	SRR6046131	40	107	69	23	15	0	0	16	10	53	5	18	5
Orygis_La3	ERR6375142	40	62	29	14	19	0	0	4	15	25	4	7	7
Caprae_La2	SRR29410385	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR13888760	40	10	4	3	2	0	0	0	2	4	0	3	0
Caprae_La2	ERR10430710	40	21	11	9	1	0	0	0	1	11	0	6	3
Caprae_La2	ERR10430687	40	15	10	4	1	0	0	0	1	10	0	3	1
Caprae_La2	ERR1462628	40	1	1	0	0	0	0	0	0	1	0	0	0
Caprae_La2	SRR25167948	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR17111236	40	6	5	1	0	0	0	1	0	4	0	1	0
Caprae_La2	SRR31008608	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR13888763	40	10	6	3	1	0	0	1	1	5	0	2	1
