lignee	sra	n_pool	n_term_raw	loss	gain	neutral	inverse	tierce	C>A	C>G	C>T	T>A	T>C	T>G
L4	ERR2510387	40	114	66	27	21	0	0	10	18	56	3	20	7
L4	ERR8975879	40	97	59	22	16	0	0	12	16	47	0	12	10
L4	ERR9786560	40	43	25	11	7	0	0	7	7	18	0	7	4
L4	SRR13583322	40	92	56	24	12	0	0	19	11	37	1	18	6
L4	SRR33644377	40	157	111	25	21	0	1	11	19	100	2	15	10
L4	SRR28393481	40	180	109	45	26	0	0	22	22	87	4	26	19
L4	SRR13583427	40	103	61	22	19	0	0	10	14	51	5	14	8
L4	ERR978728	40	183	115	47	21	0	0	24	18	91	3	30	17
L5	ERR4192387	40	112	66	28	18	0	0	19	15	47	3	17	11
L5	ERR552506	40	107	78	16	12	1	0	24	12	54	0	11	5
L5	SRR34011822	40	164	121	30	12	0	0	40	12	81	0	21	9
L5	ERR4162001	40	195	135	43	17	0	0	25	17	110	0	26	17
L5	ERR2383619	40	67	41	19	7	0	0	11	5	30	2	10	9
L5	SRR29231703	40	0	0	0	0	0	0	0	0	0	0	0	0
L5	ERR751338	40	51	28	17	6	0	0	5	5	23	1	11	6
L5	ERR4162007	40	119	74	23	22	0	0	17	16	57	6	15	8
L5	ERR028323	40	109	71	23	15	0	0	20	15	51	0	17	6
L5	ERR702411	40	62	43	10	9	0	1	6	9	37	0	9	1
L5	ERR9119643	40	68	44	18	6	0	0	12	6	32	0	8	10
L5	ERR4815616	40	59	39	6	13	0	0	6	11	33	2	4	2
L5	ERR751328	40	58	36	15	7	0	0	3	7	33	0	10	5
L5	ERR2706914	40	0	0	0	0	0	0	0	0	0	0	0	0
L5	ERR3170434	40	181	123	36	22	0	0	19	20	104	2	23	13
L5	SRR33685242	40	95	61	23	11	0	0	10	9	51	2	13	10
L5	ERR9119542	40	4	2	1	1	0	0	2	1	0	0	1	0
L5	ERR4872094	40	71	20	25	26	0	0	5	24	15	2	19	6
L5	SRR11461656	40	47	33	8	5	0	0	9	5	24	0	4	4
L5	CUS0000023	40	119	77	20	22	0	0	18	18	59	4	11	9
L5	ERR1082131	40	90	59	16	15	0	0	11	14	48	1	11	5
L5	SRR33588857	40	61	35	19	7	0	0	1	6	34	1	11	8
L5	ERR551967	40	111	72	18	20	0	0	11	20	61	0	14	4
L5	SRR33938994	40	113	79	21	13	0	0	6	12	73	1	12	9
L5	ERR3170402	40	31	19	10	1	0	0	6	1	13	0	6	4
L5	ERR2706930	40	0	0	0	0	0	0	0	0	0	0	0	0
L5	SRR29126893	40	76	44	20	11	0	0	13	9	31	2	11	9
L5	ERR017801	40	78	46	18	14	0	0	5	14	41	0	15	3
L5	ERR4162027	40	48	32	13	3	0	0	6	3	26	0	6	7
L5	SRR27450486	40	26	15	7	3	0	0	0	3	15	0	6	1
L5	SRR33869012	40	117	83	20	14	0	0	8	13	75	1	15	5
L5	ERR10680152	40	168	116	34	16	0	0	27	14	89	2	27	7
L5	ERR1082132	40	52	34	14	3	0	0	4	3	30	0	9	5
L5	ERR400492	40	117	88	16	13	0	0	15	12	73	1	11	5
L5	ERR702428	40	14	8	4	2	0	0	2	2	6	0	3	1
L5	ERR4872171	40	3	1	0	1	0	0	0	1	1	0	0	0
L5	ERR502505	40	107	75	21	11	0	0	18	10	57	1	13	8
L5	ERR439965	40	133	86	33	14	0	0	10	11	76	3	21	12
L5	SRR22419690	40	120	89	18	13	0	1	23	13	66	0	11	7
L5	ERR502508	40	7	5	1	1	0	0	2	1	3	0	1	0
L6	ERR9787274	40	116	69	29	18	0	0	9	15	60	3	27	2
L6	ERR3803967	40	137	91	28	18	0	0	8	13	83	5	23	5
L6	ERR11082664	40	79	57	13	9	0	0	10	7	47	2	8	5
L6	ERR9787131	40	119	82	27	10	0	0	16	8	66	2	22	5
L6	ERR439976	40	100	55	30	15	0	0	19	13	36	2	27	3
L6	SRR7131190	40	98	71	16	11	0	0	24	8	47	3	14	2
L6	ERR14869771	40	171	136	17	18	0	0	23	16	113	2	15	2
L6	ERR1023257	40	131	90	30	10	0	0	21	8	69	2	18	12
L6	SRR30443647	40	42	26	10	5	0	0	9	2	17	3	10	0
L6	ERR3803848	40	92	55	27	10	0	0	18	9	37	1	19	8
L6	ERR3806839	40	90	56	23	11	0	0	8	8	48	3	13	10
L6	ERR4819833	40	156	115	25	16	0	0	21	13	94	3	18	7
L6	ERR9787036	40	14	9	4	1	0	0	0	1	9	0	2	2
L6	ERR11080915	40	119	88	18	13	0	0	32	12	56	1	10	8
L6	ERR3804111	40	86	50	25	11	0	0	9	8	41	3	18	7
L6	ERR3806831	40	94	63	15	15	0	0	10	12	53	3	11	4
L6	ERR1023227	40	107	80	20	7	0	0	19	7	61	0	15	5
L6	SRR30443941	40	52	40	10	2	0	0	11	2	29	0	7	3
L6	ERR14869600	40	122	80	31	10	1	0	19	6	61	4	15	16
L6	ERR9125747	40	4	4	0	0	0	0	0	0	4	0	0	0
L6	SRR33585255	40	40	22	14	4	0	0	3	2	19	2	14	0
L6	ERR1082116	40	91	72	16	3	0	0	13	3	59	0	13	3
L6	ERR14869708	40	107	78	22	6	0	0	15	5	63	1	18	4
L6	ERR3803783	40	79	49	18	12	0	0	17	11	32	1	13	5
L6	SRR33817125	40	77	55	15	7	0	0	12	7	43	0	10	5
L6	ERR3803812	40	87	63	14	10	0	0	18	8	45	2	11	3
L6	ERR13264898	40	94	81	6	7	0	0	21	6	60	1	6	0
L6	ERR1023293	40	92	61	20	11	0	0	16	9	45	2	10	10
L6	ERR403344	40	147	88	43	15	0	0	21	14	67	1	29	14
L6	ERR12544231	40	108	82	18	8	0	0	21	6	61	2	17	1
L6	ERR3804144	40	85	55	18	12	0	0	11	9	44	3	14	4
L6	SRR998743	40	102	78	10	14	0	0	12	13	66	1	8	2
L6	SRR21674643	40	92	66	22	4	0	0	22	4	44	0	16	6
L6	ERR9787223	40	36	9	17	10	0	0	2	10	7	0	15	2
L6	ERR1023265	40	102	67	29	6	0	0	17	5	50	1	23	6
L6	ERR551709	40	148	97	38	13	0	0	27	12	70	1	23	15
L6	ERR552329	40	83	60	15	8	0	0	15	8	45	0	10	5
L6	ERR9787262	40	84	64	12	8	0	0	11	8	53	0	5	7
L6	ERR9787202	40	114	85	20	9	0	0	18	8	67	1	16	4
L6	SRR7131139	40	15	12	3	0	0	0	2	0	10	0	2	1
L7	ERR1200619	40	2	2	0	0	0	0	1	0	1	0	0	0
L7	ERR1971877	40	24	13	11	0	0	0	5	0	8	0	6	5
L7	ERR1971856	40	35	23	8	4	0	0	7	4	16	0	2	6
L7	ERR1971864	40	26	12	12	2	0	0	3	2	9	0	5	7
L7	ERR7737753	40	114	87	21	6	0	0	21	6	66	0	7	14
L7	ERR4814968	40	41	28	10	3	0	0	8	2	20	1	5	5
L7	SRR33712718	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1200604	40	2	1	1	0	0	0	0	0	1	0	1	0
L7	ERR1200608	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971849	40	121	77	31	12	0	0	24	9	53	3	19	12
L7	SRR33750182	40	29	18	8	3	0	0	3	2	15	1	2	6
L7	SRR18911237	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR2704710	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971855	40	23	18	3	2	0	0	2	1	16	1	1	2
L7	ERR1971874	40	93	62	24	6	0	0	14	6	48	0	12	12
L7	ERR11044943	40	39	23	13	3	0	0	5	2	18	1	5	8
L7	ERR11049146	40	75	44	21	9	0	0	14	8	30	1	11	10
L7	ERR1971872	40	59	34	20	5	0	0	11	4	23	1	10	10
L7	ERR234681	40	31	17	4	8	0	0	7	6	10	2	3	1
L7	ERR1200625	40	40	29	10	1	0	0	7	1	22	0	4	6
L7	ERR2704711	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971857	40	32	10	18	4	0	0	4	4	6	0	9	9
L7	ERR1971862	40	39	21	12	6	0	0	2	6	19	0	8	4
L7	ERR159958	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971865	40	18	12	6	0	0	0	3	0	9	0	5	1
L7	ERR1200613	40	13	7	5	1	0	0	4	1	3	0	4	1
L7	ERR233346	40	38	25	10	3	0	0	10	3	15	0	4	6
L7	ERR1200617	40	75	36	29	9	0	0	14	8	22	1	18	11
L7	ERR11068585	40	40	21	14	4	0	0	5	4	16	0	4	10
L7	ERR1200640	40	24	15	5	4	0	0	2	4	13	0	2	3
L7	ERR1200631	40	52	30	20	2	0	0	5	2	25	0	9	11
L7	ERR159959	40	11	8	2	1	0	0	4	1	4	0	0	2
L7	ERR1200602	40	39	27	9	3	0	0	3	3	24	0	3	6
L7	ERR1971869	40	8	6	2	0	0	0	1	0	5	0	1	1
L7	ERR3323719	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1200612	40	45	36	7	2	0	0	9	2	27	0	1	6
L7	ERR1971863	40	44	23	14	7	0	0	8	7	15	0	8	6
L7	ERR756348	40	29	18	4	4	0	0	2	4	16	0	2	2
L7	ERR1200606	40	35	21	10	4	0	0	4	2	17	2	7	3
L7	ERR1971876	40	41	27	11	3	0	0	9	3	18	0	8	3
L8	SRR1173284	4	12	8	4	0	0	0	3	0	5	0	2	2
L8	ERR12115321	4	1	0	0	0	0	0	0	0	0	0	0	0
L8	SRR10828835	4	0	0	0	0	0	0	0	0	0	0	0	0
L8	SRR1173725	4	2	2	0	0	0	0	0	0	2	0	0	0
L9	ERR181314	36	245	179	44	22	0	0	40	14	139	8	35	9
L9	ERR4192405	36	65	40	15	10	0	0	9	8	31	2	10	5
L9	ERR11067436	36	36	26	6	4	0	0	6	4	20	0	3	3
L9	ERR5336156	36	34	26	4	4	0	0	6	4	20	0	4	0
L9	SRR24827312	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR4162024	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11068658	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11067662	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	SRR29440608	36	103	75	20	8	0	0	14	5	61	3	13	7
L9	SRR27450487	36	72	54	14	4	0	0	8	2	46	2	11	3
L9	SRR33868735	36	18	13	3	2	0	0	1	2	12	0	2	1
L9	ERR11050611	36	71	51	13	7	0	0	6	7	45	0	11	2
L9	ERR5336149	36	102	76	19	7	0	0	21	7	55	0	15	4
L9	ERR11049065	36	8	6	0	2	0	0	2	0	4	2	0	0
L9	ERR11050686	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	SRR33568782	36	54	42	6	6	0	0	6	5	36	1	4	2
L9	SRR29441077	36	16	11	3	2	0	0	3	1	8	1	2	1
L9	ERR12268344	36	104	83	13	8	0	0	10	7	73	1	9	4
L9	ERR5336155	36	93	78	13	2	0	0	15	2	63	0	9	4
L9	ERR11049704	36	1	1	0	0	0	0	0	0	1	0	0	0
L9	ERR2514391	36	39	28	8	3	0	0	7	3	21	0	5	3
L9	ERR11068147	36	1	1	0	0	0	0	1	0	0	0	0	0
L9	SRR28868537	36	68	47	18	3	0	0	7	3	40	0	8	10
L9	ERR4192384	36	70	53	12	5	0	0	8	4	45	1	9	3
L9	SRR7069552	36	114	79	21	14	0	0	15	14	64	0	10	11
L9	ERR11068827	36	74	56	12	6	0	0	10	6	46	0	10	2
L9	SRR30770920	36	22	11	7	4	0	0	0	4	11	0	6	1
L9	ERR11068831	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	SRR33763079	36	1	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11050883	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11044073	36	76	52	17	7	0	0	12	5	40	2	12	5
L9	ERR11067828	36	1	1	0	0	0	0	0	0	1	0	0	0
L9	ERR12115323	36	1	1	0	0	0	0	0	0	1	0	0	0
L9	ERR11049892	36	25	16	6	3	0	0	3	3	13	0	5	1
L9	SRR33891088	36	81	58	18	5	0	0	10	5	48	0	14	4
L9	SRR33600830	36	70	46	11	13	0	0	13	13	33	0	6	5
Bovis	ERR4772237	40	262	149	88	25	0	0	18	21	131	4	73	15
Bovis	ERR6338304	40	5	3	2	0	0	0	1	0	2	0	2	0
Bovis	SRR29056296	40	1	0	1	0	0	0	0	0	0	0	0	1
Bovis	ERR841797	40	3	1	2	0	0	0	0	0	1	0	2	0
Bovis	ERR4627391	40	42	24	12	6	0	0	6	5	18	1	9	3
Bovis	SRR28409558	40	2	1	1	0	0	0	1	0	0	0	1	0
Bovis	ERR5087645	40	69	49	17	2	0	1	6	2	43	0	12	5
Bovis	ERR4187623	40	51	22	20	9	0	0	4	8	18	1	15	5
Bovis	SRR23174329	40	0	0	0	0	0	0	0	0	0	0	0	0
Bovis	ERR192092	40	8	4	4	0	0	0	1	0	3	0	2	2
Bovis	SRR16058435	40	112	54	52	6	0	0	5	6	49	0	36	16
Bovis	ERR14185893	40	6	5	1	0	0	0	2	0	3	0	0	1
Bovis	ERR11893519	40	6	3	3	0	0	0	0	0	3	0	3	0
Bovis	SRR23174434	40	0	0	0	0	0	0	0	0	0	0	0	0
Bovis	ERR4187647	40	1	1	0	0	0	0	1	0	0	0	0	0
Bovis	ERR14185470	40	50	26	18	6	0	0	2	5	24	1	12	6
Bovis	ERR4187739	40	2	0	2	0	0	0	0	0	0	0	2	0
Bovis	SRR23174332	40	0	0	0	0	0	0	0	0	0	0	0	0
Bovis	ERR3439486	40	2	0	2	0	0	0	0	0	0	0	2	0
Bovis	SRR23174276	40	4	2	2	0	0	0	1	0	1	0	2	0
Bovis	ERR6337356	40	3	1	2	0	0	0	0	0	1	0	2	0
Bovis	ERR14189916	40	8	5	2	1	0	0	1	1	4	0	0	2
Bovis	SRR7240118	40	270	155	87	28	0	0	14	24	141	4	70	17
Bovis	ERR14187704	40	2	1	1	0	0	0	0	0	1	0	1	0
Bovis	SRR14296222	40	48	31	13	4	0	0	3	3	28	1	8	5
Bovis	SRR29053233	40	107	62	38	7	0	0	9	7	53	0	28	10
Bovis	SRR14296279	40	48	24	17	7	0	0	7	5	17	2	14	3
Bovis	ERR14185516	40	56	32	15	9	0	0	2	9	30	0	12	3
Bovis	SRR11462865	40	126	80	31	15	0	0	8	13	72	2	25	6
Bovis	ERR14189396	40	9	3	6	0	0	0	0	0	3	0	4	2
Bovis	ERR14185422	40	58	36	19	3	0	0	3	3	33	0	14	5
Bovis	ERR14190097	40	7	5	1	1	0	0	0	1	5	0	1	0
Bovis	ERR14188188	40	74	46	19	8	0	0	8	6	38	2	17	2
Bovis	ERR125602	40	4	4	0	0	0	0	1	0	3	0	0	0
Bovis	SRR1791731	40	47	29	14	4	0	0	1	4	28	0	11	3
Bovis	ERR13264774	40	11	5	3	2	0	0	0	0	5	2	2	1
Bovis	SRR1792175	40	171	91	54	25	0	0	10	22	81	3	42	12
Bovis	ERR4829499	40	0	0	0	0	0	0	0	0	0	0	0	0
Bovis	ERR14185991	40	5	3	2	0	0	0	1	0	2	0	1	1
Bovis	ERR14190311	40	6	5	0	1	0	0	1	1	4	0	0	0
Caprae_La2	SRR29410385	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR13888760	40	10	4	3	2	0	0	0	2	4	0	3	0
Caprae_La2	ERR10430710	40	21	11	9	1	0	0	0	1	11	0	6	3
Caprae_La2	ERR10430687	40	15	10	4	1	0	0	0	1	10	0	3	1
Caprae_La2	ERR1462628	40	1	1	0	0	0	0	0	0	1	0	0	0
Caprae_La2	SRR25167948	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR17111236	40	6	5	1	0	0	0	1	0	4	0	1	0
Caprae_La2	SRR31008608	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR13888763	40	10	6	3	1	0	0	1	1	5	0	2	1
Caprae_La2	SRR29093505	40	11	9	2	0	0	0	0	0	9	0	2	0
Caprae_La2	ERR4829557	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR29410374	40	1	0	0	1	0	0	0	1	0	0	0	0
Caprae_La2	SRR23911109	40	2	0	1	1	0	0	0	1	0	0	1	0
Caprae_La2	ERR10430715	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR13888768	40	22	17	4	1	0	0	2	1	15	0	3	1
Caprae_La2	SRR13888779	40	2	2	0	0	0	0	0	0	2	0	0	0
Caprae_La2	SRR29410375	40	6	3	2	0	0	0	2	0	1	0	2	0
Caprae_La2	SRR23911103	40	8	5	3	0	0	0	0	0	5	0	3	0
Caprae_La2	ERR1462621	40	7	5	1	1	0	0	1	1	4	0	1	0
Caprae_La2	SRR3135068	40	174	98	50	26	0	0	16	25	82	1	44	6
Caprae_La2	SRR13888775	40	4	1	3	0	0	0	0	0	1	0	2	1
