lignee	sra	loss	gain	dgc_ppm
L3	ERR3077987	562	254	-78.7132328700327
L3	SRR22251080	568	246	-82.29110709139782
L3	SRR16058252	565	246	-81.52441975824814
L3	SRR22251746	572	256	-80.75773242509848
L3	SRR28044880	563	236	-83.56891931331394
L3	ERR4821366	569	233	-85.86898131276294
L3	ERR4797181	579	251	-83.82448175769716
L3	ERR2512536	558	257	-76.92429575935013
L3	SRR5341376	552	238	-80.24660753633204
L3	SRR27332356	585	239	-88.42460575659517
L3	SRR6152765	594	242	-89.95798042289451
L3	ERR4809128	571	242	-84.08004420208039
L3	SRR27449964	567	239	-83.82448175769716
L3	ERR4818922	574	235	-86.63566864591262
L3	ERR4828529	498	224	-70.02410976100312
L3	SRR16058185	575	242	-85.10229397961328
L3	SRR16058375	594	244	-89.44685553412806
L4	SRR4037827	510	249	-66.70179798402121
L4	ERR2515497	505	227	-71.04635953853601
L4	ERR025419	507	233	-70.02410976100312
L4	ERR8700372	526	248	-71.04635953853601
L4	SRR7535052	502	247	-65.16842331772187
L4	ERR9907723	521	260	-66.70179798402121
L4	SRR14519847	543	232	-79.47992020318236
L4	SRR14165009	512	252	-66.446235539638
L4	SRR19303908	523	231	-74.62423375990113
L4	SRR15315838	531	235	-75.64648353743402
L4	ERR473291	523	250	-69.76854731661989
L4	SRR18897176	532	256	-70.53523464976956
L4	ERR6865963	531	259	-69.51298487223667
L4	SRR14782000	521	248	-69.76854731661989
L4	ERR234265	518	254	-67.46848531717089
L4	ERR3132290	514	252	-66.95736042840444
L4	SRR14164829	522	237	-72.83529664921856
L4	SRR26111903	526	227	-76.41317087058368
L4	ERR4457895	529	252	-70.79079709415278
L4	SRR4033606	512	245	-68.23517265032055
L4	ERR9806830	530	241	-73.85754642675145
L4	SRR14782506	529	255	-70.02410976100312
L4	ERR6358906	522	258	-67.46848531717089
L4	SRR19115678	528	248	-71.55748442730246
L4	SRR26112633	539	259	-71.55748442730246
L4	ERR752194	575	231	-87.91348086782872
L4	ERR4553695	456	224	-59.290487096907746
L4	SRR25395670	514	245	-68.746297539087
L4	SRR28646106	519	238	-71.81304687168567
L4	ERR12117990	530	256	-70.02410976100312
L4	ERR553043	520	247	-69.76854731661989
L4	SRR28706499	534	254	-71.55748442730246
L4	ERR2510387	528	267	-66.70179798402121
L4	ERR8975879	530	235	-75.39092109305079
L4	ERR9786560	516	233	-72.32417176045212
L4	SRR13583322	536	258	-71.04635953853601
L4	SRR33644377	563	227	-85.86898131276294
L4	SRR28393481	545	257	-73.60198398236824
L4	SRR13583427	542	255	-73.34642153798501
L4	ERR978728	549	258	-74.3686713155179
L5	ERR4192387	573	271	-77.17985820373336
L5	ERR552506	605	260	-88.16904331221195
L5	SRR34011822	639	272	-93.79141708864286
L5	ERR4162001	600	272	-83.82448175769716
L5	ERR2383619	632	275	-91.23579264481063
L5	SRR29231703	615	268	-88.6801682009784
L5	ERR751338	617	277	-86.89123109029583
L5	ERR4162007	605	268	-86.12454375714617
L5	ERR028323	602	265	-86.12454375714617
L5	ERR702411	632	269	-92.76916731110997
L5	ERR9119643	640	277	-92.76916731110997
L5	ERR4815616	628	266	-92.51360486672674
L5	ERR751328	623	272	-89.70241797851129
L5	ERR2706914	615	268	-88.6801682009784
L5	ERR3170434	586	263	-82.54666953578105
L5	SRR33685242	615	275	-86.89123109029583
L5	ERR9119542	621	273	-88.93573064536162
L5	ERR4872094	600	280	-81.77998220263137
L5	SRR11461656	632	271	-92.25804242234352
L5	CUS0000023	602	268	-85.3578564239965
L5	ERR1082131	619	281	-86.38010620152939
L5	SRR33588857	613	277	-85.86898131276294
L5	ERR551967	621	266	-90.72466775604418
L5	SRR33938994	635	270	-93.28029219987641
L5	ERR3170402	605	269	-85.86898131276294
L5	ERR2706930	615	268	-88.6801682009784
L5	SRR29126893	585	268	-81.0132948694817
L5	ERR017801	584	263	-82.03554464701459
L5	ERR4162027	629	270	-91.74691753357708
L5	SRR27450486	599	265	-85.3578564239965
L5	SRR33869012	615	265	-89.44685553412806
L5	ERR10680152	621	276	-88.16904331221195
L5	ERR1082132	632	277	-90.72466775604418
L5	ERR400492	641	265	-96.09147908809186
L5	ERR702428	621	284	-86.12454375714617
L5	ERR4872171	621	271	-89.44685553412806
L5	ERR502505	623	267	-90.9802302004274
L5	ERR439965	593	278	-80.50216998071525
L5	SRR22419690	610	258	-89.95798042289451
L5	ERR502508	620	281	-86.63566864591262
L6	ERR9787274	721	261	-117.5587244162826
L6	ERR3803967	730	251	-122.41441085956383
L6	ERR11082664	728	248	-122.66997330394706
L6	ERR9787131	725	257	-119.60322397134838
L6	ERR439976	734	264	-120.11434886011483
L6	SRR7131190	723	245	-122.15884841518061
L6	ERR14869771	804	224	-148.22621774226937
L6	ERR1023257	730	252	-122.15884841518061
L6	SRR30443647	762	271	-125.48116019216252
L6	ERR3803848	724	262	-118.06984930504905
L6	ERR3806839	713	256	-116.79203708313293
L6	ERR4819833	734	244	-125.22559774777929
L6	ERR9787036	784	227	-142.34828152145522
L6	ERR11080915	747	240	-129.5701593022941
L6	ERR3804111	730	265	-118.83653663819871
L6	ERR3806831	712	245	-119.34766152696515
L6	ERR1023227	728	243	-123.94778552586318
L6	SRR30443941	732	255	-121.90328597079738
L6	ERR14869600	740	254	-124.2033479702464
L6	ERR9125747	793	224	-145.41503085405392
L6	SRR33585255	714	261	-115.76978730560003
L6	ERR1082116	768	225	-138.7704073000901
L6	ERR14869708	732	242	-125.22559774777929
L6	ERR3803783	744	264	-122.66997330394706
L6	SRR33817125	720	250	-120.11434886011483
L6	ERR3803812	715	244	-120.36991130449805
L6	ERR13264898	799	216	-148.99290507541903
L6	ERR1023293	718	252	-119.09209908258194
L6	ERR403344	737	272	-118.83653663819871
L6	ERR12544231	735	240	-126.50340996969541
L6	ERR3804144	735	258	-121.90328597079738
L6	SRR998743	763	224	-137.74815752255722
L6	SRR21674643	739	260	-122.41441085956383
L6	ERR9787223	793	242	-140.8149068551559
L6	ERR1023265	741	261	-122.66997330394706
L6	ERR551709	742	264	-122.15884841518061
L6	ERR552329	767	226	-138.25928241132365
L6	ERR9787262	725	245	-122.66997330394706
L6	ERR9787202	803	231	-146.1817181872036
L6	SRR7131139	747	267	-122.66997330394706
L7	ERR1200619	641	323	-81.26885731386493
L7	ERR1971877	647	315	-84.84673153523005
L7	ERR1971856	651	306	-88.16904331221195
L7	ERR1971864	642	312	-84.3356066464636
L7	ERR7737753	691	333	-91.49135508919385
L7	ERR4814968	629	316	-79.9910450919488
L7	SRR33712718	640	309	-84.59116909084683
L7	ERR1200604	638	323	-80.50216998071525
L7	ERR1200608	644	324	-81.77998220263137
L7	ERR1971849	640	302	-86.38010620152939
L7	SRR33750182	656	323	-85.10229397961328
L7	SRR18911237	640	308	-84.84673153523005
L7	ERR2704710	615	324	-74.3686713155179
L7	ERR1971855	639	312	-83.56891931331394
L7	ERR1971874	640	302	-86.38010620152939
L7	ERR11044943	648	323	-83.0577944245475
L7	ERR11049146	643	314	-84.08004420208039
L7	ERR1971872	631	312	-81.52441975824814
L7	ERR234681	647	314	-85.10229397961328
L7	ERR1200625	653	323	-84.3356066464636
L7	ERR2704711	616	324	-74.62423375990113
L7	ERR1971857	641	318	-82.54666953578105
L7	ERR1971862	641	320	-82.03554464701459
L7	ERR159958	651	324	-83.56891931331394
L7	ERR1971865	648	309	-86.63566864591262
L7	ERR1200613	639	324	-80.50216998071525
L7	ERR233346	656	322	-85.3578564239965
L7	ERR1200617	621	320	-76.92429575935013
L7	ERR11068585	621	327	-75.13535864866758
L7	ERR1200640	653	323	-84.3356066464636
L7	ERR1200631	631	314	-81.0132948694817
L7	ERR159959	646	316	-84.3356066464636
L7	ERR1200602	664	328	-85.86898131276294
L7	ERR1971869	642	306	-85.86898131276294
L7	ERR3323719	616	323	-74.87979620428435
L7	ERR1200612	654	312	-87.40235597906228
L7	ERR1971863	640	314	-83.31335686893071
L7	ERR756348	647	315	-84.84673153523005
L7	ERR1200606	658	330	-83.82448175769716
L7	ERR1971876	658	321	-86.12454375714617
L8	SRR1173284	731	222	-130.08128419106052
L8	ERR12115321	734	219	-131.61465885735987
L8	SRR10828835	735	219	-131.8702213017431
L8	SRR1173725	725	221	-128.80347196914443
L9	ERR181314	662	221	-112.70303797300136
L9	ERR4192405	661	227	-110.9141008623188
L9	ERR11067436	682	224	-117.04759952751616
L9	ERR5336156	680	223	-116.79203708313293
L9	SRR24827312	651	224	-109.12516375163624
L9	ERR4162024	666	220	-113.98085019491748
L9	ERR11068658	753	244	-130.08128419106052
L9	ERR11067662	752	244	-129.82572174667732
L9	SRR29440608	678	227	-115.25866241683359
L9	SRR27450487	688	229	-117.30316197189937
L9	SRR33868735	675	223	-115.51422486121682
L9	ERR11050611	675	225	-115.00309997245037
L9	ERR5336149	741	238	-128.5479095247612
L9	ERR11049065	704	224	-122.66997330394706
L9	ERR11050686	752	244	-129.82572174667732
L9	SRR33568782	666	219	-114.2364126393007
L9	SRR29441077	707	226	-122.92553574833028
L9	ERR12268344	691	218	-120.88103619326449
L9	ERR5336155	700	227	-120.88103619326449
L9	ERR11049704	753	244	-130.08128419106052
L9	ERR2514391	676	223	-115.76978730560003
L9	ERR11068147	753	244	-130.08128419106052
L9	SRR28868537	685	232	-115.76978730560003
L9	ERR4192384	676	225	-115.25866241683359
L9	SRR7069552	682	228	-116.02534974998326
L9	ERR11068827	675	224	-115.25866241683359
L9	SRR30770920	699	228	-120.36991130449805
L9	ERR11068831	752	244	-129.82572174667732
L9	SRR33763079	653	224	-109.63628864040268
L9	ERR11050883	753	244	-130.08128419106052
L9	ERR11044073	676	230	-113.98085019491748
L9	ERR11067828	752	244	-129.82572174667732
L9	ERR12115323	667	220	-114.2364126393007
L9	ERR11049892	680	225	-116.28091219436648
L9	SRR33891088	676	232	-113.46972530615103
L9	SRR33600830	663	224	-112.19191308423491
Bovis	ERR4772237	711	380	-84.59116909084683
Bovis	ERR6338304	695	403	-74.62423375990113
Bovis	SRR29056296	700	382	-81.26885731386493
Bovis	ERR841797	747	389	-91.49135508919385
Bovis	ERR4627391	723	383	-86.89123109029583
Bovis	SRR28409558	702	381	-82.03554464701459
Bovis	ERR5087645	742	380	-92.51360486672674
Bovis	ERR4187623	716	387	-84.08004420208039
Bovis	SRR23174329	713	384	-84.08004420208039
Bovis	ERR192092	742	393	-89.19129308974485
Bovis	SRR16058435	695	411	-72.57973420483535
Bovis	ERR14185893	696	382	-80.24660753633204
Bovis	ERR11893519	741	388	-90.21354286727774
Bovis	SRR23174434	711	381	-84.3356066464636
Bovis	ERR4187647	691	381	-79.22435775879914
Bovis	ERR14185470	735	389	-88.42460575659517
Bovis	ERR4187739	689	383	-78.20210798126625
Bovis	SRR23174332	714	384	-84.3356066464636
Bovis	ERR3439486	730	385	-88.16904331221195
Bovis	SRR23174276	717	383	-85.3578564239965
Bovis	ERR6337356	692	404	-73.60198398236824
Bovis	ERR14189916	733	384	-89.19129308974485
Bovis	SRR7240118	722	386	-85.86898131276294
Bovis	ERR14187704	742	389	-90.21354286727774
Bovis	SRR14296222	723	375	-88.93573064536162
Bovis	SRR29053233	726	381	-88.16904331221195
Bovis	SRR14296279	714	377	-86.12454375714617
Bovis	ERR14185516	723	376	-88.6801682009784
Bovis	SRR11462865	726	371	-90.72466775604418
Bovis	ERR14189396	747	386	-92.25804242234352
Bovis	ERR14185422	735	385	-89.44685553412806
Bovis	ERR14190097	731	384	-88.6801682009784
Bovis	ERR14188188	748	388	-92.00247997796029
Bovis	ERR125602	747	388	-91.74691753357708
Bovis	SRR1791731	720	376	-87.91348086782872
Bovis	ERR13264774	705	382	-82.54666953578105
Bovis	SRR1792175	712	381	-84.59116909084683
Bovis	ERR4829499	700	383	-81.0132948694817
Bovis	ERR14185991	749	384	-93.28029219987641
Bovis	ERR14190311	695	382	-79.9910450919488
Caprae_La2	SRR29410385	762	381	-97.36929131000798
Caprae_La2	SRR13888760	723	387	-85.86898131276294
Caprae_La2	ERR10430710	739	402	-86.12454375714617
Caprae_La2	ERR10430687	735	395	-86.89123109029583
Caprae_La2	ERR1462628	779	375	-103.24722753082212
Caprae_La2	SRR25167948	734	396	-86.38010620152939
Caprae_La2	SRR17111236	773	380	-100.43604064260666
Caprae_La2	SRR31008608	730	382	-88.93573064536162
Caprae_La2	SRR13888763	734	396	-86.38010620152939
Caprae_La2	SRR29093505	730	384	-88.42460575659517
Caprae_La2	ERR4829557	731	382	-89.19129308974485
Caprae_La2	SRR29410374	762	383	-96.85816642124153
Caprae_La2	SRR23911109	731	396	-85.61341886837972
Caprae_La2	ERR10430715	724	392	-84.84673153523005
Caprae_La2	SRR13888768	742	397	-88.16904331221195
Caprae_La2	SRR13888779	735	396	-86.63566864591262
Caprae_La2	SRR29410375	766	386	-97.11372886562475
Caprae_La2	SRR23911103	734	397	-86.12454375714617
Caprae_La2	ERR1462621	762	381	-97.36929131000798
Caprae_La2	SRR3135068	765	385	-97.11372886562475
Caprae_La2	SRR13888775	737	400	-86.12454375714617
Caprae_La2	SRR13888769	724	389	-85.61341886837972
Caprae_La2	SRR35607801	733	392	-87.14679353467906
Caprae_La2	ERR1462630	783	375	-104.26947730835501
Caprae_La2	SRR35607800	731	387	-87.91348086782872
Caprae_La2	ERR1462607	780	377	-102.99166508643889
Caprae_La2	SRR23911110	732	395	-86.12454375714617
Caprae_La2	SRR17111245	770	376	-100.69160308698987
Caprae_La2	SRR17111239	770	379	-99.92491575384021
Caprae_La2	SRR13888788	734	398	-85.86898131276294
Caprae_La2	SRR25167924	738	397	-87.14679353467906
Caprae_La2	SRR13888751	722	387	-85.61341886837972
Caprae_La2	ERR2517345	743	396	-88.6801682009784
Caprae_La2	ERR552526	730	376	-90.46910531166095
Caprae_La2	ERR10430689	737	399	-86.38010620152939
Caprae_La2	SRR23911108	734	394	-86.89123109029583
Caprae_La2	ERR1462608	777	375	-102.73610264205566
Caprae_La2	SRR13888792	724	391	-85.10229397961328
Caprae_La2	ERR11050505	724	385	-86.63566864591262
Caprae_La2	SRR29410373	764	381	-97.88041619877443
Orygis_La3	SRR23445158	749	455	-75.13535864866758
Orygis_La3	SRR16057940	741	471	-69.00185998347023
Orygis_La3	SRR20622097	744	461	-72.32417176045212
Orygis_La3	SRR24372791	761	472	-73.85754642675145
Orygis_La3	ERR4799118	747	486	-66.70179798402121
Orygis_La3	SRR25035965	756	471	-72.83529664921856
Orygis_La3	SRR23445174	742	463	-71.30192198291923
Orygis_La3	SRR23445126	734	453	-71.81304687168567
Orygis_La3	SRR24372789	761	471	-74.11310887113468
Orygis_La3	SRR23445180	740	470	-69.00185998347023
Orygis_La3	SRR10321143	754	462	-74.62423375990113
Orygis_La3	SRR29322297	753	486	-68.23517265032055
Orygis_La3	ERR4817427	726	467	-66.19067309525477
Orygis_La3	SRR17089003	743	463	-71.55748442730246
Orygis_La3	SRR23445134	740	473	-68.23517265032055
Orygis_La3	ERR234682	732	463	-68.746297539087
Orygis_La3	ERR9125109	746	473	-69.76854731661989
Orygis_La3	SRR28623800	732	476	-65.4239857621051
Orygis_La3	ERR6375135	734	473	-66.70179798402121
Orygis_La3	ERR234675	732	466	-67.97961020593733
Orygis_La3	SRR25035967	753	471	-72.0686093160689
Orygis_La3	SRR16643349	741	462	-71.30192198291923
Orygis_La3	SRR28623806	731	477	-64.91286087333866
Orygis_La3	SRR27450478	743	467	-70.53523464976956
Orygis_La3	SRR29052772	738	469	-68.746297539087
Orygis_La3	SRR23445136	746	466	-71.55748442730246
Orygis_La3	SRR28623801	728	477	-64.14617354018898
Orygis_La3	SRR28623786	731	478	-64.65729842895543
Orygis_La3	SRR27450482	757	469	-73.60198398236824
Orygis_La3	SRR16089402	743	468	-70.27967220538633
Orygis_La3	SRR23445125	755	457	-76.15760842620047
Orygis_La3	SRR29440847	732	457	-70.27967220538633
Orygis_La3	SRR23445148	740	467	-69.76854731661989
Orygis_La3	SRR28623803	730	477	-64.65729842895543
Orygis_La3	ERR2512859	728	481	-63.12392376265609
Orygis_La3	SRR23445128	736	471	-67.7240477615541
Orygis_La3	SRR23445155	756	469	-73.34642153798501
Orygis_La3	SRR23445132	740	473	-68.23517265032055
Orygis_La3	SRR6046131	763	447	-80.75773242509848
Orygis_La3	ERR6375142	735	450	-72.83529664921856
Microti	ERR027298	608	236	-95.06922931055897
Microti	ERR2659167	600	211	-99.41379086507376
Microti	SRR25473322	606	230	-96.09147908809186
Microti	ERR4818896	605	261	-87.91348086782872
Microti	ERR4817596	603	229	-95.58035419932541
Microti	ERR2659163	516	193	-82.54666953578105
Microti	ERR027294	610	239	-94.81366686617575
Microti	ERR2693243	576	249	-83.56891931331394
Microti	ERR4627396	598	282	-80.75773242509848
Microti	ERR553377	593	239	-90.46910531166095
Microti	ERR4816200	606	233	-95.3247917549422
Microti	ERR4819660	590	231	-91.74691753357708
Microti	SRR25473320	609	228	-97.36929131000798
Microti	ERR5102812	612	251	-92.25804242234352
Microti	ERR027297	621	250	-94.81366686617575
Microti	ERR4821993	605	246	-91.74691753357708
Microti	ERR2200122	585	245	-86.89123109029583
Microti	ERR553376	590	243	-88.6801682009784
Microti	ERR2659166	615	224	-99.92491575384021
Microti	ERR4816690	601	259	-87.40235597906228
Microti	ERR3283039	597	233	-93.02472975549318
Microti	SRR3647357	602	247	-90.72466775604418
Microti	ERR2659170	587	215	-95.06922931055897
Microti	ERR4618952	585	250	-85.61341886837972
Microti	ERR4815315	601	234	-93.79141708864286
Microti	ERR4816083	583	240	-87.65791842344551
Microti	ERR2659168	587	217	-94.55810442179252
Microti	ERR027295	624	249	-95.83591664370864
Microti	ERR4627394	601	231	-94.55810442179252
Microti	SRR25473321	608	229	-96.85816642124153
Microti	SRR5007159	606	254	-89.95798042289451
Microti	ERR551111	582	245	-86.12454375714617
Pinnipedii	ERR4143898	673	244	-109.63628864040268
Pinnipedii	ERR552769	673	242	-110.14741352916913
Pinnipedii	ERR552768	672	238	-110.9141008623188
Pinnipedii	ERR12075278	671	238	-110.65853841793557
Pinnipedii	SRR1239336	674	234	-112.44747552861814
Pinnipedii	SRR1239337	667	239	-109.38072619601947
Pinnipedii	SRR1239338	672	237	-111.16966330670202
Pinnipedii	ERR551134	670	239	-110.14741352916913
Pinnipedii	ERR551136	667	239	-109.38072619601947
Pinnipedii	SRR1239339	560	198	-92.51360486672674
Pinnipedii	ERR4143897	676	244	-110.40297597355236
Pinnipedii	SRR7693584	664	240	-108.35847641848657
Pinnipedii	SRR29055367	670	240	-109.89185108478591
Pinnipedii	ERR4817032	669	239	-109.89185108478591
Pinnipedii	SRR7693090	663	243	-107.33622664095368
La4	SRR27836870	680	419	-66.70179798402121
La4	SRR31884848	683	409	-70.02410976100312
La4	SRR27836877	678	417	-66.70179798402121
La4	SRR27836874	679	411	-68.49073509470378
La4	DRR120408	720	405	-80.50216998071525
La4	SRR3135069	681	422	-66.19067309525477
La4	SRR27836871	677	419	-65.93511065087155
La4	SRR35773085	720	403	-81.0132948694817
La4	ERR13149107	678	419	-66.19067309525477
La4	SRR27836869	679	418	-66.70179798402121
La4	SRR1792164	682	422	-66.446235539638
La4	SRR18914189	692	407	-72.83529664921856
La4	SRR16503843	691	407	-72.57973420483535
La4	SRR7617662	679	423	-65.4239857621051
La4	SRR1792165	680	423	-65.67954820648832
La4	SRR27836875	682	418	-67.46848531717089
La4	SRR27836876	679	417	-66.95736042840444
La4	SRR27836868	680	420	-66.446235539638
La4	ERR11068622	709	400	-78.96879531441591
La4	SRR27836873	674	420	-64.91286087333866
La4	SRR27836872	682	418	-67.46848531717089
Dassie	SRR3745455	618	194	-108.35847641848657
Dassie	SRR3745457	590	201	-99.41379086507376
Dassie	ERR2659158	591	205	-98.64710353192409
Dassie	ERR2659157	483	167	-80.75773242509848
Dassie	SRR3745456	608	199	-104.52503975273822
Dassie	SRR3745458	599	203	-101.20272797575632
Suricattae	SRR29093838	658	240	-106.82510175218724
Suricattae	SRR29093504	643	228	-106.05841441903756
Suricattae	ERR970409	660	237	-108.10291397410334
Suricattae	SRR29096559	659	237	-107.84735152972013
Suricattae	SRR29096255	647	227	-107.33622664095368
