lignee	sra	n_pool	loss_4fold	gain_4fold	neut_4fold	loss_0fold	gain_0fold	neut_0fold	loss_intergenique	gain_intergenique	neut_intergenique	loss_0fold_pos2	gain_0fold_pos2	neut_0fold_pos2
L4	SRR7535052	40	23	3	2	38	20	8	11	7	2	15	12	2
L4	ERR9907723	40	22	3	5	29	28	7	8	3	2	13	22	4
L4	SRR14519847	40	27	2	2	25	13	4	5	2	2	12	9	2
L4	SRR14165009	40	9	10	1	17	13	7	1	6	0	6	5	5
L4	SRR19303908	40	16	1	3	23	13	3	6	3	2	7	6	1
L4	SRR15315838	40	42	6	11	68	34	15	18	9	2	34	20	10
L4	ERR473291	40	17	3	3	14	15	3	5	0	1	4	10	3
L4	SRR18897176	40	28	7	12	57	28	11	9	6	1	31	15	7
L4	ERR6865963	40	1	0	1	2	3	3	2	3	0	2	2	2
L4	SRR14782000	40	14	2	5	19	14	5	4	1	0	6	9	1
L4	ERR234265	40	11	5	8	17	15	5	2	1	0	6	8	3
L4	ERR3132290	40	15	5	7	18	16	7	2	2	3	7	9	1
L4	SRR14164829	40	18	2	1	22	13	7	4	2	1	9	6	3
L4	SRR26111903	40	14	2	1	33	10	9	10	2	2	14	6	2
L4	ERR4457895	40	48	9	10	72	43	17	20	9	8	27	23	10
L4	SRR4033606	40	1	1	2	8	6	1	2	0	0	3	5	0
L4	ERR9806830	40	16	6	2	30	17	17	6	2	0	15	10	11
L4	SRR14782506	40	25	3	8	37	27	12	15	5	2	14	15	5
L4	ERR6358906	40	19	4	9	55	30	3	10	5	3	21	21	0
L4	SRR19115678	40	12	5	2	34	13	12	2	5	1	14	6	6
L4	SRR26112633	40	19	4	3	25	21	6	4	3	1	15	13	4
L4	ERR752194	40	43	6	9	49	16	10	11	6	1	17	16	8
L4	ERR4553695	40	12	2	1	23	19	8	1	2	1	10	10	4
L4	SRR25395670	40	16	3	1	10	7	1	5	1	0	7	2	0
L4	SRR28646106	40	14	3	4	17	18	7	5	1	0	9	12	5
L4	ERR12117990	40	1	0	1	4	5	3	0	0	0	3	3	2
L4	ERR553043	40	35	3	11	51	34	22	12	7	3	22	23	8
L4	SRR28706499	40	20	2	4	21	14	12	7	4	2	12	8	6
L4	ERR2510387	40	13	3	4	38	16	10	3	2	2	24	6	5
L4	ERR8975879	40	21	6	3	17	11	7	9	4	3	10	6	2
L4	ERR9786560	40	7	3	1	12	6	5	3	1	1	5	2	2
L4	SRR13583322	40	10	3	2	29	14	9	6	4	0	13	9	4
L4	SRR33644377	40	27	6	10	60	14	5	10	3	2	27	9	1
L4	SRR28393481	40	25	10	7	49	27	14	16	3	1	24	21	10
L4	SRR13583427	40	16	3	7	30	12	8	7	4	1	18	9	3
L4	ERR978728	40	26	10	7	58	27	11	10	4	1	32	13	6
L5	ERR4192387	40	18	3	6	27	17	10	5	4	2	12	12	5
L5	ERR552506	40	23	1	3	43	12	5	5	1	1	17	7	2
L5	SRR34011822	40	32	2	2	57	21	6	6	3	3	20	11	5
L5	ERR4162001	40	37	5	5	66	32	7	12	3	1	28	22	3
L5	ERR2383619	40	12	2	4	18	12	2	4	0	1	5	9	0
L5	SRR29231703	40	0	0	0	0	0	0	0	0	0	0	0	0
L5	ERR751338	40	7	1	1	14	12	5	0	1	0	6	9	3
L5	ERR4162007	40	21	5	5	30	12	14	7	2	3	10	5	6
L5	ERR028323	40	21	0	3	32	20	7	8	3	2	12	8	3
L5	ERR702411	40	11	1	2	19	8	4	6	0	1	9	6	2
L5	ERR9119643	40	10	3	2	25	12	4	3	0	0	12	7	3
L5	ERR4815616	40	12	1	3	18	4	8	2	0	2	8	3	4
L5	ERR751328	40	10	0	1	19	11	4	2	2	0	10	7	3
L5	ERR2706914	40	0	0	0	0	0	0	0	0	0	0	0	0
L5	ERR3170434	40	30	5	5	55	21	11	12	5	3	26	13	4
L5	SRR33685242	40	17	3	1	28	13	8	9	3	0	12	5	1
L5	ERR9119542	40	0	0	0	1	1	1	1	0	0	0	0	0
L5	ERR4872094	40	9	12	23	4	1	3	0	0	0	3	0	2
L5	SRR11461656	40	12	2	1	16	5	2	1	1	1	9	4	0
L5	CUS0000023	40	19	2	4	36	14	12	8	3	2	15	9	4
L5	ERR1082131	40	15	3	4	32	9	5	2	2	3	15	3	5
L5	SRR33588857	40	6	1	2	17	14	3	2	3	2	6	11	2
L5	ERR551967	40	13	1	4	29	11	8	16	1	2	10	5	4
L5	SRR33938994	40	23	2	2	31	13	6	11	2	4	14	8	2
L5	ERR3170402	40	5	3	0	10	6	0	1	0	0	5	4	0
L5	ERR2706930	40	0	0	0	0	0	0	0	0	0	0	0	0
L5	SRR29126893	40	10	2	3	21	11	6	6	6	1	11	5	2
L5	ERR017801	40	6	2	3	27	11	4	7	4	3	17	5	4
L5	ERR4162027	40	10	0	0	15	12	1	2	0	0	8	7	0
L5	SRR27450486	40	5	1	2	4	4	0	2	0	1	1	3	0
L5	SRR33869012	40	21	2	4	37	11	7	7	5	2	20	7	2
L5	ERR10680152	40	31	8	6	59	21	5	9	4	1	27	13	4
L5	ERR1082132	40	11	2	1	16	9	2	2	1	0	9	5	0
L5	ERR400492	40	24	2	1	41	8	9	8	4	1	19	5	1
L5	ERR702428	40	1	1	0	4	2	2	2	0	0	1	2	2
L5	ERR4872171	40	0	0	0	0	0	1	0	0	0	0	0	0
L5	ERR502505	40	19	2	4	36	15	3	7	3	3	10	8	3
L5	ERR439965	40	21	8	2	36	18	7	6	4	1	19	15	7
L5	SRR22419690	40	24	3	2	47	13	8	8	0	1	16	8	2
L5	ERR502508	40	1	1	0	3	0	0	1	0	0	2	0	0
L6	ERR9787274	40	19	3	1	31	21	10	12	2	5	15	14	6
L6	ERR3803967	40	17	5	7	41	17	8	7	2	2	15	9	5
L6	ERR11082664	40	13	0	4	27	7	4	8	4	1	14	4	3
L6	ERR9787131	40	20	5	2	38	19	5	7	2	1	11	10	4
L6	ERR439976	40	12	3	5	31	18	5	6	4	3	16	7	2
L6	SRR7131190	40	19	2	2	26	9	5	15	1	3	10	7	2
L6	ERR14869771	40	31	4	6	63	9	5	20	2	5	30	7	2
L6	ERR1023257	40	29	9	1	37	17	8	6	2	0	15	8	4
L6	SRR30443647	40	8	2	1	12	7	1	1	1	1	8	4	0
L6	ERR3803848	40	13	2	2	24	16	4	10	6	1	9	6	2
L6	ERR3806839	40	16	4	2	27	12	6	5	4	0	11	9	5
L6	ERR4819833	40	35	3	3	43	15	8	12	5	3	12	9	6
L6	ERR9787036	40	4	1	0	4	3	1	0	0	0	3	2	0
L6	ERR11080915	40	24	4	1	36	14	9	13	0	1	10	10	5
L6	ERR3804111	40	13	4	2	23	15	6	7	3	2	14	6	3
L6	ERR3806831	40	17	5	3	31	9	9	6	1	2	14	4	5
L6	ERR1023227	40	19	1	2	43	13	1	3	4	3	22	7	1
L6	SRR30443941	40	7	0	0	22	8	0	3	1	0	9	5	0
L6	ERR14869600	40	24	1	2	43	25	6	4	1	1	16	15	5
L6	ERR9125747	40	0	0	0	2	0	0	0	0	0	1	0	0
L6	SRR33585255	40	4	6	1	11	5	1	2	1	0	8	3	1
L6	ERR1082116	40	18	0	1	31	13	2	5	1	0	16	10	0
L6	ERR14869708	40	12	2	3	44	16	1	5	2	2	17	8	1
L6	ERR3803783	40	10	4	6	26	8	3	8	5	2	8	3	1
L6	SRR33817125	40	15	0	0	24	8	3	7	3	2	7	4	1
L6	ERR3803812	40	16	2	2	35	9	6	5	1	2	14	7	5
L6	ERR13264898	40	21	0	2	41	5	5	6	0	0	21	1	3
L6	ERR1023293	40	14	2	3	24	11	4	6	5	4	14	9	1
L6	ERR403344	40	23	5	2	41	24	7	6	7	3	15	18	4
L6	ERR12544231	40	24	3	3	36	12	4	6	2	0	15	11	2
L6	ERR3804144	40	18	1	4	22	12	8	6	3	0	9	7	4
L6	SRR998743	40	17	2	2	30	7	6	8	1	2	16	4	5
L6	SRR21674643	40	19	3	3	26	14	1	10	2	0	14	6	1
L6	ERR9787223	40	2	9	9	4	2	1	0	0	0	2	0	0
L6	ERR1023265	40	19	4	3	28	15	1	7	3	0	15	10	1
L6	ERR551709	40	24	6	2	45	22	8	9	5	1	16	13	3
L6	ERR552329	40	17	1	2	24	12	3	8	1	1	13	6	2
L6	ERR9787262	40	15	1	3	31	7	4	3	2	0	13	4	1
L6	ERR9787202	40	17	5	1	41	10	4	9	4	2	21	3	2
L6	SRR7131139	40	3	1	0	6	2	0	1	0	0	2	0	0
L7	ERR1200619	40	0	0	0	2	0	0	0	0	0	0	0	0
L7	ERR1971877	40	2	1	0	7	8	0	2	1	0	2	5	0
L7	ERR1971856	40	7	1	2	7	4	2	4	2	0	1	2	1
L7	ERR1971864	40	4	1	1	5	6	0	0	4	1	4	1	0
L7	ERR7737753	40	29	2	2	40	16	2	8	2	1	16	6	0
L7	ERR4814968	40	1	0	1	17	8	2	6	1	0	8	6	1
L7	SRR33712718	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1200604	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1200608	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971849	40	30	5	4	35	20	5	2	4	0	18	12	3
L7	SRR33750182	40	5	0	0	9	7	1	1	0	0	4	6	1
L7	SRR18911237	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR2704710	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971855	40	4	1	0	9	2	2	3	0	0	2	2	1
L7	ERR1971874	40	19	2	1	28	17	5	0	4	0	12	13	4
L7	ERR11044943	40	5	1	0	14	8	3	1	0	0	6	6	2
L7	ERR11049146	40	14	0	1	17	12	4	5	4	2	7	7	3
L7	ERR1971872	40	10	2	1	19	14	2	2	2	2	8	10	1
L7	ERR234681	40	4	1	0	7	1	4	4	1	3	2	1	0
L7	ERR1200625	40	12	0	1	12	7	0	4	2	0	4	6	0
L7	ERR2704711	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971857	40	3	1	1	5	12	3	1	2	0	3	9	1
L7	ERR1971862	40	9	3	0	6	8	3	0	1	0	4	7	3
L7	ERR159958	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1971865	40	3	1	0	8	5	0	0	0	0	1	1	0
L7	ERR1200613	40	3	0	0	3	3	1	0	2	0	1	3	0
L7	ERR233346	40	6	2	0	14	7	1	1	1	0	7	4	1
L7	ERR1200617	40	7	5	3	18	20	3	4	2	2	10	10	1
L7	ERR11068585	40	7	1	0	11	11	2	0	1	1	6	8	1
L7	ERR1200640	40	2	0	1	9	3	3	3	1	0	5	2	1
L7	ERR1200631	40	7	5	0	11	7	1	5	2	1	6	2	1
L7	ERR159959	40	3	0	0	2	2	0	1	0	0	1	1	0
L7	ERR1200602	40	7	1	0	13	6	1	2	0	2	6	5	1
L7	ERR1971869	40	3	0	0	1	1	0	1	1	0	1	0	0
L7	ERR3323719	40	0	0	0	0	0	0	0	0	0	0	0	0
L7	ERR1200612	40	13	1	0	13	5	1	2	0	0	8	3	0
L7	ERR1971863	40	6	1	3	12	7	2	3	4	1	8	4	2
L7	ERR756348	40	5	0	1	7	3	1	2	0	1	3	2	1
L7	ERR1200606	40	6	1	0	10	7	2	3	1	1	2	4	2
L7	ERR1971876	40	8	0	0	12	6	3	5	3	0	6	4	0
L8	SRR1173284	4	2	3	0	4	1	0	1	0	0	1	1	0
L8	ERR12115321	4	0	0	0	0	0	0	0	0	0	0	0	0
L8	SRR10828835	4	0	0	0	0	0	0	0	0	0	0	0	0
L8	SRR1173725	4	0	0	0	1	0	0	0	0	0	0	0	0
L9	ERR181314	36	45	7	2	96	26	11	14	6	2	42	11	5
L9	ERR4192405	36	15	3	3	17	9	4	3	2	1	13	7	2
L9	ERR11067436	36	9	0	0	10	4	1	3	1	2	5	4	0
L9	ERR5336156	36	12	1	1	7	2	3	2	1	0	2	1	2
L9	SRR24827312	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR4162024	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11068658	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11067662	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	SRR29440608	36	24	4	0	33	10	6	5	4	0	18	7	2
L9	SRR27450487	36	18	2	0	22	7	3	6	3	0	9	3	2
L9	SRR33868735	36	5	2	0	7	1	1	0	0	1	1	1	0
L9	ERR11050611	36	12	2	2	23	7	3	6	1	0	7	5	2
L9	ERR5336149	36	25	1	0	34	16	4	9	2	1	17	6	2
L9	ERR11049065	36	3	0	0	1	0	1	2	0	1	1	0	0
L9	ERR11050686	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	SRR33568782	36	9	1	1	23	3	5	5	1	0	11	2	2
L9	SRR29441077	36	2	0	1	7	3	1	0	0	0	3	0	0
L9	ERR12268344	36	24	4	2	39	7	3	8	2	3	15	5	3
L9	ERR5336155	36	17	1	0	37	10	2	4	2	0	17	5	1
L9	ERR11049704	36	0	0	0	1	0	0	0	0	0	0	0	0
L9	ERR2514391	36	4	1	0	17	7	2	5	0	0	11	4	2
L9	ERR11068147	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	SRR28868537	36	9	2	1	25	13	2	4	2	0	11	9	0
L9	ERR4192384	36	9	3	2	25	9	2	8	0	1	8	5	2
L9	SRR7069552	36	24	2	2	32	13	10	7	2	1	13	7	8
L9	ERR11068827	36	8	0	2	28	9	2	5	1	1	14	7	1
L9	SRR30770920	36	1	0	1	6	5	3	3	0	0	3	2	3
L9	ERR11068831	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	SRR33763079	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11050883	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11044073	36	15	3	3	23	11	2	1	1	1	10	7	2
L9	ERR11067828	36	0	0	0	1	0	0	0	0	0	0	0	0
L9	ERR12115323	36	0	0	0	0	0	0	0	0	0	0	0	0
L9	ERR11049892	36	6	1	1	9	5	0	1	0	0	4	4	0
L9	SRR33891088	36	22	0	1	26	11	2	5	4	1	6	6	0
L9	SRR33600830	36	10	1	5	24	9	5	5	0	1	15	7	2
Bovis	ERR4772237	40	36	11	3	68	58	15	18	9	5	28	35	10
Bovis	ERR6338304	40	0	0	0	1	2	0	0	0	0	0	2	0
Bovis	SRR29056296	40	0	0	0	0	0	0	0	0	0	0	0	0
Bovis	ERR841797	40	0	0	0	1	1	0	0	0	0	0	1	0
Bovis	ERR4627391	40	4	2	1	13	8	4	1	1	1	7	5	2
Bovis	SRR28409558	40	0	0	0	1	1	0	0	0	0	0	0	0
Bovis	ERR5087645	40	16	2	0	17	10	2	5	3	0	11	6	2
Bovis	ERR4187623	40	7	3	4	9	14	4	1	1	1	5	10	2
Bovis	SRR23174329	40	0	0	0	0	0	0	0	0	0	0	0	0
Bovis	ERR192092	40	1	1	0	0	3	0	1	0	0	0	0	0
Bovis	SRR16058435	40	12	15	2	23	25	3	8	6	1	12	12	1
Bovis	ERR14185893	40	0	0	0	3	1	0	1	0	0	2	1	0
Bovis	ERR11893519	40	0	0	0	3	2	0	0	0	0	2	2	0
Bovis	SRR23174434	40	0	0	0	0	0	0	0	0	0	0	0	0
Bovis	ERR4187647	40	1	0	0	0	0	0	0	0	0	0	0	0
Bovis	ERR14185470	40	9	2	1	9	12	5	2	3	0	5	5	2
Bovis	ERR4187739	40	0	0	0	0	2	0	0	0	0	0	2	0
Bovis	SRR23174332	40	0	0	0	0	0	0	0	0	0	0	0	0
Bovis	ERR3439486	40	0	0	0	0	2	0	0	0	0	0	1	0
Bovis	SRR23174276	40	0	1	0	1	1	0	0	0	0	0	1	0
Bovis	ERR6337356	40	0	0	0	1	2	0	0	0	0	1	1	0
Bovis	ERR14189916	40	1	1	0	3	1	1	0	0	0	1	1	1
Bovis	SRR7240118	40	42	11	7	75	54	14	16	14	2	31	32	9
Bovis	ERR14187704	40	0	0	0	1	1	0	0	0	0	1	0	0
Bovis	SRR14296222	40	15	1	4	5	11	0	5	1	0	2	9	0
Bovis	SRR29053233	40	18	10	4	24	24	2	9	2	0	11	12	2
Bovis	SRR14296279	40	4	1	0	13	10	6	3	3	1	6	5	3
Bovis	ERR14185516	40	8	4	2	15	8	2	2	3	2	6	5	0
Bovis	SRR11462865	40	27	5	2	30	16	7	5	7	1	12	9	1
Bovis	ERR14189396	40	0	2	0	2	3	0	1	0	0	2	1	0
Bovis	ERR14185422	40	6	2	2	17	12	0	7	4	1	10	5	0
Bovis	ERR14190097	40	1	0	0	2	1	0	0	0	1	0	1	0
Bovis	ERR14188188	40	14	2	2	22	13	4	5	2	2	7	8	3
Bovis	ERR125602	40	0	0	0	4	0	0	0	0	0	1	0	0
Bovis	SRR1791731	40	9	2	1	13	9	3	3	2	0	8	4	1
Bovis	ERR13264774	40	0	0	0	5	2	0	0	0	2	3	1	0
Bovis	SRR1792175	40	28	8	9	36	33	9	8	8	3	19	21	3
Bovis	ERR4829499	40	0	0	0	0	0	0	0	0	0	0	0	0
Bovis	ERR14185991	40	1	0	0	0	1	0	2	0	0	0	0	0
Bovis	ERR14190311	40	2	0	0	3	0	0	0	0	0	2	0	0
Caprae_La2	SRR29410385	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR13888760	40	1	0	0	3	2	1	0	0	1	1	0	0
Caprae_La2	ERR10430710	40	1	0	0	7	5	0	0	1	0	1	4	0
Caprae_La2	ERR10430687	40	3	0	0	4	4	1	1	0	0	1	2	1
Caprae_La2	ERR1462628	40	0	0	0	1	0	0	0	0	0	1	0	0
Caprae_La2	SRR25167948	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR17111236	40	0	0	0	4	1	0	0	0	0	2	1	0
Caprae_La2	SRR31008608	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR13888763	40	1	0	0	4	1	0	0	2	1	2	1	0
Caprae_La2	SRR29093505	40	1	0	0	4	1	0	1	1	0	2	0	0
Caprae_La2	ERR4829557	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR29410374	40	0	0	0	0	0	1	0	0	0	0	0	1
Caprae_La2	SRR23911109	40	0	0	0	0	1	1	0	0	0	0	0	1
Caprae_La2	ERR10430715	40	0	0	0	0	0	0	0	0	0	0	0	0
Caprae_La2	SRR13888768	40	3	0	0	8	3	0	2	1	1	4	2	0
Caprae_La2	SRR13888779	40	0	0	0	1	0	0	1	0	0	0	0	0
Caprae_La2	SRR29410375	40	1	0	0	1	2	0	0	0	0	1	0	0
Caprae_La2	SRR23911103	40	1	2	0	4	1	0	0	0	0	2	1	0
