clade	sra	nsub	loss	gain	neutral	ratio
L2.2.1	SRR4033749	1313	520	579	214	0.8981
L2.2.1	ERR8665776	1314	522	587	205	0.8893
L2.2.1	SRR11786872	1338	530	597	211	0.8878
L2.2.1	ERR4827611	1344	527	602	215	0.8754
L2.2.1	ERR5864307	1299	521	578	200	0.9014
L3	ERR4798273	1372	602	550	220	1.0945
L3	ERR2515074	1312	576	519	217	1.1098
L3	ERR4800533	1335	575	537	223	1.0708
L3	ERR2510438	1309	579	524	206	1.1050
L3	ERR4819332	1320	584	529	207	1.1040
L3	ERR216981	1297	565	520	212	1.0865
L3	ERR2510465	1322	571	523	228	1.0918
L3	ERR4798854	1339	574	536	229	1.0709
L3	ERR4829127	1313	569	520	224	1.0942
L3	SRR22424856	1356	581	541	234	1.0739
L3	SRR21728336	1338	579	540	219	1.0722
L3	SRR22424752	1326	570	528	228	1.0795
L3	ERR245796	1301	572	516	213	1.1085
L3	ERR4829144	1329	590	516	223	1.1434
L3	SRR28044918	1332	568	536	228	1.0597
L3	ERR688023	1365	580	553	232	1.0488
L3	ERR4818877	1297	567	524	206	1.0821
L3	ERR4798552	1374	596	546	232	1.0916
L3	SRR28045170	1385	615	548	222	1.1223
L3	ERR4799249	1362	590	543	229	1.0866
L3	ERR2199900	1288	545	524	219	1.0401
L3	ERR2510326	1315	581	530	204	1.0962
L3	ERR4829947	1302	564	519	219	1.0867
L3	ERR3077987	1378	588	562	228	1.0463
L3	SRR22251080	1331	572	537	222	1.0652
L3	SRR16058252	1348	583	537	228	1.0857
L3	SRR22251746	1296	556	536	204	1.0373
L3	SRR28044880	1338	576	541	221	1.0647
L3	ERR4821366	1277	557	506	214	1.1008
L3	ERR4797181	1350	589	540	221	1.0907
L3	ERR2512536	1223	516	512	195	1.0078
L3	SRR5341376	1328	563	542	223	1.0387
L3	SRR27332356	1309	578	512	219	1.1289
L3	SRR6152765	1367	603	537	227	1.1229
L3	ERR4809128	1344	590	531	223	1.1111
L3	SRR27449964	1308	565	522	221	1.0824
L3	ERR4818922	1290	569	514	207	1.1070
L3	ERR4828529	1229	496	518	215	0.9575
L3	SRR16058185	1318	574	525	219	1.0933
L3	SRR16058375	1304	581	522	201	1.1130
L4.1.2	ERR2516272	851	351	361	139	0.9723
L4.1.2	ERR552279	880	369	365	146	1.0110
L4.1.2	ERR4812398	921	369	383	169	0.9634
L4.1.2	SRR10851604	892	354	387	151	0.9147
L4.1.2	SRR22249404	885	370	371	144	0.9973
L4.1.2	SRR20958078	931	380	391	160	0.9719
L4.1.2	ERR4195410	911	377	377	157	1.0000
L4.1.2	ERR2512560	889	364	375	150	0.9707
L4.1.2	SRR4035723	881	364	365	152	0.9973
L4.1.2	SRR28394290	908	367	387	154	0.9483
L4.1.2	SRR24083700	907	364	391	152	0.9309
L4.1.2	ERR4817438	883	369	368	146	1.0027
L4.1.2	ERR6866682	915	377	386	152	0.9767
L4.1.2	ERR1367618	904	363	393	148	0.9237
L4.1.2	SRR7592367	906	385	370	151	1.0405
L4.1.2	SRR19303987	899	371	377	151	0.9841
L4.1.2	ERR4822638	920	373	384	163	0.9714
L4.1.2	SRR10315693	914	379	380	155	0.9974
L4.1.2	SRR18149464	950	382	404	164	0.9455
L4.1.2	ERR9786122	868	367	358	143	1.0251
L4.1.2	ERR6866745	930	379	389	162	0.9743
L4.1.2	ERR2516426	841	347	356	138	0.9747
L4.1.2	ERR6866247	900	360	391	149	0.9207
L4.1.2	SRR28393532	908	374	383	151	0.9765
L4.1.2	ERR4830362	923	381	382	160	0.9974
L4.1.2	ERR2199746	870	352	376	142	0.9362
L4.1.2	ERR8774231	925	389	387	149	1.0052
L4.1.2	ERR6865612	902	362	387	153	0.9354
L4.1.2	ERR2515762	873	363	366	144	0.9918
L4.1.2	SRR19314674	872	370	353	149	1.0482
L4.1.2	ERR552026	823	358	334	131	1.0719
L4.1.2	ERR4829737	882	360	375	147	0.9600
L4.1.2	ERR12057461	872	360	365	147	0.9863
L4.1.2	SRR13180273	888	369	367	152	1.0054
L4.1.2	SRR28498424	899	372	374	153	0.9947
L4.1.2	SRR26112528	881	359	374	148	0.9599
L4.1.2	ERR4813038	862	360	365	137	0.9863
L4.1.2	ERR025421	844	344	359	141	0.9582
L4.1.2	ERR4195264	908	364	384	160	0.9479
L4.1.2	ERR10465875	905	379	372	154	1.0188
L4.3	SRR23862053	855	339	374	142	0.9064
L4.3	SRR6807744	788	315	343	130	0.9184
L4.3	SRR21240170	840	329	376	135	0.8750
L4.3	ERR4813881	724	293	328	103	0.8933
L4.3	ERR4811989	817	323	366	128	0.8825
L4.3	SRR14165068	839	330	377	132	0.8753
L4.3	ERR10561903	820	330	365	125	0.9041
L4.3	ERR5530524	779	321	326	132	0.9847
L4.3	ERR1193802	799	325	346	128	0.9393
L4.3	ERR2184509	787	318	329	140	0.9666
L4.3	SRR28393913	827	339	360	128	0.9417
L4.3	SRR19303906	838	333	371	134	0.8976
L4.3	ERR3287440	831	334	366	131	0.9126
L4.3	ERR9285779	789	309	351	129	0.8803
L4.3	SRR4034230	788	308	345	135	0.8928
L4.3	SRR26387460	801	325	347	129	0.9366
L4.3	SRR4033500	766	304	335	127	0.9075
L4.3	SRR14782541	844	335	366	143	0.9153
L4.3	ERR8773895	765	303	338	124	0.8964
L4.3	SRR7276711	799	325	353	121	0.9207
L4.3	ERR9907719	824	328	362	134	0.9061
L4.3	SRR22461593	818	332	353	133	0.9405
L4.3	ERR10748201	801	314	351	136	0.8946
L4.3	ERR4813708	824	332	365	127	0.9096
L4.3	ERR6866100	827	329	365	133	0.9014
L4.3	SRR14164400	812	329	358	125	0.9190
L4.3	SRR6458433	819	336	349	134	0.9628
L4.3	SRR21732281	799	325	353	121	0.9207
L4.3	ERR8774056	789	316	347	126	0.9107
L4.3	ERR5530522	827	350	358	119	0.9777
L4.3	ERR4195500	778	321	330	127	0.9727
L4.3	ERR8975694	775	317	341	117	0.9296
L4.3	SRR4034169	750	298	325	127	0.9169
L4.3	SRR26387464	827	331	360	136	0.9194
L4.3	ERR10796617	750	300	335	115	0.8955
L4.3	ERR5866269	777	322	327	128	0.9847
L4.3	ERR4195755	800	318	350	132	0.9086
L4.3	SRR4034155	790	315	356	119	0.8848
L4.3	ERR4820187	807	331	343	133	0.9650
L4.3	SRR4033434	793	316	345	132	0.9159
L5.1	ERR12115309	1979	879	827	273	1.0629
L5.1	ERR751333	1974	873	833	268	1.0480
L5.1	ERR702416	1977	875	833	269	1.0504
L5.1	ERR439993	1986	880	831	275	1.0590
L5.1	SRR21677259	1934	874	805	255	1.0857
L5.1	ERR1215463	1979	873	834	272	1.0468
L5.1	ERR3170434	2001	896	826	279	1.0847
L5.1	ERR4821310	1938	866	811	261	1.0678
L5.1	ERR3170444	1916	856	806	254	1.0620
L5.1	ERR1082124	2009	885	840	284	1.0536
L5.1	SRR21678369	1917	862	798	257	1.0802
L5.1	ERR4816967	1949	875	812	262	1.0776
L6.1	ERR4162016	2112	1061	777	274	1.3655
L6.1	ERR4828921	2021	1010	742	269	1.3612
L6.1	ERR9787038	2081	1015	793	273	1.2799
L6.1	ERR14869585	2057	987	795	275	1.2415
L6.1	SRR11444139	2123	999	835	289	1.1964
L6.1	ERR9787019	2065	990	802	273	1.2344
L6.1	ERR228182	1979	956	758	265	1.2612
L6.1	ERR14869769	2132	1028	817	287	1.2583
L6.1	ERR4192375	2140	1028	822	290	1.2506
L6.1	ERR1023281	2160	1063	799	298	1.3304
L6.1	SRR33605085	2138	1056	799	283	1.3217
L6.1	ERR9787311	2053	984	790	279	1.2456
L6.1	ERR3803798	2130	1017	833	280	1.2209
L6.1	ERR751341	2110	1040	793	277	1.3115
L6.1	ERR14869713	2080	1006	799	275	1.2591
L6.1	ERR1334038	2121	1025	806	290	1.2717
L6.1	ERR3803911	1996	958	771	267	1.2425
L6.1	ERR3804148	2091	1009	807	275	1.2503
L6.1	ERR11049858	2130	1023	816	291	1.2537
L6.1	ERR3804004	2078	1004	796	278	1.2613
L6.1	SRR30443636	2071	1002	788	281	1.2716
L6.1	SRR29126325	2107	1030	793	284	1.2989
L6.1	ERR10680043	2130	1067	778	285	1.3715
L6.1	ERR9787340	2088	1018	791	279	1.2870
L6.1	ERR1023227	2127	1028	814	285	1.2629
L6.1	SRR33793070	2053	987	795	271	1.2415
L6.1	ERR9787298	2100	1005	810	285	1.2407
L6.1	ERR3803914	1991	972	755	264	1.2874
L6.1	ERR9787169	2079	1005	795	279	1.2642
L6.1	ERR4818574	1881	909	719	253	1.2643
L6.1	ERR1023280	2166	1073	800	293	1.3413
L6.1	SRR7069811	2082	995	804	283	1.2376
L6.1	ERR3804123	2141	1090	786	265	1.3868
L6.1	ERR3804113	2067	1002	794	271	1.2620
L6.1	SRR33643123	2115	1043	788	284	1.3236
L6.1	ERR1082114	2146	1013	835	298	1.2132
L6.1	ERR14869610	2054	1004	776	274	1.2938
L6.1	ERR3804125	2080	1011	791	278	1.2781
L6.1	ERR4192401	2042	984	784	274	1.2551
L6.1	ERR14869426	2144	1070	793	281	1.3493
L7	ERR1200619	1873	839	793	241	1.0580
L7	ERR1971877	2015	897	847	271	1.0590
L7	ERR1971856	2010	899	838	273	1.0728
L7	ERR1971864	1997	889	839	269	1.0596
L7	ERR7737753	2018	919	840	259	1.0940
L7	ERR4814968	1911	850	807	254	1.0533
L7	SRR33712718	1922	866	797	259	1.0866
L7	ERR1200604	1867	838	791	238	1.0594
L7	ERR1200608	1889	846	800	243	1.0575
L7	ERR1971849	1979	885	821	273	1.0780
L7	SRR33750182	1905	862	790	253	1.0911
L7	SRR18911237	1918	861	800	257	1.0762
L7	ERR2704710	1906	835	813	258	1.0271
L7	ERR1971855	2006	890	842	274	1.0570
L7	ERR1971874	1988	890	828	270	1.0749
L7	ERR11044943	1975	882	829	264	1.0639
L7	ERR11049146	1961	872	817	272	1.0673
L7	ERR1971872	1976	868	833	275	1.0420
L7	ERR234681	1977	877	827	273	1.0605
L7	ERR1200625	1876	856	785	235	1.0904
L7	ERR2704711	1917	838	818	261	1.0244
L7	ERR1971857	2000	887	844	269	1.0509
L7	ERR1971862	2024	894	851	279	1.0505
L7	ERR159958	1839	832	771	236	1.0791
L7	ERR1971865	1982	888	824	270	1.0777
L7	ERR1200613	1883	845	796	242	1.0616
L7	ERR233346	1867	851	777	239	1.0952
L7	ERR1200617	1838	819	779	240	1.0513
L7	ERR11068585	1961	859	837	265	1.0263
L7	ERR1200640	1871	853	779	239	1.0950
L7	ERR1200631	1814	823	758	233	1.0858
L7	ERR159959	1866	846	777	243	1.0888
L7	ERR1200602	1916	875	797	244	1.0979
L7	ERR1971869	1987	887	831	269	1.0674
L7	ERR3323719	1951	857	829	265	1.0338
L7	ERR1200612	1876	859	778	239	1.1041
L7	ERR1971863	1986	886	825	275	1.0739
L7	ERR756348	1928	868	801	259	1.0836
L7	ERR1200606	1900	863	797	240	1.0828
L7	ERR1971876	2031	905	851	275	1.0635
L8	SRR1173284	1917	997	713	207	1.3983
L8	ERR12115321	2069	1058	785	226	1.3478
L8	SRR10828835	2032	1051	765	216	1.3739
L8	SRR1173725	1759	923	650	186	1.4200
L9	ERR181314	1925	914	737	274	1.2402
L9	ERR4192405	1999	941	775	283	1.2142
L9	ERR11067436	2039	967	783	289	1.2350
L9	ERR5336156	2040	968	786	286	1.2316
L9	SRR24827312	1942	900	757	285	1.1889
L9	ERR4162024	2020	956	784	280	1.2194
L9	ERR11068658	2159	1063	811	285	1.3107
L9	ERR11067662	2159	1059	811	289	1.3058
L9	SRR29440608	2021	961	780	280	1.2321
L9	SRR27450487	2036	970	783	283	1.2388
L9	SRR33868735	1968	936	752	280	1.2447
L9	ERR11050611	2000	949	763	288	1.2438
L9	ERR5336149	2150	1044	811	295	1.2873
L9	ERR11049065	2062	987	782	293	1.2621
L9	ERR11050686	2151	1059	807	285	1.3123
L9	SRR33568782	2028	960	780	288	1.2308
L9	SRR29441077	2032	975	770	287	1.2662
L9	ERR12268344	2043	976	777	290	1.2561
L9	ERR5336155	2082	999	799	284	1.2503
L9	ERR11049704	2161	1060	813	288	1.3038
L9	ERR2514391	1972	932	762	278	1.2231
L9	ERR11068147	2161	1060	814	287	1.3022
L9	SRR28868537	2036	967	783	286	1.2350
L9	ERR4192384	2001	956	764	281	1.2513
L9	SRR7069552	1981	937	760	284	1.2329
L9	ERR11068827	2067	972	802	293	1.2120
L9	SRR30770920	2089	993	798	298	1.2444
L9	ERR11068831	2172	1066	816	290	1.3064
L9	SRR33763079	1988	930	770	288	1.2078
L9	ERR11050883	2135	1053	799	283	1.3179
L9	ERR11044073	2048	969	792	287	1.2235
L9	ERR11067828	2159	1060	811	288	1.3070
L9	ERR12115323	2030	958	789	283	1.2142
L9	ERR11049892	2042	964	790	288	1.2203
L9	SRR33891088	1966	935	757	274	1.2351
L9	SRR33600830	1958	921	756	281	1.2183
L10	ERR2516384	1968	975	761	232	1.2812
L10	ERR2707158	1974	972	760	242	1.2789
Bovis.1.1	SRR8065075	2156	917	952	287	0.9632
Bovis.1.1	SRR8065076	2155	926	947	282	0.9778
Bovis.1.1	SRR8065072	2163	931	947	285	0.9831
Bovis.1.1	ERR2815611	2220	946	976	298	0.9693
Bovis.1.1	SRR8065077	2175	929	957	289	0.9707
Bovis.1.1	SRR8065083	2166	933	951	282	0.9811
Orygis_La3	SRR23445158	2379	998	1010	371	0.9881
Orygis_La3	SRR16057940	2374	985	1029	360	0.9572
Orygis_La3	SRR20622097	2443	1028	1037	378	0.9913
Orygis_La3	SRR24372791	2413	1020	1022	371	0.9980
Orygis_La3	ERR4799118	2470	1027	1064	379	0.9652
Orygis_La3	SRR25035965	2493	1044	1061	388	0.9840
Orygis_La3	SRR23445174	2364	992	1009	363	0.9832
Orygis_La3	SRR23445126	2298	965	971	362	0.9938
Orygis_La3	SRR24372789	2393	1011	1011	371	1.0000
Orygis_La3	SRR23445180	2426	1012	1040	374	0.9731
Orygis_La3	SRR10321143	2342	993	993	356	1.0000
Orygis_La3	SRR29322297	2512	1043	1080	389	0.9657
Orygis_La3	ERR4817427	2235	936	954	345	0.9811
Orygis_La3	SRR17089003	2462	1029	1051	382	0.9791
Orygis_La3	SRR23445134	2399	996	1033	370	0.9642
Orygis_La3	ERR234682	2416	1007	1036	373	0.9720
Orygis_La3	ERR9125109	2394	1002	1026	366	0.9766
Orygis_La3	SRR28623800	2409	996	1042	371	0.9559
Orygis_La3	ERR6375135	2391	996	1025	370	0.9717
Orygis_La3	ERR234675	2456	1014	1056	386	0.9602
Orygis_La3	SRR25035967	2480	1038	1060	382	0.9792
Orygis_La3	SRR16643349	2439	1018	1045	376	0.9742
Orygis_La3	SRR28623806	2392	990	1030	372	0.9612
Orygis_La3	SRR27450478	2425	1018	1035	372	0.9836
Orygis_La3	SRR29052772	2395	1001	1025	369	0.9766
Orygis_La3	SRR23445136	2416	1012	1031	373	0.9816
Orygis_La3	SRR28623801	2359	978	1016	365	0.9626
Orygis_La3	SRR28623786	2386	987	1031	368	0.9573
Orygis_La3	SRR27450482	2455	1030	1043	382	0.9875
Orygis_La3	SRR16089402	2378	993	1017	368	0.9764
Orygis_La3	SRR23445125	2434	1031	1026	377	1.0049
Orygis_La3	SRR29440847	2415	1005	1031	379	0.9748
Orygis_La3	SRR23445148	2449	1020	1043	386	0.9779
Orygis_La3	SRR28623803	2392	990	1033	369	0.9584
Orygis_La3	ERR2512859	2392	988	1036	368	0.9537
Orygis_La3	SRR23445128	2450	1012	1060	378	0.9547
Orygis_La3	SRR23445155	2429	1022	1037	370	0.9855
Orygis_La3	SRR23445132	2474	1020	1071	383	0.9524
Orygis_La3	SRR6046131	2379	1017	993	369	1.0242
Orygis_La3	ERR6375142	2396	995	1010	391	0.9851
Caprae_La2	SRR29410385	2268	1029	939	300	1.0958
Caprae_La2	SRR13888760	2197	986	925	286	1.0659
Caprae_La2	ERR10430710	2208	990	927	291	1.0680
Caprae_La2	ERR10430687	2193	989	916	288	1.0797
Caprae_La2	ERR1462628	2316	1066	948	302	1.1245
Caprae_La2	SRR25167948	2224	1001	930	293	1.0763
Caprae_La2	SRR17111236	2232	1025	909	298	1.1276
Caprae_La2	SRR31008608	2235	1012	934	289	1.0835
Caprae_La2	SRR13888763	2214	996	925	293	1.0768
Caprae_La2	SRR29093505	2209	1001	925	283	1.0822
Caprae_La2	ERR4829557	2233	1012	932	289	1.0858
Caprae_La2	SRR29410374	2287	1035	946	306	1.0941
Caprae_La2	SRR23911109	2310	1026	972	312	1.0556
Caprae_La2	ERR10430715	2201	984	925	292	1.0638
Caprae_La2	SRR13888768	2219	999	929	291	1.0753
Caprae_La2	SRR13888779	2234	1005	935	294	1.0749
Caprae_La2	SRR29410375	2286	1038	949	299	1.0938
Caprae_La2	SRR23911103	2312	1029	973	310	1.0576
Caprae_La2	ERR1462621	2286	1034	947	305	1.0919
Caprae_La2	SRR3135068	2222	1016	911	295	1.1153
Caprae_La2	SRR13888775	2223	998	933	292	1.0697
Caprae_La2	SRR13888769	2164	973	912	279	1.0669
Caprae_La2	SRR35607801	2273	1017	961	295	1.0583
Caprae_La2	ERR1462630	2319	1069	948	302	1.1276
Caprae_La2	SRR35607800	2274	1016	961	297	1.0572
Caprae_La2	ERR1462607	2312	1066	947	299	1.1257
Caprae_La2	SRR23911110	2313	1031	969	313	1.0640
Caprae_La2	SRR17111245	2218	1018	902	298	1.1286
Caprae_La2	SRR17111239	2228	1022	907	299	1.1268
Caprae_La2	SRR13888788	2217	994	930	293	1.0688
Caprae_La2	SRR25167924	2225	1003	928	294	1.0808
Caprae_La2	SRR13888751	2189	984	925	280	1.0638
Caprae_La2	ERR2517345	2289	1028	966	295	1.0642
Caprae_La2	ERR552526	2157	976	895	286	1.0905
Caprae_La2	ERR10430689	2235	1006	937	292	1.0736
Caprae_La2	SRR23911108	2300	1028	964	308	1.0664
Caprae_La2	ERR1462608	2309	1063	946	300	1.1237
Caprae_La2	SRR13888792	2192	980	929	283	1.0549
Caprae_La2	ERR11050505	2243	1006	946	291	1.0634
Caprae_La2	SRR29410373	2281	1033	943	305	1.0954
Microti	ERR027298	1780	807	713	260	1.1318
Microti	ERR2659167	1756	795	690	271	1.1522
Microti	SRR25473322	1939	868	777	294	1.1171
Microti	ERR4818896	1928	846	795	287	1.0642
Microti	ERR4817596	1910	851	766	293	1.1110
Microti	ERR2659163	1743	757	728	258	1.0398
Microti	ERR027294	1886	845	748	293	1.1297
Microti	ERR2693243	1889	800	778	311	1.0283
Microti	ERR4627396	1921	834	801	286	1.0412
Microti	ERR553377	1711	750	695	266	1.0791
Microti	ERR4816200	1836	818	739	279	1.1069
Microti	ERR4819660	1881	836	759	286	1.1014
Microti	SRR25473320	1896	852	757	287	1.1255
Microti	ERR5102812	2011	879	824	308	1.0667
Microti	ERR027297	1851	838	747	266	1.1218
Microti	ERR4821993	1803	799	733	271	1.0900
Microti	ERR2200122	1907	839	782	286	1.0729
Microti	ERR553376	1853	814	761	278	1.0696
Microti	ERR2659166	1736	781	684	271	1.1418
Microti	ERR4816690	1849	814	759	276	1.0725
Microti	ERR3283039	1957	857	803	297	1.0672
Microti	SRR3647357	1982	867	812	303	1.0677
Microti	ERR2659170	1845	823	736	286	1.1182
Microti	ERR4618952	1953	850	810	293	1.0494
Microti	ERR4815315	1938	854	785	299	1.0879
Microti	ERR4816083	1867	813	772	282	1.0531
Microti	ERR2659168	1855	828	741	286	1.1174
Microti	ERR027295	1839	832	737	270	1.1289
Microti	ERR4627394	1737	780	698	259	1.1175
Microti	SRR25473321	1892	847	758	287	1.1174
Microti	SRR5007159	1927	848	791	288	1.0721
Microti	ERR551111	1822	800	748	274	1.0695
