clade	sra	loss	gain	dgc_ppm
L4.3	ERR4813881	515	265	-63.89061109580576
L4.3	ERR4811989	514	253	-66.70179798402121
L4.3	SRR14165068	524	262	-66.95736042840444
L4.3	ERR10561903	524	255	-68.746297539087
L4.3	ERR5530524	524	241	-72.32417176045212
L4.3	ERR1193802	530	256	-70.02410976100312
L4.3	ERR2184509	520	237	-72.32417176045212
L4.3	SRR28393913	541	266	-70.27967220538633
L4.3	SRR19303906	521	259	-66.95736042840444
L4.3	ERR3287440	529	257	-69.51298487223667
L4.3	ERR9285779	517	254	-67.21292287278766
L4.3	SRR4034230	511	246	-67.7240477615541
L4.3	SRR26387460	536	259	-70.79079709415278
L4.3	SRR4033500	523	247	-70.53523464976956
L4.3	SRR14782541	531	259	-69.51298487223667
L4.3	ERR8773895	513	255	-65.93511065087155
L4.3	SRR7276711	526	268	-65.93511065087155
L4.3	ERR9907719	518	264	-64.91286087333866
L4.3	SRR22461593	532	256	-70.53523464976956
L4.3	ERR10748201	512	248	-67.46848531717089
L4.3	ERR4813708	522	257	-67.7240477615541
L4.3	ERR6866100	528	254	-70.02410976100312
L4.3	SRR14164400	530	243	-73.34642153798501
L4.3	SRR6458433	541	257	-72.57973420483535
L4.3	SRR21732281	527	260	-68.23517265032055
L4.3	ERR8774056	517	256	-66.70179798402121
L4.3	ERR5530522	554	262	-74.62423375990113
L4.3	ERR4195500	521	248	-69.76854731661989
L4.3	ERR8975694	523	252	-69.25742242785344
L4.3	SRR4034169	514	246	-68.49073509470378
L4.3	SRR26387464	537	257	-71.55748442730246
L4.3	ERR10796617	520	261	-66.19067309525477
L4.3	ERR5866269	532	254	-71.04635953853601
L4.3	ERR4195755	521	244	-70.79079709415278
L4.3	SRR4034155	520	265	-65.16842331772187
L4.3	ERR4820187	539	258	-71.81304687168567
L4.3	SRR4033434	520	242	-71.04635953853601
L6.1	ERR4162016	768	227	-138.25928241132365
L6.1	ERR4828921	747	223	-133.91472085680888
L6.1	ERR9787038	734	245	-124.97003530339607
L6.1	ERR14869585	717	257	-117.5587244162826
L6.1	SRR11444139	709	259	-115.00309997245037
L6.1	ERR9787019	716	258	-117.04759952751616
L6.1	ERR228182	713	241	-120.62547374888128
L6.1	ERR14869769	738	258	-122.66997330394706
L6.1	ERR4192375	745	265	-122.66997330394706
L6.1	ERR1023281	759	230	-135.19253307872498
L6.1	SRR33605085	756	233	-133.65915841242565
L6.1	ERR9787311	727	252	-121.39216108203094
L6.1	ERR3803798	736	274	-118.06984930504905
L6.1	ERR751341	748	225	-133.65915841242565
L6.1	ERR14869713	716	242	-121.13659863764772
L6.1	ERR1334038	725	230	-126.50340996969541
L6.1	ERR3803911	721	267	-116.02534974998326
L6.1	ERR3804148	722	246	-121.64772352641417
L6.1	ERR11049858	736	258	-122.15884841518061
L6.1	ERR3804004	716	240	-121.64772352641417
L6.1	SRR30443636	728	252	-121.64772352641417
L6.1	SRR29126325	736	239	-127.01453485846186
L6.1	ERR10680043	774	227	-139.792657077623
L6.1	ERR9787340	727	243	-123.69222308147995
L6.1	ERR1023227	728	243	-123.94778552586318
L6.1	SRR33793070	732	270	-118.06984930504905
L6.1	ERR9787298	712	250	-118.06984930504905
L6.1	ERR3803914	732	251	-122.92553574833028
L6.1	ERR9787169	716	241	-121.39216108203094
L6.1	ERR4818574	716	256	-117.5587244162826
L6.1	ERR1023280	764	229	-136.72590774502433
L6.1	SRR7069811	720	257	-118.32541174943226
L6.1	ERR3804123	821	249	-146.1817181872036
L6.1	ERR3804113	721	247	-121.13659863764772
L6.1	SRR33643123	742	226	-131.8702213017431
L6.1	ERR1082114	722	263	-117.30316197189937
L6.1	ERR14869610	721	239	-123.1810981927135
L6.1	ERR3804125	729	231	-127.27009730284507
L6.1	ERR4192401	721	259	-118.06984930504905
L6.1	ERR14869426	757	227	-135.4480955231082
L7	ERR1200619	641	323	-81.26885731386493
L7	ERR1971877	647	315	-84.84673153523005
L7	ERR1971856	651	306	-88.16904331221195
L7	ERR1971864	642	312	-84.3356066464636
L7	ERR7737753	691	333	-91.49135508919385
L7	ERR4814968	629	316	-79.9910450919488
L7	SRR33712718	640	309	-84.59116909084683
L7	ERR1200604	638	323	-80.50216998071525
L7	ERR1200608	644	324	-81.77998220263137
L7	ERR1971849	640	302	-86.38010620152939
L7	SRR33750182	656	323	-85.10229397961328
L7	SRR18911237	640	308	-84.84673153523005
L7	ERR2704710	615	324	-74.3686713155179
L7	ERR1971855	639	312	-83.56891931331394
L7	ERR1971874	640	302	-86.38010620152939
L7	ERR11044943	648	323	-83.0577944245475
L7	ERR11049146	643	314	-84.08004420208039
L7	ERR1971872	631	312	-81.52441975824814
L7	ERR234681	647	314	-85.10229397961328
L7	ERR1200625	653	323	-84.3356066464636
L7	ERR2704711	616	324	-74.62423375990113
L7	ERR1971857	641	318	-82.54666953578105
L7	ERR1971862	641	320	-82.03554464701459
L7	ERR159958	651	324	-83.56891931331394
L7	ERR1971865	648	309	-86.63566864591262
L7	ERR1200613	639	324	-80.50216998071525
L7	ERR233346	656	322	-85.3578564239965
L7	ERR1200617	621	320	-76.92429575935013
L7	ERR11068585	621	327	-75.13535864866758
L7	ERR1200640	653	323	-84.3356066464636
L7	ERR1200631	631	314	-81.0132948694817
L7	ERR159959	646	316	-84.3356066464636
L7	ERR1200602	664	328	-85.86898131276294
L7	ERR1971869	642	306	-85.86898131276294
L7	ERR3323719	616	323	-74.87979620428435
L7	ERR1200612	654	312	-87.40235597906228
L7	ERR1971863	640	314	-83.31335686893071
L7	ERR756348	647	315	-84.84673153523005
L7	ERR1200606	658	330	-83.82448175769716
L7	ERR1971876	658	321	-86.12454375714617
L9	ERR181314	662	221	-112.70303797300136
L9	ERR4192405	661	227	-110.9141008623188
L9	ERR11067436	682	224	-117.04759952751616
L9	ERR5336156	680	223	-116.79203708313293
L9	SRR24827312	651	224	-109.12516375163624
L9	ERR4162024	666	220	-113.98085019491748
L9	ERR11068658	753	244	-130.08128419106052
L9	ERR11067662	752	244	-129.82572174667732
L9	SRR29440608	678	227	-115.25866241683359
L9	SRR27450487	688	229	-117.30316197189937
L9	SRR33868735	675	223	-115.51422486121682
L9	ERR11050611	675	225	-115.00309997245037
L9	ERR5336149	741	238	-128.5479095247612
L9	ERR11049065	704	224	-122.66997330394706
L9	ERR11050686	752	244	-129.82572174667732
L9	SRR33568782	666	219	-114.2364126393007
L9	SRR29441077	707	226	-122.92553574833028
L9	ERR12268344	691	218	-120.88103619326449
L9	ERR5336155	700	227	-120.88103619326449
L9	ERR11049704	753	244	-130.08128419106052
L9	ERR2514391	676	223	-115.76978730560003
L9	ERR11068147	753	244	-130.08128419106052
L9	SRR28868537	685	232	-115.76978730560003
L9	ERR4192384	676	225	-115.25866241683359
L9	SRR7069552	682	228	-116.02534974998326
L9	ERR11068827	675	224	-115.25866241683359
L9	SRR30770920	699	228	-120.36991130449805
L9	ERR11068831	752	244	-129.82572174667732
L9	SRR33763079	653	224	-109.63628864040268
L9	ERR11050883	753	244	-130.08128419106052
L9	ERR11044073	676	230	-113.98085019491748
L9	ERR11067828	752	244	-129.82572174667732
L9	ERR12115323	667	220	-114.2364126393007
L9	ERR11049892	680	225	-116.28091219436648
L9	SRR33891088	676	232	-113.46972530615103
L9	SRR33600830	663	224	-112.19191308423491
Orygis_La3	SRR23445158	749	455	-75.13535864866758
Orygis_La3	SRR16057940	741	471	-69.00185998347023
Orygis_La3	SRR20622097	744	461	-72.32417176045212
Orygis_La3	SRR24372791	761	472	-73.85754642675145
Orygis_La3	ERR4799118	747	486	-66.70179798402121
Orygis_La3	SRR25035965	756	471	-72.83529664921856
Orygis_La3	SRR23445174	742	463	-71.30192198291923
Orygis_La3	SRR23445126	734	453	-71.81304687168567
Orygis_La3	SRR24372789	761	471	-74.11310887113468
Orygis_La3	SRR23445180	740	470	-69.00185998347023
Orygis_La3	SRR10321143	754	462	-74.62423375990113
Orygis_La3	SRR29322297	753	486	-68.23517265032055
Orygis_La3	ERR4817427	726	467	-66.19067309525477
Orygis_La3	SRR17089003	743	463	-71.55748442730246
Orygis_La3	SRR23445134	740	473	-68.23517265032055
Orygis_La3	ERR234682	732	463	-68.746297539087
Orygis_La3	ERR9125109	746	473	-69.76854731661989
Orygis_La3	SRR28623800	732	476	-65.4239857621051
Orygis_La3	ERR6375135	734	473	-66.70179798402121
Orygis_La3	ERR234675	732	466	-67.97961020593733
Orygis_La3	SRR25035967	753	471	-72.0686093160689
Orygis_La3	SRR16643349	741	462	-71.30192198291923
Orygis_La3	SRR28623806	731	477	-64.91286087333866
Orygis_La3	SRR27450478	743	467	-70.53523464976956
Orygis_La3	SRR29052772	738	469	-68.746297539087
Orygis_La3	SRR23445136	746	466	-71.55748442730246
Orygis_La3	SRR28623801	728	477	-64.14617354018898
Orygis_La3	SRR28623786	731	478	-64.65729842895543
Orygis_La3	SRR27450482	757	469	-73.60198398236824
Orygis_La3	SRR16089402	743	468	-70.27967220538633
Orygis_La3	SRR23445125	755	457	-76.15760842620047
Orygis_La3	SRR29440847	732	457	-70.27967220538633
Orygis_La3	SRR23445148	740	467	-69.76854731661989
Orygis_La3	SRR28623803	730	477	-64.65729842895543
Orygis_La3	ERR2512859	728	481	-63.12392376265609
Orygis_La3	SRR23445128	736	471	-67.7240477615541
Orygis_La3	SRR23445155	756	469	-73.34642153798501
Orygis_La3	SRR23445132	740	473	-68.23517265032055
Orygis_La3	SRR6046131	763	447	-80.75773242509848
Orygis_La3	ERR6375142	735	450	-72.83529664921856
Caprae_La2	SRR29410385	762	381	-97.36929131000798
Caprae_La2	SRR13888760	723	387	-85.86898131276294
Caprae_La2	ERR10430710	739	402	-86.12454375714617
Caprae_La2	ERR10430687	735	395	-86.89123109029583
Caprae_La2	ERR1462628	779	375	-103.24722753082212
Caprae_La2	SRR25167948	734	396	-86.38010620152939
Caprae_La2	SRR17111236	773	380	-100.43604064260666
Caprae_La2	SRR31008608	730	382	-88.93573064536162
Caprae_La2	SRR13888763	734	396	-86.38010620152939
Caprae_La2	SRR29093505	730	384	-88.42460575659517
Caprae_La2	ERR4829557	731	382	-89.19129308974485
Caprae_La2	SRR29410374	762	383	-96.85816642124153
Caprae_La2	SRR23911109	731	396	-85.61341886837972
Caprae_La2	ERR10430715	724	392	-84.84673153523005
Caprae_La2	SRR13888768	742	397	-88.16904331221195
Caprae_La2	SRR13888779	735	396	-86.63566864591262
Caprae_La2	SRR29410375	766	386	-97.11372886562475
Caprae_La2	SRR23911103	734	397	-86.12454375714617
Caprae_La2	ERR1462621	762	381	-97.36929131000798
Caprae_La2	SRR3135068	765	385	-97.11372886562475
Caprae_La2	SRR13888775	737	400	-86.12454375714617
Caprae_La2	SRR13888769	724	389	-85.61341886837972
Caprae_La2	SRR35607801	733	392	-87.14679353467906
Caprae_La2	ERR1462630	783	375	-104.26947730835501
Caprae_La2	SRR35607800	731	387	-87.91348086782872
Caprae_La2	ERR1462607	780	377	-102.99166508643889
Caprae_La2	SRR23911110	732	395	-86.12454375714617
Caprae_La2	SRR17111245	770	376	-100.69160308698987
Caprae_La2	SRR17111239	770	379	-99.92491575384021
Caprae_La2	SRR13888788	734	398	-85.86898131276294
Caprae_La2	SRR25167924	738	397	-87.14679353467906
Caprae_La2	SRR13888751	722	387	-85.61341886837972
Caprae_La2	ERR2517345	743	396	-88.6801682009784
Caprae_La2	ERR552526	730	376	-90.46910531166095
Caprae_La2	ERR10430689	737	399	-86.38010620152939
Caprae_La2	SRR23911108	734	394	-86.89123109029583
Caprae_La2	ERR1462608	777	375	-102.73610264205566
Caprae_La2	SRR13888792	724	391	-85.10229397961328
Caprae_La2	ERR11050505	724	385	-86.63566864591262
Caprae_La2	SRR29410373	764	381	-97.88041619877443
Microti	ERR027298	608	236	-95.06922931055897
Microti	ERR2659167	600	211	-99.41379086507376
Microti	SRR25473322	606	230	-96.09147908809186
Microti	ERR4818896	605	261	-87.91348086782872
Microti	ERR4817596	603	229	-95.58035419932541
Microti	ERR2659163	516	193	-82.54666953578105
Microti	ERR027294	610	239	-94.81366686617575
Microti	ERR2693243	576	249	-83.56891931331394
Microti	ERR4627396	598	282	-80.75773242509848
Microti	ERR553377	593	239	-90.46910531166095
Microti	ERR4816200	606	233	-95.3247917549422
Microti	ERR4819660	590	231	-91.74691753357708
Microti	SRR25473320	609	228	-97.36929131000798
Microti	ERR5102812	612	251	-92.25804242234352
Microti	ERR027297	621	250	-94.81366686617575
Microti	ERR4821993	605	246	-91.74691753357708
Microti	ERR2200122	585	245	-86.89123109029583
Microti	ERR553376	590	243	-88.6801682009784
Microti	ERR2659166	615	224	-99.92491575384021
Microti	ERR4816690	601	259	-87.40235597906228
Microti	ERR3283039	597	233	-93.02472975549318
Microti	SRR3647357	602	247	-90.72466775604418
Microti	ERR2659170	587	215	-95.06922931055897
Microti	ERR4618952	585	250	-85.61341886837972
Microti	ERR4815315	601	234	-93.79141708864286
Microti	ERR4816083	583	240	-87.65791842344551
Microti	ERR2659168	587	217	-94.55810442179252
Microti	ERR027295	624	249	-95.83591664370864
Microti	ERR4627394	601	231	-94.55810442179252
Microti	SRR25473321	608	229	-96.85816642124153
Microti	SRR5007159	606	254	-89.95798042289451
Microti	ERR551111	582	245	-86.12454375714617
