locus	n_evenements	n_porteurs_tot	n_clades_max	n_non_sens	n_decalages	nom	categorie	longueur	opp_stop	n_sites_stop	p_site_gene	attendu	p_binom	q_bh	Q2	Q3
Rv3190c	39.0	12572.0	8.0	13.0	26.0		temoin_neutre	1266	0.3248404366602007	113	0.06591685215289833	7.448604293277511	0.03544495941435687	0.18391252526317245	True	False
Rv1521	50.0	1062.0	37.0	15.0	35.0	fadD25	temoin_neutre	1752	0.4038441768996426	160	0.05787602023929209	9.260163238286735	0.0453417452080049	0.23090703578150645	True	False
Rv1537	31.0	529.0	8.0	11.0	20.0	dinX	3R	1392	0.2715756022041104	101	0.06165583657756006	6.227239494333566	0.04707944519728708	0.23538990490318284	True	False
Rv2464c	30.0	322.0	4.0	8.0	22.0		3R	807	0.17604462645505053	69	0.05850304889233155	4.036710373570877	0.047933944271193595	0.23538990490318284	True	False
Rv0187	29.0	2203.0	9.0	7.0	22.0		temoin_neutre	663	0.14899741642245823	48	0.07117743246641209	3.4165167583877802	0.0521680104027071	0.24734832518524916	True	False
Rv3750c	7.0	61.0	2.0	5.0	2.0		3R	393	0.08908232560327785	43	0.047503751470836575	2.0426613132459726	0.05209992457841297	0.24734832518524916	True	False
Rv3062	37.0	1749.0	5.0	12.0	25.0	ligB	3R	1524	0.3129507716165118	103	0.06966964849566276	7.175973795053264	0.05490997155427427	0.2516707029570904	True	False
Rv3898c	22.0	865.0	16.0	4.0	18.0		temoin_neutre	333	0.06390945473351062	22	0.06661119866101155	1.465446370542254	0.05490925311175267	0.2516707029570904	True	False
Rv1576c	41.0	3516.0	16.0	13.0	28.0		temoin_neutre	1422	0.35124731876953896	121	0.06656293523467521	8.0541151633957	0.059785269020123606	0.2651765964602257	True	False
Rv2012	19.0	81.0	3.0	7.0	12.0		temoin_neutre	495	0.15326575777238552	47	0.07477425526423355	3.5143899974189767	0.0588989607012666	0.2651765964602257	True	False
Rv3450c	36.0	519.0	25.0	11.0	25.0	eccB4	temoin_neutre	1413	0.28809606173279095	103	0.06413644948127459	6.6060542965712825	0.06632541761653382	0.2895157118182032	True	False
Rv0149	39.0	9535.0	27.0	8.0	31.0		temoin_neutre	969	0.18993840117366267	82	0.0531133559432013	4.355295187342507	0.06968669850071069	0.29943503262024124	True	False
Rv3017c	14.0	169.0	4.0	6.0	8.0	esxQ	temoin_neutre	363	0.13062433141754654	39	0.076800543060991	2.995221179378649	0.07532498734648914	0.31868263877360786	True	False
Rv1160	12.0	699.0	3.0	5.0	7.0	mutT2	3R	426	0.10194913916251601	33	0.070839329281198	2.3376978662795342	0.08078742792540178	0.3366142830225074	True	False
Rv3363c	12.0	91.0	3.0	4.0	8.0		temoin_neutre	369	0.07330408909673332	31	0.05422147467076245	1.680865714793636	0.08484535196739519	0.3482458476273683	True	False
Rv0427c	23.0	87.0	5.0	9.0	14.0	xthA	3R	876	0.24296281146381016	76	0.07330456645368416	5.571147050479996	0.10361110738062927	0.41901550778930957	True	False
Rv3595c	45.0	8701.0	318.0	7.0	38.0	PE_PGRS59	temoin_neutre	1320	0.17964766106101052	53	0.07772317173910119	4.119328102172363	0.11494885320945931	0.4581294874290045	True	False
Rv1976c	13.0	116.0	3.0	5.0	8.0		temoin_neutre	408	0.11406728735886616	35	0.07473049978271008	2.615567492394853	0.11694725476349113	0.4594356437137152	True	False
Rv2652c	21.0	380.0	23.0	6.0	15.0		temoin_neutre	627	0.14802304947123723	52	0.06527258624924079	3.394174484960521	0.12177868580513689	0.4716780084001781	True	False
Rv0180c	37.0	7967.0	18.0	10.0	27.0		temoin_neutre	1359	0.28862062156349366	109	0.06071635297809399	6.618082474612245	0.12622308029659304	0.47672610454136205	True	False
Rv0749	15.0	7075.0	3.0	4.0	11.0	vapC31	temoin_neutre	429	0.0852074635306466	24	0.08140877374532407	1.9538105698877777	0.12654911138734337	0.47672610454136205	True	False
Rv3618	36.0	360.0	10.0	11.0	25.0		temoin_neutre	1188	0.3279822702050411	126	0.059687671928380204	7.5206466629759054	0.13288301662979904	0.48836127024171694	True	False
Rv1934c	38.0	380.0	13.0	10.0	28.0	fadE17	temoin_neutre	1230	0.2936042543811988	105	0.06411768929336105	6.73235737580291	0.13633843281208985	0.48836127024171694	True	False
Rv1625c	42.0	2550.0	23.0	9.0	33.0	cya	temoin_neutre	1332	0.25623112993746444	95	0.06184621186704106	5.875390127368901	0.1333787735425058	0.48836127024171694	True	False
Rv3297	17.0	106.0	5.0	8.0	9.0	nei	3R	768	0.22317887012879306	61	0.08389345047556154	5.117500479009254	0.13674115566768075	0.48836127024171694	True	False
Rv2712c	32.0	453.0	4.0	9.0	23.0		temoin_neutre	1059	0.264164116064827	93	0.06513219159907987	6.057293818714428	0.15174469244161867	0.5295591707200854	True	False
Rv0064A	16.0	153.0	4.0	3.0	13.0	vapB1	temoin_neutre	240	0.0592730752107172	24	0.05663058339112888	1.3591340013870932	0.1521279072250427	0.5295591707200854	True	False
Rv1467c	46.0	516.0	6.0	12.0	34.0	fadE15	temoin_neutre	1830	0.37626816639241556	161	0.05358909445295995	8.627844206926552	0.15660476954576263	0.536372325600169	True	False
Rv2544	22.0	2616.0	49.0	7.0	15.0	lppB	temoin_neutre	663	0.19463343082531603	73	0.0611363343330705	4.462952406314146	0.15798603044950432	0.536372325600169	True	False
Rv3585	20.0	93.0	3.0	8.0	12.0	radA	3R	1443	0.2359184686140588	96	0.056350208179936856	5.409619985273938	0.17385359620196017	0.5830455970187689	True	False
Rv3589	28.0	698.0	26.0	9.0	19.0	mutY	3R	915	0.2746561809085571	89	0.07076266615814746	6.2978772880751235	0.1777933595323105	0.5890743839925952	True	False
Rv2254c	12.0	224.0	4.0	3.0	9.0		temoin_neutre	456	0.0703778056457849	29	0.0556471006009637	1.6137659174279473	0.21720883981474806	0.7111003684411396	True	False
Rv0218	29.0	270.0	4.0	10.0	19.0		temoin_neutre	1329	0.3299714713113921	106	0.07137980306080743	7.566259124445588	0.224916939435435	0.7273719623409702	True	False
Rv0566c	7.0	52.0	3.0	4.0	3.0		temoin_neutre	492	0.10654394847106428	53	0.04609541563675673	2.4430570287481066	0.22746905004117615	0.7273719623409702	True	False
Rv3711c	34.0	469.0	12.0	7.0	27.0	dnaQ	3R	990	0.22309439657344016	73	0.07007621228744433	5.1155634969834365	0.24994531326867347	0.7568313158355684	True	False
Rv0872c	71.0	10954.0	60.0	6.0	65.0	PE_PGRS15	temoin_neutre	1821	0.1850839065069446	77	0.05511664193706626	4.243981429154102	0.25044236269467895	0.7568313158355684	True	False
Rv1218c	23.0	158.0	4.0	6.0	17.0		temoin_neutre	936	0.184394909554305	79	0.05352130001627317	4.22818270128558	0.24789346531401552	0.7568313158355684	True	False
Rv3697c	15.0	236.0	6.0	4.0	11.0	vapC48	temoin_neutre	438	0.1097138800357754	37	0.0679930726263131	2.5157436871735848	0.2419693935930345	0.7568313158355684	True	False
Rv0944	10.0	34.0	3.0	3.0	7.0		3R	477	0.07530215207351099	38	0.04543898366602769	1.726681379309052	0.2480755294652955	0.7568313158355684	True	False
Rv2914c	37.0	198.0	6.0	11.0	26.0	pknI	temoin_neutre	1758	0.38438141371933665	130	0.06779908688335928	8.813881294836706	0.26722863916307765	0.7987812583678952	True	False
Rv0182c	38.0	162.0	4.0	8.0	30.0	sigG	temoin_neutre	1113	0.2686297823257916	105	0.058663730722872204	6.159691725901581	0.27460069394957365	0.8033530940014123	True	False
Rv0882	10.0	799.0	20.0	3.0	7.0		temoin_neutre	285	0.07950971065989956	18	0.10128671484026162	1.8231608671247093	0.27270286235457425	0.8033530940014123	True	False
Rv1987	12.0	43.0	5.0	4.0	8.0		temoin_neutre	429	0.11816116514706035	42	0.06451048273643381	2.70944027493022	0.2857250337288745	0.8270987818467419	True	False
Rv1806	11.0	59.0	3.0	2.0	9.0	PE20	temoin_neutre	300	0.04795960000687889	21	0.052367407590124	1.099715559392604	0.30178128545689004	0.8644776406317162	True	False
Rv2029c	19.0	665.0	3.0	6.0	13.0	pfkB	temoin_neutre	1020	0.20032324688772046	81	0.056708890342497785	4.593420117742321	0.3109758821135347	0.881632655476516	True	False
Rv0959	39.0	207.0	3.0	13.0	26.0		temoin_neutre	2019	0.482640080854956	165	0.06707246356928333	11.06695648893175	0.31497963007981594	0.8838714109382589	True	False
Rv3731	18.0	96.0	10.0	8.0	10.0	ligC	3R	1077	0.2850477572791211	97	0.06738305724432633	6.536156552699654	0.3300591944500688	0.9168310956946356	True	False
Rv1733c	12.0	85.0	3.0	4.0	8.0		temoin_neutre	633	0.12975613970784924	39	0.07629008996192278	2.9753135085149887	0.3468950486779585	0.9419228040421228	True	False
Rv2335	15.0	235.0	4.0	4.0	11.0	cysE	temoin_neutre	690	0.13029611325447585	39	0.07660756727391706	2.9876951236827654	0.34978013686707676	0.9419228040421228	True	False
Rv2312	9.0	95.0	7.0	2.0	7.0		temoin_neutre	270	0.05386391148443068	19	0.06500535049091567	1.2351016593273978	0.352792904786686	0.9419228040421228	True	False
Rv1119c	7.0	155.0	2.0	1.0	6.0		temoin_neutre	150	0.017990536092792407	7	0.0589319595785391	0.4125237170497737	0.3463471301852452	0.9419228040421228	True	False
Rv1169c	13.0	202.0	4.0	2.0	11.0	lipX	temoin_neutre	303	0.054797038602674375	24	0.05235409590516015	1.2564983017238436	0.36011773832284144	0.9522344042190519	True	False
Rv1087	67.0	713.0	15.0	7.0	60.0	PE_PGRS21	temoin_neutre	2304	0.25730519830030973	87	0.06781630526643076	5.900018558179476	0.3770018014862981	0.9780707114031318	True	False
Rv0456B	7.0	39.0	2.0	2.0	5.0	mazE1	temoin_neutre	174	0.056742590543316956	24	0.054212911919423755	1.30110988606617	0.3765079563317808	0.9780707114031318	True	False
Rv0560c	24.0	415.0	4.0	4.0	20.0		temoin_neutre	726	0.13765243167359884	66	0.04782387577662322	3.1563758012571324	0.3885794666895347	0.9986855452301125	True	False
Rv0630c	43.0	13642.0	410.0	13.0	30.0	recB	3R	3285	0.6411639628459038	250	0.058807661945665016	14.701915486416254	0.7141689578970212	1.0	True	False
Rv0631c	40.0	647.0	18.0	12.0	28.0	recC	3R	3294	0.7663251460010829	231	0.0760686859573551	17.571866456149028	0.9409619635904742	1.0	True	False
Rv3370c	49.0	537.0	4.0	12.0	37.0	dnaE2	3R	3240	0.6626296267617642	263	0.05777233469348006	15.194124024385255	0.8355882013956988	1.0	True	False
Rv0938	32.0	228.0	4.0	11.0	21.0	ligD	3R	2280	0.5744313627192036	216	0.060980251288545735	13.171734278325879	0.7709985271540096	1.0	True	False
Rv1722	42.0	1008.0	13.0	9.0	33.0		temoin_neutre	1485	0.347459637955322	133	0.059904236765440266	7.967263489803555	0.40269527330130683	1.0	True	False
Rv0853c	32.0	251.0	7.0	7.0	25.0	pdc	temoin_neutre	1683	0.3476672589211963	132	0.06039412308266308	7.972024246911526	0.6907715806205734	1.0	True	False
Rv0083	43.0	401.0	9.0	6.0	37.0		temoin_neutre	1923	0.2848136609614113	108	0.060470265876925826	6.530788714707989	0.6423344891548153	1.0	True	False
Rv1640c	14.0	101.0	3.0	6.0	8.0	lysX	temoin_neutre	3519	0.8745218670471564	316	0.06345829628669576	20.05282162659586	0.999952929744004	1.0	True	False
Rv2092c	32.0	272.0	5.0	6.0	26.0	helY	3R	2721	0.6382305060134542	243	0.06022490207046867	14.634651203123887	0.9970838330003226	1.0	True	False
Rv3163c	14.0	46.0	2.0	6.0	8.0		temoin_neutre	1272	0.37173418839400474	108	0.07892481397082393	8.523879908848984	0.8628204311743536	1.0	True	False
Rv0106	6.0	32.0	1.0	5.0	1.0		temoin_neutre	1197	0.3033942172253248	102	0.06820432958863208	6.956841618040472	0.8326459888661428	1.0	True	False
Rv0439c	34.0	256.0	4.0	5.0	29.0		temoin_neutre	936	0.21624496877603364	71	0.06983811044755597	4.958505841776474	0.5583557235667653	1.0	True	False
Rv0013	8.0	75.0	3.0	4.0	4.0	trpG	temoin_neutre	699	0.1526622428968967	52	0.06731829571195597	3.5005513770217105	0.4672335800300015	1.0	True	False
Rv0861c	12.0	50.0	5.0	4.0	8.0	ercc3	3R	1629	0.41057605559682403	165	0.05705773022964893	9.414525487892075	0.986224021984188	1.0	True	False
Rv1259	17.0	75.0	5.0	4.0	13.0	udgB	3R	900	0.21551812740005974	72	0.0686366574966247	4.941839339756979	0.7366121920852324	1.0	True	False
Rv1833c	23.0	141.0	3.0	4.0	19.0		temoin_neutre	861	0.18832512261695417	73	0.05915483075443503	4.318302645073757	0.633330171920746	1.0	True	False
Rv2558	21.0	338.0	8.0	4.0	17.0		temoin_neutre	711	0.14023120198357236	60	0.05359178513844374	3.2155071083066242	0.40221594102237923	1.0	True	False
Rv2976c	9.0	37.0	2.0	4.0	5.0	ung	3R	684	0.16096999905796913	60	0.06151747600552379	3.6910485603314274	0.5085658812381447	1.0	True	False
Rv3252c	28.0	1099.0	5.0	4.0	24.0	alkB	3R	1251	0.3752647028296062	136	0.06327084372811699	8.604834747023911	0.9753985540236937	1.0	True	False
Rv3365c	18.0	120.0	4.0	4.0	14.0		temoin_neutre	2631	0.5602569477240322	186	0.06906835683716096	12.84671437171194	0.9991057143181039	1.0	True	False
Rv3761c	16.0	1150.0	4.0	4.0	12.0	fadE36	temoin_neutre	1056	0.265208328636809	101	0.06021027381226018	6.081237655038278	0.8639864456424552	1.0	True	False
Rv0268c	18.0	352.0	14.0	3.0	15.0		temoin_neutre	510	0.14322719211830878	52	0.06315779389881764	3.284205282738517	0.6458637289741758	1.0	True	False
Rv0312	6.0	19.0	3.0	3.0	3.0		temoin_neutre	1863	0.34168686463780823	131	0.05980834782576493	7.834893565175206	0.986425510623752	1.0	True	False
Rv0629c	13.0	74.0	3.0	3.0	10.0	recD	3R	1728	0.3141115032496534	129	0.05583402649722084	7.202589418141489	0.9773395153383203	1.0	True	False
Rv1108c	7.0	22.0	2.0	3.0	4.0	xseA	3R	1248	0.2283668761942153	83	0.06308989960240681	5.236461666999765	0.9014309805177502	1.0	True	False
Rv1140	18.0	275.0	4.0	3.0	15.0		temoin_neutre	849	0.1818533261473462	58	0.07189489812792511	4.169904091419657	0.7965318383395114	1.0	True	False
Rv1242	8.0	19.0	2.0	3.0	5.0	vapC33	temoin_neutre	432	0.10618689407463312	34	0.07161381638412033	2.434869757060091	0.44354094114850484	1.0	True	False
Rv2027c	15.0	37431.0	3.0	3.0	12.0	dosT	temoin_neutre	1722	0.3274906474980066	119	0.0631039809622434	7.509373734506965	0.9825158364127653	1.0	True	False
Rv2499c	8.0	71.0	4.0	3.0	5.0		temoin_neutre	558	0.13853051031193409	53	0.059934154335709214	3.1765101797925883	0.6228368457904044	1.0	True	False
Rv3201c	8.0	36.0	4.0	3.0	5.0		3R	3306	0.735333072146927	285	0.05916216475328382	16.86121695468589	0.9999949366576796	1.0	True	False
Rv3202c	5.0	11.0	2.0	3.0	2.0		3R	3168	0.7318290366505411	237	0.070805355610352	16.780869279653427	0.9999949877311811	1.0	True	False
Rv3223c	14.0	40.0	3.0	3.0	11.0	sigH	temoin_neutre	651	0.17175290624552686	80	0.049228763204346444	3.9383010563477154	0.7600795226680707	1.0	True	False
Rv3394c	23.0	245.0	20.0	3.0	20.0		3R	1584	0.3740470208826253	114	0.07523608114864982	8.57691325094608	0.9929036136776133	1.0	True	False
Rv3395A	14.0	87.0	2.0	3.0	11.0		temoin_neutre	627	0.12375233513017846	46	0.06168795712582789	2.837646027788083	0.5457693563995963	1.0	True	False
Rv3616c	54.0	441.0	13.0	3.0	51.0	espA	temoin_neutre	1179	0.2816895999291879	111	0.05819057540035646	6.459153869439567	0.9598624404733913	1.0	True	False
Rv0023	2.0	44.0	7.0	2.0	0.0		temoin_neutre	771	0.15628105309457227	61	0.058746407222565356	3.5835308405764867	0.8803268537713906	1.0	False	False
Rv0310c	11.0	50.0	3.0	2.0	9.0		temoin_neutre	492	0.13627437178538396	48	0.06509951734434824	3.1247768325287155	0.8284208300490626	1.0	True	False
Rv0744c	8.0	132.0	4.0	2.0	6.0		temoin_neutre	507	0.13119481235997293	47	0.06400643256086354	3.0083023303605865	0.8118426292218686	1.0	True	False
Rv1020	8.0	20.0	2.0	2.0	6.0	mfd	3R	3705	0.7243519654015891	284	0.05848387230573454	16.60941973482861	0.999999312049176	1.0	True	False
Rv1144	19.0	535.0	3.0	2.0	17.0		temoin_neutre	753	0.09101080666361105	42	0.04968765384798561	2.0868814616153957	0.6241680148795344	1.0	True	False
Rv1210	14.0	608.0	5.0	2.0	12.0	tagA	3R	615	0.16684353907894275	60	0.06376215115879634	3.8257290695277804	0.902372576127337	1.0	True	False
Rv1321	5.0	13.0	2.0	2.0	3.0		3R	681	0.17098802508222738	72	0.054455031951014726	3.9207623004730605	0.9086654992554065	1.0	True	False
Rv1439c	8.0	174.0	2.0	2.0	6.0		temoin_neutre	426	0.11109107380286491	36	0.07075896654749222	2.54732279570972	0.7335329725173791	1.0	True	False
Rv1575	16.0	63446.0	396.0	2.0	14.0		temoin_neutre	501	0.16602754527077973	48	0.07931288122183756	3.8070182986482033	0.9027437414076487	1.0	True	False
Rv2716	10.0	44.0	3.0	2.0	8.0		temoin_neutre	687	0.19157472548309123	59	0.07445451134998529	4.392816169649132	0.9401797219037005	1.0	True	False
Rv2721c	23.0	130.0	4.0	2.0	21.0		temoin_neutre	2100	0.4619774060778009	174	0.060880232897976935	10.593160524247986	0.9997798873210211	1.0	True	False
Rv2924c	11.0	43.0	2.0	2.0	9.0	fpg	3R	870	0.15195045569282067	67	0.05200343384731395	3.4842300677700346	0.86942248524905	1.0	True	False
Rv3226c	15.0	46.0	3.0	2.0	13.0		temoin_neutre	759	0.1836324603910297	62	0.0679145114720873	4.210699711269412	0.9295308673030818	1.0	True	False
Rv3395c	9.0	112.0	13.0	2.0	7.0		3R	615	0.10224803081827537	41	0.05718418204833784	2.3445514639818517	0.6881665946445668	1.0	True	False
Rv3423c	4.0	138.0	2.0	2.0	2.0	alr	temoin_neutre	1227	0.22885676201625585	86	0.061019706611928536	5.247694768625854	0.9706736568246934	1.0	True	False
Rv3466	5.0	28.0	1.0	2.0	3.0		temoin_neutre	669	0.18160099128380125	55	0.07571123714250115	4.164118042837563	0.9275236737251451	1.0	True	False
