clade_dir	sra	groupe	n_pool	loss	gain
L2.2.1	ERR5758433	temoin	152	43	29
L2.2.1	ERR8975034	temoin	152	7	6
L2.2.1	ERR4814644	temoin	152	16	4
L2.2.1	ERR752032	temoin	152	32	16
L2.2.1	SRR6824664	temoin	152	40	25
L2.2.1	ERR10762393	temoin	152	12	3
L2.2.1	SRR21001888	temoin	152	36	17
L2.2.1	SRR25515734	temoin	152	45	28
L2.2.1	SRR21277626	temoin	152	26	15
L2.2.1	ERR4827823	temoin	152	10	11
L2.2.1	SRR20632781	temoin	152	28	24
L2.2.1	ERR5865147	temoin	152	11	4
L2.2.1	ERR6362028	temoin	152	1	3
L2.2.1	SRR22424936	temoin	152	7	2
L2.2.1	SRR6207285	temoin	152	6	1
L2.2.1	ERR403234	temoin	152	8	3
L2.2.1	ERR067648	temoin	152	26	15
L2.2.1	SRR18003032	temoin	152	38	23
L2.2.1	ERR10748351	temoin	152	1	1
L2.2.1	ERR2864261	temoin	152	36	25
L2.2.1	ERR5866430	temoin	152	44	25
L2.2.1	ERR5866534	temoin	152	4	2
L2.2.1	SRR6117334	temoin	152	12	12
L2.2.1	ERR3794413	temoin	152	2	4
L2.2.1	SRR13232454	temoin	152	9	5
L2.2.1	SRR23310858	temoin	152	7	3
L2.2.1	SRR12420726	temoin	152	9	7
L2.2.1	SRR22251377	temoin	152	51	16
L2.2.1	SRR15368795	temoin	152	71	36
L2.2.1	ERR5865158	temoin	152	8	5
L2.2.1	ERR4820840	temoin	152	70	32
L2.2.1	ERR4800539	temoin	152	3	4
L2.2.1	SRR25515565	temoin	152	32	15
L2.2.1	ERR2600505	temoin	152	5	12
L2.2.1	SRR12420721	temoin	152	7	2
L2.2.1	SRR4033875	temoin	152	12	3
L2.2.1	SRR28045761	temoin	152	16	10
L2.2.1	SRR22424783	temoin	152	51	46
L2.2.1	SRR12420556	temoin	152	69	24
L2.2.1	SRR10185947	temoin	152	55	26
L2.2.1	SRR6824454	temoin	152	35	26
L2.2.1	ERR5866407	temoin	152	3	7
L2.2.1	SRR17856683	temoin	152	17	11
L2.2.1	ERR4810945	temoin	152	77	35
L2.2.1	SRR4034090	temoin	152	6	7
L2.2.1	SRR20632816	temoin	152	78	36
L2.2.1	ERR4799809	temoin	152	19	22
L2.2.1	SRR13120449	temoin	152	4	8
L2.2.1	ERR4799220	temoin	152	45	28
L2.2.1	ERR552977	temoin	152	39	22
L2.2.1	SRR7453049	temoin	152	16	7
L2.2.1	SRR5065255	temoin	152	14	2
L2.2.1	ERR4831898	temoin	152	54	24
L2.2.1	ERR137206	temoin	152	0	0
L2.2.1	SRR14782707	temoin	152	2	1
L2.2.1	SRR27985869	temoin	152	2	5
L2.2.1	ERR551020	temoin	152	6	2
L2.2.1	SRR10040543	temoin	152	38	21
L2.2.1	SRR6824467	temoin	152	35	19
L2.2.1	ERR4828412	temoin	152	12	6
L2.2.1	ERR8773731	temoin	152	6	4
L2.2.1	ERR5863824	temoin	152	0	0
L2.2.1	SRR15316194	temoin	152	44	20
L2.2.1	SRR21031693	temoin	152	46	23
L2.2.1	SRR25534299	temoin	152	50	19
L2.2.1	SRR15316547	temoin	152	50	13
L2.2.1	ERR2517050	temoin	152	24	21
L2.2.1	SRR17729348	temoin	152	62	23
L2.2.1	ERR5864313	temoin	152	5	2
L2.2.1	SRR25534215	temoin	152	44	17
L2.2.1	SRR25395603	temoin	152	3	2
L2.2.1	ERR4796383	temoin	152	22	12
L2.2.1	ERR4798765	temoin	152	2	2
L2.2.1	ERR4828378	temoin	152	46	19
L2.2.1	ERR019858	temoin	152	4	7
L2.2.1	SRR25534180	temoin	152	35	18
L2.2.1	SRR24256361	temoin	152	30	11
L2.2.1	ERR5863985	temoin	152	0	0
L2.2.1	SRR27986145	temoin	152	3	0
L2.2.1	ERR2307654	temoin	152	5	7
L2.2.1	SRR18511639	temoin	152	24	10
L2.2.1	ERR5865279	temoin	152	6	9
L2.2.1	ERR4819118	temoin	152	61	23
L2.2.1	SRR15315872	temoin	152	50	17
L2.2.1	SRR21277832	temoin	152	36	13
L2.2.1	SRR27986287	temoin	152	7	5
L2.2.1	SRR10040511	temoin	152	61	29
L2.2.1	SRR24255920	temoin	152	8	10
L2.2.1	SRR16088361	temoin	152	7	7
L2.2.1	SRR25515351	temoin	152	43	20
L2.2.1	ERR5918065	temoin	152	3	3
L2.2.1	SRR15315915	temoin	152	39	22
L2.2.1	SRR14782334	temoin	152	3	6
L2.2.1	SRR12420736	temoin	152	82	33
L2.2.1	SRR10869193	temoin	152	6	6
L2.2.1	SRR28706503	temoin	152	0	5
L2.2.1	ERR10748502	temoin	152	49	39
L2.2.1	SRR21277227	temoin	152	72	50
L2.2.1	SRR24255918	temoin	152	3	7
L2.2.1	SRR25534389	temoin	152	38	15
L2.2.1	SRR15315979	temoin	152	34	24
L2.2.1	SRR25515038	temoin	152	68	31
L2.2.1	ERR5865593	temoin	152	8	6
L2.2.1	ERR718482	temoin	152	50	26
L3	SRR21733111	cas	151	33	20
L3	SRR25340797	temoin	151	83	26
L3	SRR12882716	temoin	151	1	1
L3	SRR12882738	temoin	151	13	0
L3	ERR2514369	temoin	151	40	14
L3	SRR12882080	temoin	151	7	1
L3	ERR2199900	temoin	151	57	18
L3	ERR245704	temoin	151	18	2
L3	ERR2512745	temoin	151	48	23
L3	SRR28045387	temoin	151	50	17
L3	ERR4796844	temoin	151	49	10
L3	SRR28409327	temoin	151	57	19
L3	SRR5818689	temoin	151	13	2
L3	SRR16058470	temoin	151	40	14
L3	ERR4820714	temoin	151	51	17
L3	SRR25340986	temoin	151	23	4
L3	ERR4829914	temoin	151	49	13
L3	SRR18213749	temoin	151	35	9
L3	ERR4814387	temoin	151	49	21
L3	ERR4799756	temoin	151	51	12
L3	SRR22179546	temoin	151	19	9
L3	ERR9657180	temoin	151	94	30
L3	ERR2510556	temoin	151	22	12
L3	SRR6397545	temoin	151	17	9
L3	ERR3077985	temoin	151	24	13
L3	SRR22251386	temoin	151	60	18
L3	ERR2513598	temoin	151	31	15
L3	ERR5979429	temoin	151	22	10
L3	SRR22424836	temoin	151	32	15
L3	ERR2510630	temoin	151	59	23
L3	ERR3335778	temoin	151	51	22
L3	SRR25340807	temoin	151	82	26
L3	ERR4818298	temoin	151	38	16
L3	SRR22251869	temoin	151	44	16
L3	ERR4831480	temoin	151	68	19
L3	SRR28409683	temoin	151	76	23
L3	ERR11488827	temoin	151	12	6
L3	SRR16057881	temoin	151	25	8
L3	SRR11972294	temoin	151	35	13
L3	ERR2514099	temoin	151	25	8
L3	ERR4797165	temoin	151	66	30
L3	ERR5979430	temoin	151	42	17
L3	ERR2517171	temoin	151	63	16
L3	ERR688008	temoin	151	82	22
L3	SRR28044964	temoin	151	42	18
L3	ERR4800596	temoin	151	85	35
L3	ERR1063892	temoin	151	9	9
L3	SRR6397484	temoin	151	29	11
L3	SRR22164589	temoin	151	59	26
L3	ERR4800121	temoin	151	73	30
L3	SRR26112752	temoin	151	43	17
L3	ERR4195479	temoin	151	47	23
L3	ERR4815466	temoin	151	45	12
L3	ERR4797488	temoin	151	43	23
L3	SRR28044370	temoin	151	17	10
L3	ERR2510701	temoin	151	0	2
L3	ERR4798407	temoin	151	94	32
L3	SRR26112172	temoin	151	103	33
L3	ERR4819713	temoin	151	103	24
L3	ERR2512475	temoin	151	35	14
L3	SRR25827639	temoin	151	13	5
L3	ERR2513331	temoin	151	62	20
L3	ERR2512897	temoin	151	50	17
L3	SRR12882128	temoin	151	23	8
L3	ERR4799759	temoin	151	42	14
L3	ERR2514661	temoin	151	95	31
L3	ERR4800545	temoin	151	15	6
L3	SRR9028494	temoin	151	23	13
L3	SRR21676426	temoin	151	66	25
L3	SRR5341405	temoin	151	38	12
L3	ERR5979420	temoin	151	22	11
L3	ERR718423	temoin	151	73	47
L3	ERR2513797	temoin	151	56	25
L3	SRR21733162	temoin	151	88	24
L3	SRR5341371	temoin	151	112	29
L3	ERR4817538	temoin	151	63	14
L3	ERR4821220	temoin	151	30	6
L3	ERR4820478	temoin	151	49	18
L3	SRR28046253	temoin	151	63	21
L3	SRR10869043	temoin	151	51	18
L3	ERR4798446	temoin	151	30	6
L3	ERR4822250	temoin	151	77	23
L3	SRR22251616	temoin	151	16	5
L3	ERR10465921	temoin	151	78	25
L3	ERR4798078	temoin	151	47	13
L3	ERR2145508	temoin	151	198	65
L3	ERR4817939	temoin	151	60	14
L3	ERR4809120	temoin	151	9	3
L3	SRR24498059	temoin	151	11	2
L3	ERR4800105	temoin	151	37	18
L3	ERR2199881	temoin	151	14	3
L3	SRR19428594	temoin	151	3	1
L3	ERR4798687	temoin	151	95	41
L3	ERR4796262	temoin	151	50	16
L3	SRR27449963	temoin	151	137	34
L3	ERR4829129	temoin	151	79	23
L3	SRR16058164	temoin	151	17	12
L3	ERR4822437	temoin	151	21	4
L3	ERR2512934	temoin	151	54	15
L3	SRR14520125	temoin	151	66	25
L3	ERR3335750	temoin	151	35	8
L3	SRR26800460	temoin	151	40	16
L3	SRR4035504	temoin	151	0	1
L3	ERR4796670	temoin	151	65	23
L3	SRR7585433	temoin	151	69	46
L3	ERR4821842	temoin	151	55	20
L3	ERR2510491	temoin	151	18	11
L3	ERR4819177	temoin	151	23	10
L3	SRR16058525	temoin	151	73	19
L3	ERR176676	temoin	151	16	5
L3	ERR4830811	temoin	151	5	2
L3	SRR25827420	temoin	151	48	21
L3	SRR16058165	temoin	151	52	13
L3	ERR4829441	temoin	151	77	21
L3	SRR16370368	temoin	151	82	24
L3	ERR4821205	temoin	151	76	20
L3	SRR15014646	temoin	151	54	20
L3	SRR4035531	temoin	151	0	0
L3	ERR4831288	temoin	151	101	28
L3	ERR4798795	temoin	151	58	18
L3	ERR2516821	temoin	151	36	17
L3	ERR10849244	temoin	151	40	11
L3	SRR16058302	temoin	151	64	31
L3	SRR23252664	temoin	151	51	16
L3	ERR4797916	temoin	151	72	26
L3	SRR28044880	temoin	151	46	16
L3	SRR25827864	temoin	151	1	0
L3	SRR26800447	temoin	151	19	2
L3	ERR4831045	temoin	151	47	27
L3	SRR28409505	temoin	151	71	19
L3	ERR550662	temoin	151	25	9
L3	ERR4819332	temoin	151	18	5
L3	ERR234192	temoin	151	61	22
L3	ERR4817663	temoin	151	13	7
L3	SRR6153012	temoin	151	59	10
L3	ERR4798112	temoin	151	33	14
L3	ERR4817073	temoin	151	31	12
L3	SRR12882417	temoin	151	19	1
L3	SRR7131264	temoin	151	45	10
L3	SRR28044388	temoin	151	89	27
L3	ERR181817	temoin	151	4	2
L3	SRR13180266	temoin	151	8	5
L3	SRR22249814	temoin	151	150	40
L3	ERR4811441	temoin	151	172	55
L3	SRR21595730	temoin	151	76	18
L3	ERR2517182	temoin	151	22	5
L3	SRR28044915	temoin	151	72	31
L3	ERR2514829	temoin	151	77	30
L3	ERR4820811	temoin	151	32	9
L3	ERR4815367	temoin	151	21	7
L3	ERR10465832	temoin	151	10	7
L4.1	ERR2510867	cas	162	12	7
L4.1	SRR10525367	cas	162	7	2
L4.1	SRR10525369	cas	162	22	6
L4.1	SRR19304068	cas	162	5	6
L4.1	SRR19324996	cas	162	31	16
L4.1	SRR28646060	cas	162	8	9
L4.1	SRR28646115	cas	162	15	23
L4.1	SRR5486890	cas	162	7	5
L4.1	SRR7592338	cas	162	2	3
L4.1	SRR7592348	cas	162	7	9
L4.1	SRR7592362	cas	162	7	7
L4.1	SRR8923704	cas	162	25	7
L4.1	SRR14165120	temoin	162	22	9
L4.1	ERR4195369	temoin	162	72	28
L4.1	ERR8699205	temoin	162	96	39
L4.1	SRR6152917	temoin	162	34	13
L4.1	ERR11465530	temoin	162	48	22
L4.1	ERR4972569	temoin	162	3	5
L4.1	SRR4033120	temoin	162	2	0
L4.1	ERR4813374	temoin	162	0	1
L4.1	SRR4035790	temoin	162	0	0
L4.1	ERR1465756	temoin	162	44	18
L4.1	SRR1188341	temoin	162	68	36
L4.1	ERR4829237	temoin	162	36	11
L4.1	SRR26112332	temoin	162	156	63
L4.1	SRR11461696	temoin	162	38	9
L4.1	SRR4035835	temoin	162	0	0
L4.1	ERR1873517	temoin	162	62	17
L4.1	ERR2512452	temoin	162	60	21
L4.1	SRR4034561	temoin	162	4	3
L4.1	ERR2513998	temoin	162	6	2
L4.1	ERR1465771	temoin	162	26	8
L4.1	SRR28044643	temoin	162	39	23
L4.1	SRR21733098	temoin	162	44	19
L4.1	SRR11349188	temoin	162	8	6
L4.1	SRR28394195	temoin	162	46	21
L4.1	ERR4816593	temoin	162	47	13
L4.1	ERR551569	temoin	162	104	43
L4.1	SRR23862153	temoin	162	44	18
L4.1	SRR20958110	temoin	162	31	10
L4.1	SRR21661631	temoin	162	47	4
L4.1	ERR4815431	temoin	162	62	21
L4.1	ERR6866459	temoin	162	15	7
L4.1	SRR22251455	temoin	162	40	16
L4.1	ERR4457926	temoin	162	14	6
L4.1	SRR10868983	temoin	162	15	9
L4.1	ERR11465311	temoin	162	9	2
L4.1	ERR11465456	temoin	162	42	20
L4.1	ERR2600502	temoin	162	53	13
L4.1	ERR4822095	temoin	162	33	15
L4.1	ERR9787004	temoin	162	15	3
L4.1	ERR2514050	temoin	162	47	7
L4.1	SRR7276705	temoin	162	19	4
L4.1	ERR5918132	temoin	162	17	4
L4.1	ERR11551985	temoin	162	58	12
L4.1	ERR2515320	temoin	162	60	23
L4.1	SRR6480395	temoin	162	47	13
L4.1	ERR6865537	temoin	162	16	8
L4.1	SRR13232609	temoin	162	77	41
L4.1	SRR24466772	temoin	162	34	18
L4.1	ERR4818373	temoin	162	25	7
L4.1	ERR025420	temoin	162	22	9
L4.1	ERR4813205	temoin	162	20	16
L4.1	ERR4831595	temoin	162	69	17
L4.1	ERR6867000	temoin	162	18	7
L4.1	SRR18213946	temoin	162	0	1
L4.1	ERR760885	temoin	162	1	0
L4.1	ERR553331	temoin	162	47	19
L4.1	SRR21727759	temoin	162	51	11
L4.1	ERR10680048	temoin	162	55	10
L4.1	ERR2864221	temoin	162	45	21
L4.1	SRR15399217	temoin	162	35	8
L4.1	ERR9786897	temoin	162	117	29
L4.1	ERR4812214	temoin	162	23	9
L4.1	ERR2864270	temoin	162	7	2
L4.1	SRR28393855	temoin	162	22	11
L4.1	ERR5987235	temoin	162	6	0
L4.1	ERR4553981	temoin	162	95	36
L4.1	ERR4817876	temoin	162	44	9
L4.1	ERR4821871	temoin	162	56	21
L4.1	SRR21675651	temoin	162	56	14
L4.1	SRR19304111	temoin	162	13	5
L4.1	ERR4812633	temoin	162	20	7
L4.1	ERR10969181	temoin	162	25	9
L4.1	ERR9786241	temoin	162	51	19
L4.1	ERR8975074	temoin	162	38	15
L4.1	SRR15399206	temoin	162	23	9
L4.1	ERR2512805	temoin	162	0	1
L4.1	SRR25395682	temoin	162	47	10
L4.1	ERR6866375	temoin	162	34	14
L4.1	SRR14782650	temoin	162	36	17
L4.1	ERR7339127	temoin	162	48	9
L4.1	ERR4829755	temoin	162	25	13
L4.1	SRR28394007	temoin	162	13	5
L4.1	SRR4035811	temoin	162	0	0
L4.1	ERR4811750	temoin	162	16	3
L4.1	ERR2513273	temoin	162	26	15
L4.1	SRR22196586	temoin	162	41	12
L4.1	SRR24673503	temoin	162	50	22
L4.1	SRR28393602	temoin	162	14	12
L4.1	SRR21240179	temoin	162	29	10
L4.1	ERR2679300	temoin	162	34	16
L4.1	ERR4799821	temoin	162	22	11
L4.1	ERR4815214	temoin	162	90	33
L4.1	ERR2516233	temoin	162	62	20
L4.1	ERR1465769	temoin	162	37	12
L4.1	ERR047882	temoin	162	6	2
L4.1	ERR4815952	temoin	162	17	1
L4.1	ERR4820485	temoin	162	4	3
L4.1	SRR25666601	temoin	162	39	16
L4.1	ERR11465133	temoin	162	9	5
L4.1	SRR21733135	temoin	162	46	10
L4.1	SRR21736384	temoin	162	103	53
L4.1	SRR5818625	temoin	162	31	11
L4.1	ERR6866795	temoin	162	0	1
L4.1	SRR6480615	temoin	162	34	4
L4.1	ERR9786651	temoin	162	29	14
L4.1	SRR7131216	temoin	162	45	10
L4.1	ERR2486959	temoin	162	32	7
L4.1	ERR4829812	temoin	162	67	30
L4.1	ERR5918023	temoin	162	10	7
L4.1	ERR11488429	temoin	162	20	16
L4.1	ERR4813032	temoin	162	16	1
L4.1	ERR10762278	temoin	162	99	36
L4.1	SRR7069023	temoin	162	45	21
L4.1	ERR2515836	temoin	162	38	8
L4.1	ERR8773693	temoin	162	47	29
L4.1	SRR25395681	temoin	162	61	35
L4.1	ERR6865314	temoin	162	2	0
L4.1	ERR4828608	temoin	162	48	28
L4.1	ERR4813418	temoin	162	30	14
L4.1	SRR26112198	temoin	162	45	10
L4.1	SRR5073837	temoin	162	55	28
L4.1	ERR4822260	temoin	162	10	3
L4.1	ERR4822170	temoin	162	8	2
L4.1	SRR4034287	temoin	162	1	1
L4.1	SRR21732441	temoin	162	31	13
L4.1	ERR9786905	temoin	162	15	4
L4.1	SRR14164545	temoin	162	15	11
L4.1	ERR3799577	temoin	162	24	8
L4.1	ERR4820132	temoin	162	40	26
L4.1	ERR3287756	temoin	162	21	12
L4.1	ERR4830781	temoin	162	57	15
L4.1	SRR26111974	temoin	162	31	18
L4.1	ERR176647	temoin	162	114	33
L4.1	ERR6866341	temoin	162	1	0
L4.1	SRR21733115	temoin	162	22	12
L4.1	ERR552074	temoin	162	22	13
L4.1	SRR14782497	temoin	162	40	16
L4.1	ERR2516618	temoin	162	11	16
L4.1	ERR6866563	temoin	162	0	1
L4.1	SRR16370448	temoin	162	20	15
L4.1	ERR023732	temoin	162	24	11
L4.1	ERR11488854	temoin	162	7	1
L4.1	SRR4034772	temoin	162	67	15
L4.1	ERR4831231	temoin	162	71	21
L4.1	ERR6052076	temoin	162	56	18
L4.1	ERR5979512	temoin	162	30	17
L4.1	ERR4816693	temoin	162	41	10
L4.1	ERR3132138	temoin	162	16	3
L4.1	ERR4821979	temoin	162	32	16
L4.1	ERR4812050	temoin	162	15	6
L4.1.2	ERR5979539	cas	154	0	0
L4.1.2	SRR24466741	cas	154	14	10
L4.1.2	SRR7592324	cas	154	8	10
L4.1.2	SRR7592333	cas	154	0	0
L4.1.2	SRR4034353	temoin	154	3	2
L4.1.2	ERR9786323	temoin	154	28	12
L4.1.2	SRR21726723	temoin	154	24	11
L4.1.2	SRR25395662	temoin	154	52	13
L4.1.2	ERR1633920	temoin	154	12	8
L4.1.2	ERR4818311	temoin	154	43	24
L4.1.2	SRR24799208	temoin	154	25	10
L4.1.2	ERR2516067	temoin	154	1	0
L4.1.2	ERR11466253	temoin	154	22	15
L4.1.2	ERR4798912	temoin	154	43	19
L4.1.2	ERR4828823	temoin	154	39	14
L4.1.2	SRR28240129	temoin	154	38	17
L4.1.2	SRR19428497	temoin	154	30	7
L4.1.2	SRR9738527	temoin	154	33	16
L4.1.2	ERR2600455	temoin	154	33	11
L4.1.2	SRR1191298	temoin	154	0	0
L4.1.2	ERR4829800	temoin	154	17	3
L4.1.2	ERR12268406	temoin	154	19	4
L4.1.2	ERR6866558	temoin	154	20	7
L4.1.2	ERR403314	temoin	154	24	5
L4.1.2	ERR1213905	temoin	154	13	5
L4.1.2	ERR4813841	temoin	154	16	8
L4.1.2	ERR4812427	temoin	154	6	5
L4.1.2	SRR14782691	temoin	154	30	18
L4.1.2	ERR9786876	temoin	154	35	9
L4.1.2	ERR551326	temoin	154	0	0
L4.1.2	SRR1187297	temoin	154	0	0
L4.1.2	ERR2516559	temoin	154	19	16
L4.1.2	SRR16370265	temoin	154	53	14
L4.1.2	ERR2515145	temoin	154	19	6
L4.1.2	ERR4822444	temoin	154	56	27
L4.1.2	ERR12057474	temoin	154	48	17
L4.1.2	SRR19241787	temoin	154	47	21
L4.1.2	SRR4035755	temoin	154	0	0
L4.1.2	SRR14519805	temoin	154	42	16
L4.1.2	SRR6397498	temoin	154	8	0
L4.1.2	ERR6865996	temoin	154	4	2
L4.1.2	ERR5979507	temoin	154	5	1
L4.1.2	ERR12057461	temoin	154	27	10
L4.1.2	ERR2513080	temoin	154	45	18
L4.1.2	SRR6397448	temoin	154	2	0
L4.1.2	ERR023759	temoin	154	25	10
L4.1.2	ERR551301	temoin	154	36	11
L4.1.2	ERR4457816	temoin	154	0	2
L4.1.2	ERR9786122	temoin	154	31	5
L4.1.2	ERR760896	temoin	154	0	1
L4.1.2	ERR9786338	temoin	154	57	23
L4.1.2	ERR2677395	temoin	154	27	9
L4.1.2	SRR21239891	temoin	154	3	0
L4.1.2	ERR234558	temoin	154	62	24
L4.1.2	ERR4817142	temoin	154	27	7
L4.1.2	ERR4813299	temoin	154	7	1
L4.1.2	ERR498383	temoin	154	3	1
L4.1.2	ERR11466524	temoin	154	11	2
L4.1.2	SRR13870382	temoin	154	23	15
L4.1.2	ERR2503361	temoin	154	50	23
L4.1.2	SRR7795465	temoin	154	8	5
L4.1.2	ERR3132298	temoin	154	48	19
L4.1.2	SRR1640242	temoin	154	19	8
L4.1.2	ERR6866801	temoin	154	28	12
L4.1.2	SRR26112075	temoin	154	27	8
L4.1.2	ERR4797339	temoin	154	19	9
L4.1.2	ERR760911	temoin	154	0	1
L4.1.2	SRR28393835	temoin	154	33	9
L4.1.2	ERR10465966	temoin	154	33	10
L4.1.2	SRR24466793	temoin	154	42	12
L4.1.2	ERR7363071	temoin	154	4	1
L4.1.2	ERR4822433	temoin	154	27	11
L4.1.2	SRR13583369	temoin	154	50	19
L4.1.2	ERR4972580	temoin	154	23	5
L4.1.2	ERR4809020	temoin	154	4	3
L4.1.2	ERR1367656	temoin	154	30	16
L4.1.2	SRR14781954	temoin	154	44	17
L4.1.2	ERR4830252	temoin	154	67	30
L4.1.2	ERR552948	temoin	154	44	18
L4.1.2	SRR15217982	temoin	154	19	12
L4.1.2	SRR28393255	temoin	154	20	4
L4.1.2	ERR4195280	temoin	154	23	6
L4.1.2	SRR13180273	temoin	154	36	11
L4.1.2	SRR26112481	temoin	154	60	29
L4.1.2	ERR2027256	temoin	154	7	6
L4.1.2	ERR2517244	temoin	154	43	14
L4.1.2	ERR4813258	temoin	154	7	3
L4.1.2	ERR6866239	temoin	154	23	8
L4.1.2	ERR11552014	temoin	154	1	0
L4.1.2	ERR4815636	temoin	154	40	13
L4.1.2	SRR14164620	temoin	154	1	0
L4.1.2	ERR4814741	temoin	154	19	5
L4.1.2	ERR3287811	temoin	154	4	3
L4.1.2	SRR9588567	temoin	154	2	0
L4.1.2	ERR552868	temoin	154	0	1
L4.1.2	ERR4872191	temoin	154	46	15
L4.1.2	ERR2199902	temoin	154	1	1
L4.1.2	SRR14165105	temoin	154	1	0
L4.1.2	ERR4812319	temoin	154	9	2
L4.1.2	ERR4195268	temoin	154	68	20
L4.1.2	ERR023748	temoin	154	53	20
L4.1.2	ERR228038	temoin	154	32	15
L4.1.2	SRR16087973	temoin	154	44	23
L4.1.2	ERR8665924	temoin	154	32	11
L4.1.2	ERR6865914	temoin	154	17	8
L4.1.2	SRR21677064	temoin	154	4	0
L4.1.2	ERR2486965	temoin	154	36	9
L4.1.2	ERR1227513	temoin	154	41	17
L4.1.2	SRR2502773	temoin	154	2	0
L4.1.2	ERR4812049	temoin	154	20	11
L4.1.2	SRR21240131	temoin	154	1	1
L4.1.2	ERR4457775	temoin	154	3	0
L4.1.2	SRR28045829	temoin	154	36	6
L4.1.2	SRR14164571	temoin	154	11	1
L4.1.2	SRR28389816	temoin	154	40	12
L4.1.2	ERR6865433	temoin	154	24	3
L4.1.2	ERR2200101	temoin	154	22	3
L4.1.2	SRR20139552	temoin	154	33	10
L4.1.2	ERR10680176	temoin	154	37	10
L4.1.2	SRR7131227	temoin	154	67	19
L4.1.2	ERR4829374	temoin	154	33	11
L4.1.2	ERR6865449	temoin	154	15	15
L4.1.2	ERR8700351	temoin	154	41	27
L4.1.2	SRR28393950	temoin	154	25	8
L4.1.2	SRR14164682	temoin	154	72	25
L4.1.2	ERR894421	temoin	154	14	4
L4.1.2	SRR13180346	temoin	154	44	14
L4.1.2	ERR4815545	temoin	154	44	16
L4.1.2	SRR5073897	temoin	154	34	14
L4.1.2	SRR6397468	temoin	154	6	2
L4.1.2	ERR11556994	temoin	154	73	25
L4.1.2	ERR6866682	temoin	154	21	7
L4.1.2	SRR17658032	temoin	154	35	23
L4.1.2	ERR4457866	temoin	154	3	2
L4.1.2	ERR552575	temoin	154	1	1
L4.1.2	SRR14782414	temoin	154	33	7
L4.1.2	ERR11551986	temoin	154	2	2
L4.1.2	ERR9786316	temoin	154	33	17
L4.1.2	ERR2517563	temoin	154	65	20
L4.1.2	ERR4195594	temoin	154	19	8
L4.1.2	ERR6865627	temoin	154	55	19
L4.1.2	SRR4035827	temoin	154	0	0
L4.1.2	ERR6865885	temoin	154	27	16
L4.1.2	ERR4812103	temoin	154	13	5
L4.1.2	ERR4811422	temoin	154	6	5
L4.1.2	ERR736847	temoin	154	31	11
L4.1.2	SRR7795461	temoin	154	4	1
L4.1.2	SRR22048332	temoin	154	42	20
L4.1.2	SRR22461589	temoin	154	18	8
L4.1.2	SRR18911589	temoin	154	16	13
L4.1.2	ERR6865623	temoin	154	117	38
L4.1.2	SRR28409673	temoin	154	54	14
L4.1.2	ERR6866781	temoin	154	15	10
L4.1.2	ERR4828857	temoin	154	39	5
L4.1.2.2	ERR4195334	cas	153	3	4
L4.1.2.2	SRR22048547	cas	153	9	10
L4.1.2.2	SRR5486882	cas	153	10	7
